,group,variable,month,L 16.3 CÁNCER CERVICOUTERINO CANTIDAD,L 16.3 CÁNCER CERVICOUTERINO CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-01-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-01-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-01-01,0,84,84
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-01-01,0,11,11
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-01-01,0,1,1
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-01-01,0,1,1
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-01-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-01-01,0,42,42
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-01-01,0,6,6
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-01-01,0,4,4
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-01-01,0,2,2
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-01-01,0,3,3
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-01-01,0,1,1
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-01-01,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-01-01,0,21,21
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-01-01,0,1,1
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-01-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-01-01,0,16,16
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-01-01,0,4,4
TORO TORO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-01-01,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-01-01,0,7,7
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-01-01,0,2,2
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-01-01,0,1,1
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-01-01,0,1,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-01-01,0,2,2
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-01-01,0,1,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-01-01,0,3,3
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-01-01,0,1,1
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-01-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-02-01,0,80,80
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-02-01,0,6,6
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-02-01,0,1,1
