,group,variable,month,L 1613 PERSONAS CON DISCAPACIDAD CANTIDAD,L 1613 PERSONAS CON DISCAPACIDAD CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-01-01,2,4,6
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-01-01,1,1,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-01-01,2,0,2
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-01-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-01-01,1,1,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-01-01,5,5,10
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-01-01,1,1,2
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-01-01,1,0,1
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-01-01,1,0,1
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-01-01,0,2,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-01-01,98,43,141
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-01-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-01-01,1,2,3
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-01-01,1,1,2
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-01-01,2,0,2
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-01-01,25,26,51
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-01-01,2,3,5
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-01-01,0,1,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-01-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-01-01,3,1,4
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-01-01,0,1,1
QUIME,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-01-01,0,1,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-01-01,1,3,4
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-01-01,4,5,9
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-01-01,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-01-01,7,4,11
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-01-01,65,42,107
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-01-01,0,1,1
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-01-01,2,0,2
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-01-01,59,51,110
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-01-01,0,1,1
TOTORA(ORR),"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-01-01,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-01-01,17,13,30
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-01-01,2,3,5
