,group,variable,month,L 16.1 CARDIOVASCULARES CANTIDAD,L 16.1 CARDIOVASCULARES CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,2,1,3
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,3,4,7
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,0,2,2
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,0,2,2
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,1,0,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,1,5,6
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,6,3,9
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,6,7,13
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,7,6,13
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,1,0,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,0,1,1
CAJUATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,16,44,60
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,40,28,68
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,2,0,2
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,1,4,5
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,5,1,6
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,0,2,2
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,7,9,16
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,139,172,311
"COLCHA ""K""","enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,1,0,1
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,0,1,1
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,4,3,7
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,2,1,3
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,0,4,4
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,1,4,5
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,16,11,27
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,93,145,238
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,1,0,1
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,1,0,1
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,2,2,4
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,2,0,2
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,4,2,6
GUAQUI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,0,1,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,9,5,14
