,group,variable,month,L 16.8 ABUSO DE ALCOHOL CANTIDAD,L 16.8 ABUSO DE ALCOHOL CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,1,0,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,3,0,3
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,0,1,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,3,2,5
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,1,0,1
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,1,0,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,1,1,2
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,1,0,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,4,2,6
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,3,1,4
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,17,6,23
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,1,2,3
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,1,0,1
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,1,0,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,2,0,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,45,21,66
GUAQUI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,1,0,1
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,78,36,114
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,1,0,1
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,3,0,3
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,0,2,2
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,1,0,1
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,4,0,4
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,1,0,1
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,13,4,17
POOPO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,1,0,1
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,15,5,20
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,1,0,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,1,0,1
