,group,variable,month,L 1610 EPISODIOS DEPRESIVOS / ANSIEDAD CANTIDAD,L 1610 EPISODIOS DEPRESIVOS / ANSIEDAD CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,3,6,9
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,8,4,12
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,0,6,6
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,5,3,8
CATACORA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,0,1,1
CHIMORE,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,2,9,11
COCAPATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,93,179,272
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,1,3,4
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,0,2,2
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,2,3,5
CULPINA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,38,65,103
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,0,1,1
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,0,1,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,1,1,2
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,149,266,415
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,0,1,1
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,0,2,2
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,8,8,16
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,1,1,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,16,29,45
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,0,2,2
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,1,1,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,0,11,11
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,0,1,1
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,0,2,2
