municipality,group,variable,month,Controles nuevos en niños de 2 años a < de 5 a NUEVO,TOTAL-NUEVO,TOTAL-REPETIDO,TOTAL
ACACIO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,1,1,0,1
ACHACACHI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,92,92,110,202
ACHOCALLA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,2,2,4,6
AIQUILE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,21,21,26,47
ALALAY,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,1,1,3,4
ALCALA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,105,105,93,198
ANCORAIMES,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,3,3,7,10
ANDAMARCA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,1,1,0,1
ANTEQUERA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,15,15,16,31
ANZALDO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,14,14,19,33
APOLO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,0,0,3,3
ARAMPAMPA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,16,16,22,38
ARANI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,2,2,1,3
ATOCHA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,1,1,1,2
AUCAPATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,4,4,12,16
AYATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,8,8,10,18
AYO AYO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,3,3,5,8
AYOPAYA (V. DE INDEPENDENCIA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,3,3,7,10
AZURDUY,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,292,292,268,560
BATALLAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,3,3,5,8
BAURES,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,2,2,1,3
BELLA FLOR,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,0,0,1,1
BERMEJO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,47,47,55,102
BETANZOS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,9,9,11,20
BOYUIBE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,2,2,2,4
BUENA VISTA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,1,1,0,1
CABEZAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,116,116,80,196
CAIROMA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,1,1,0,1
"CAIZA ""D""",nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,21,21,29,50
CAJUATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,14,14,10,24
CALACOTO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,3,3,1,4
CAMARGO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,145,145,149,294
CAMATAQUI (C. VILLA ABECIA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,45,45,44,89
CAMIRI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,17,17,14,31
CAPINOTA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,0,0,1,1
CAQUIAVIRI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,9,9,5,14
