,group,variable,month,Nº DE PERSONAS CON ESQUEMA REDUCIDO COMPLETO CANTIDAD,Nº DE PERSONAS CON ESQUEMA REDUCIDO COMPLETO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHOCALLA,rabia,no de personas con esquema reducido completo,2023-01-01,2,4,2,4,6
AIQUILE,rabia,no de personas con esquema reducido completo,2023-01-01,1,0,1,0,1
ARANI,rabia,no de personas con esquema reducido completo,2023-01-01,1,1,1,1,2
AYO AYO,rabia,no de personas con esquema reducido completo,2023-01-01,1,0,1,0,1
BERMEJO,rabia,no de personas con esquema reducido completo,2023-01-01,1,0,1,0,1
CAPINOTA,rabia,no de personas con esquema reducido completo,2023-01-01,1,0,1,0,1
CARANAVI,rabia,no de personas con esquema reducido completo,2023-01-01,0,1,0,1,1
CARAPARI,rabia,no de personas con esquema reducido completo,2023-01-01,1,0,1,0,1
CHIMORE,rabia,no de personas con esquema reducido completo,2023-01-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas con esquema reducido completo,2023-01-01,0,2,0,2,2
COBIJA,rabia,no de personas con esquema reducido completo,2023-01-01,0,1,0,1,1
COCHABAMBA,rabia,no de personas con esquema reducido completo,2023-01-01,63,49,63,49,112
COLCAPIRHUA,rabia,no de personas con esquema reducido completo,2023-01-01,6,3,6,3,9
COMARAPA,rabia,no de personas con esquema reducido completo,2023-01-01,0,1,0,1,1
CONCEPCION,rabia,no de personas con esquema reducido completo,2023-01-01,0,1,0,1,1
COTOCA,rabia,no de personas con esquema reducido completo,2023-01-01,19,9,19,9,28
CUATRO CAÑADAS,rabia,no de personas con esquema reducido completo,2023-01-01,2,0,2,0,2
DESAGUADERO,rabia,no de personas con esquema reducido completo,2023-01-01,1,0,1,0,1
EL ALTO,rabia,no de personas con esquema reducido completo,2023-01-01,33,36,33,36,69
EL TORNO,rabia,no de personas con esquema reducido completo,2023-01-01,1,2,1,2,3
EUCALIPTUS,rabia,no de personas con esquema reducido completo,2023-01-01,0,2,0,2,2
FERNANDEZ ALONSO,rabia,no de personas con esquema reducido completo,2023-01-01,1,1,1,1,2
HUAYLLAMARCA,rabia,no de personas con esquema reducido completo,2023-01-01,1,0,1,0,1
HUMANATA,rabia,no de personas con esquema reducido completo,2023-01-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),rabia,no de personas con esquema reducido completo,2023-01-01,0,1,0,1,1
LA ASUNTA,rabia,no de personas con esquema reducido completo,2023-01-01,1,2,1,2,3
LA GUARDIA,rabia,no de personas con esquema reducido completo,2023-01-01,31,33,31,33,64
LA PAZ,rabia,no de personas con esquema reducido completo,2023-01-01,74,66,74,66,140
LICOMA PAMPA,rabia,no de personas con esquema reducido completo,2023-01-01,0,1,0,1,1
MONTEAGUDO,rabia,no de personas con esquema reducido completo,2023-01-01,0,1,0,1,1
MONTERO,rabia,no de personas con esquema reducido completo,2023-01-01,7,5,7,5,12
OKINAWA,rabia,no de personas con esquema reducido completo,2023-01-01,2,0,2,0,2
ORURO,rabia,no de personas con esquema reducido completo,2023-01-01,10,11,10,11,21
PAILON,rabia,no de personas con esquema reducido completo,2023-01-01,0,2,0,2,2
PALOS BLANCOS,rabia,no de personas con esquema reducido completo,2023-01-01,1,0,1,0,1
POOPO,rabia,no de personas con esquema reducido completo,2023-01-01,0,3,0,3,3
PORCO,rabia,no de personas con esquema reducido completo,2023-01-01,1,0,1,0,1
PORONGO,rabia,no de personas con esquema reducido completo,2023-01-01,2,2,2,2,4
POTOSI,rabia,no de personas con esquema reducido completo,2023-01-01,9,6,9,6,15
PUERTO VILLARROEL,rabia,no de personas con esquema reducido completo,2023-01-01,1,0,1,0,1
QUILLACOLLO,rabia,no de personas con esquema reducido completo,2023-01-01,9,5,9,5,14
REYES,rabia,no de personas con esquema reducido completo,2023-01-01,1,1,1,1,2
SACABA,rabia,no de personas con esquema reducido completo,2023-01-01,9,9,9,9,18
SAIPINA,rabia,no de personas con esquema reducido completo,2023-01-01,0,1,0,1,1
SAMAIPATA,rabia,no de personas con esquema reducido completo,2023-01-01,1,1,1,1,2
