,group,variable,month,Nº DE PERSONAS QUE ABANDONARON ESQUEMA CANTIDAD,Nº DE PERSONAS QUE ABANDONARON ESQUEMA CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHOCALLA,rabia,no de personas que abandonaron esquema,2023-01-01,1,0,1,0,1
APOLO,rabia,no de personas que abandonaron esquema,2023-01-01,1,0,1,0,1
BERMEJO,rabia,no de personas que abandonaron esquema,2023-01-01,0,3,0,3,3
CHIMORE,rabia,no de personas que abandonaron esquema,2023-01-01,0,1,0,1,1
COCHABAMBA,rabia,no de personas que abandonaron esquema,2023-01-01,27,12,27,12,39
COROICO,rabia,no de personas que abandonaron esquema,2023-01-01,0,2,0,2,2
EL ALTO,rabia,no de personas que abandonaron esquema,2023-01-01,10,13,10,13,23
GUAYARAMERIN,rabia,no de personas que abandonaron esquema,2023-01-01,1,4,1,4,5
LA ASUNTA,rabia,no de personas que abandonaron esquema,2023-01-01,1,1,1,1,2
LA PAZ,rabia,no de personas que abandonaron esquema,2023-01-01,18,16,18,16,34
LLICA,rabia,no de personas que abandonaron esquema,2023-01-01,1,0,1,0,1
MONTERO,rabia,no de personas que abandonaron esquema,2023-01-01,0,1,0,1,1
OKINAWA,rabia,no de personas que abandonaron esquema,2023-01-01,2,0,2,0,2
ORURO,rabia,no de personas que abandonaron esquema,2023-01-01,14,11,14,11,25
PAZÑA,rabia,no de personas que abandonaron esquema,2023-01-01,1,0,1,0,1
POTOSI,rabia,no de personas que abandonaron esquema,2023-01-01,7,11,7,11,18
PUERTO VILLARROEL,rabia,no de personas que abandonaron esquema,2023-01-01,1,0,1,0,1
QUILLACOLLO,rabia,no de personas que abandonaron esquema,2023-01-01,2,1,2,1,3
REYES,rabia,no de personas que abandonaron esquema,2023-01-01,1,0,1,0,1
SACABA,rabia,no de personas que abandonaron esquema,2023-01-01,0,2,0,2,2
SAN ANDRES,rabia,no de personas que abandonaron esquema,2023-01-01,1,0,1,0,1
SAN BORJA,rabia,no de personas que abandonaron esquema,2023-01-01,1,0,1,0,1
SAN IGNACIO,rabia,no de personas que abandonaron esquema,2023-01-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,rabia,no de personas que abandonaron esquema,2023-01-01,1,1,1,1,2
SAN JUAN DE YAPACANI,rabia,no de personas que abandonaron esquema,2023-01-01,1,0,1,0,1
SAN JULIAN,rabia,no de personas que abandonaron esquema,2023-01-01,0,1,0,1,1
SAN RAMON SCZ,rabia,no de personas que abandonaron esquema,2023-01-01,1,2,1,2,3
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2023-01-01,0,2,0,2,2
SUCRE,rabia,no de personas que abandonaron esquema,2023-01-01,16,10,16,10,26
TARATA,rabia,no de personas que abandonaron esquema,2023-01-01,1,0,1,0,1
TARIJA,rabia,no de personas que abandonaron esquema,2023-01-01,0,1,0,1,1
TOLATA,rabia,no de personas que abandonaron esquema,2023-01-01,0,1,0,1,1
TRINIDAD,rabia,no de personas que abandonaron esquema,2023-01-01,7,7,7,7,14
UYUNI,rabia,no de personas que abandonaron esquema,2023-01-01,2,0,2,0,2
VIACHA,rabia,no de personas que abandonaron esquema,2023-01-01,1,0,1,0,1
VINTO,rabia,no de personas que abandonaron esquema,2023-01-01,1,0,1,0,1
WARNES,rabia,no de personas que abandonaron esquema,2023-01-01,3,2,3,2,5
YAPACANI,rabia,no de personas que abandonaron esquema,2023-01-01,1,0,1,0,1
ARBIETO,rabia,no de personas que abandonaron esquema,2023-02-01,2,1,2,1,3
BERMEJO,rabia,no de personas que abandonaron esquema,2023-02-01,3,1,3,1,4
CARANAVI,rabia,no de personas que abandonaron esquema,2023-02-01,1,3,1,3,4
CARAPARI,rabia,no de personas que abandonaron esquema,2023-02-01,1,1,1,1,2
COCHABAMBA,rabia,no de personas que abandonaron esquema,2023-02-01,12,11,12,11,23
CORIPATA,rabia,no de personas que abandonaron esquema,2023-02-01,1,1,1,1,2
COROICO,rabia,no de personas que abandonaron esquema,2023-02-01,1,0,1,0,1
EL ALTO,rabia,no de personas que abandonaron esquema,2023-02-01,7,10,7,10,17
