,group,variable,month,Nº DE PERSONAS CON VACUNA ANTIRRÁBICA CANTIDAD,Nº DE PERSONAS CON VACUNA ANTIRRÁBICA CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHOCALLA,rabia,no de personas con vacuna antirrabica,2023-01-01,1,3,1,3,4
AIQUILE,rabia,no de personas con vacuna antirrabica,2023-01-01,1,1,1,1,2
APOLO,rabia,no de personas con vacuna antirrabica,2023-01-01,1,1,1,1,2
ARBIETO,rabia,no de personas con vacuna antirrabica,2023-01-01,3,1,3,1,4
ASCENCION DE GUARAYOS,rabia,no de personas con vacuna antirrabica,2023-01-01,2,2,2,2,4
BATALLAS,rabia,no de personas con vacuna antirrabica,2023-01-01,1,0,1,0,1
BERMEJO,rabia,no de personas con vacuna antirrabica,2023-01-01,1,3,1,3,4
CABEZAS,rabia,no de personas con vacuna antirrabica,2023-01-01,0,1,0,1,1
CARAPARI,rabia,no de personas con vacuna antirrabica,2023-01-01,1,2,1,2,3
CARMEN RIVERO TORREZ,rabia,no de personas con vacuna antirrabica,2023-01-01,0,1,0,1,1
CHALLAPATA,rabia,no de personas con vacuna antirrabica,2023-01-01,0,1,0,1,1
CHIMORE,rabia,no de personas con vacuna antirrabica,2023-01-01,0,2,0,2,2
COCHABAMBA,rabia,no de personas con vacuna antirrabica,2023-01-01,97,71,97,71,168
COLCAPIRHUA,rabia,no de personas con vacuna antirrabica,2023-01-01,4,4,4,4,8
COLPA BELGICA,rabia,no de personas con vacuna antirrabica,2023-01-01,0,1,0,1,1
COLQUIRI,rabia,no de personas con vacuna antirrabica,2023-01-01,0,1,0,1,1
COMARAPA,rabia,no de personas con vacuna antirrabica,2023-01-01,2,2,2,2,4
CONCEPCION,rabia,no de personas con vacuna antirrabica,2023-01-01,0,1,0,1,1
CORIPATA,rabia,no de personas con vacuna antirrabica,2023-01-01,3,1,3,1,4
COROICO,rabia,no de personas con vacuna antirrabica,2023-01-01,3,3,3,3,6
CORQUE,rabia,no de personas con vacuna antirrabica,2023-01-01,1,0,1,0,1
COTOCA,rabia,no de personas con vacuna antirrabica,2023-01-01,18,7,18,7,25
CUATRO CAÑADAS,rabia,no de personas con vacuna antirrabica,2023-01-01,3,0,3,0,3
EL ALTO,rabia,no de personas con vacuna antirrabica,2023-01-01,84,123,84,123,207
EL TORNO,rabia,no de personas con vacuna antirrabica,2023-01-01,2,3,2,3,5
ENTRE RIOS CBBA,rabia,no de personas con vacuna antirrabica,2023-01-01,0,1,0,1,1
ESCOMA,rabia,no de personas con vacuna antirrabica,2023-01-01,1,0,1,0,1
EUCALIPTUS,rabia,no de personas con vacuna antirrabica,2023-01-01,0,2,0,2,2
GUANAY,rabia,no de personas con vacuna antirrabica,2023-01-01,1,0,1,0,1
GUAYARAMERIN,rabia,no de personas con vacuna antirrabica,2023-01-01,1,4,1,4,5
HUACARETA,rabia,no de personas con vacuna antirrabica,2023-01-01,0,1,0,1,1
HUANUNI,rabia,no de personas con vacuna antirrabica,2023-01-01,7,5,7,5,12
HUAYLLAMARCA,rabia,no de personas con vacuna antirrabica,2023-01-01,1,0,1,0,1
HUMANATA,rabia,no de personas con vacuna antirrabica,2023-01-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),rabia,no de personas con vacuna antirrabica,2023-01-01,0,1,0,1,1
LA ASUNTA,rabia,no de personas con vacuna antirrabica,2023-01-01,2,2,2,2,4
LA GUARDIA,rabia,no de personas con vacuna antirrabica,2023-01-01,30,35,30,35,65
LA PAZ,rabia,no de personas con vacuna antirrabica,2023-01-01,137,154,137,154,291
LAJA,rabia,no de personas con vacuna antirrabica,2023-01-01,1,0,1,0,1
LLALLAGUA,rabia,no de personas con vacuna antirrabica,2023-01-01,0,1,0,1,1
MINEROS,rabia,no de personas con vacuna antirrabica,2023-01-01,1,1,1,1,2
MOCOMOCO,rabia,no de personas con vacuna antirrabica,2023-01-01,1,0,1,0,1
MONTEAGUDO,rabia,no de personas con vacuna antirrabica,2023-01-01,0,2,0,2,2
MONTERO,rabia,no de personas con vacuna antirrabica,2023-01-01,11,5,11,5,16
