municipality,group,variable,month,Pacientes derivados de la comunidad o medicina tradicional,TOTAL
ACACIO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2015-01-01,1,1
CARANAVI,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2015-01-01,2,2
COCHABAMBA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2015-01-01,3,3
CUATRO CAÑADAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2015-01-01,1,1
EL ALTO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2015-01-01,1,1
MACHARETI,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2015-01-01,6,6
PADCAYA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2015-01-01,2,2
SAIPINA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2015-01-01,10,10
SAN JOSE DE CHIQUITOS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2015-01-01,2,2
SAN JUAN DE YAPACANI,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2015-01-01,2,2
SAN JULIAN,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2015-01-01,24,24
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2015-01-01,27,27
SHINAOTA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2015-01-01,2,2
TIQUIPAYA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2015-01-01,1,1
VILLA TUNARI,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2015-01-01,36,36
VINTO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2015-01-01,48,48
YAPACANI,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2015-01-01,1,1
CALAMARCA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2015-02-01,1,1
CAMIRI,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2015-02-01,16,16
CHAYANTA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2015-02-01,1,1
