municipality,group,variable,month,Pacientes contrareferidos al establecimiento,TOTAL
ANZALDO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,1,1
ARBIETO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,6,6
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,17,17
BERMEJO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,4,4
BOLPEBRA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,1,1
CABEZAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,4,4
CAMARGO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,1,1
CAMIRI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,5,5
CAPINOTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,1,1
CARANAVI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,1,1
CHARAGUA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,2,2
CKOCHAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,1,1
CLIZA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,20,20
COBIJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,229,229
COCHABAMBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,3,3
CUATRO CAÑADAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,3,3
EL ALTO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,45,45
GUAYARAMERIN,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,1,1
GUTIERREZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,5,5
HUACARETA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,2,2
HUAYLLAMARCA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,1,1
LA ASUNTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,4,4
LA PAZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,401,401
LAGUNILLAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,3,3
LLICA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,1,1
LURIBAY,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,1,1
MACHARETI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,4,4
MOCOMOCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,1,1
MONTERO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,158,158
ORURO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,514,514
PADILLA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,35,35
PAMPA GRANDE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,1,1
POCONA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,1,1
POJO (CBBA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,2,2
POROMA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,1,1
PORTACHUELO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,23,23
PRESTO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,2,2
PUCARANI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,3,3
PUERTO PEREZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,1,1
PUNATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,3,3
QUILLACOLLO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,1,1
RIBERALTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,6,6
ROBORE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,1,1
SAIPINA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,4,4
SAN ANTONIO DE LOMERIO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,1,1
SAN BUENA VENTURA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,2,2
SAN CARLOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,7,7
SAN IGNACIO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,1,1
SAN IGNACIO DE VELASCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,12,12
SAN JOAQUIN,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,1,1
SAN JULIAN,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,1,1
SAN MIGUEL DE VELASCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,2,2
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,194,194
SANTA ROSA DEL SARA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,1,1
SICA SICA (VILLA AROMA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,1,1
SUCRE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,283,283
TAPACARI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,1,1
TARABUCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,13,13
TARATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,1,1
TARVITA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,3,3
TIAWANACU,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,1,1
TOCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,1,1
TOLATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,2,2
TOMINA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,4,4
TRINIDAD,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,34,34
TUPIZA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,6,6
URUBICHA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,1,1
VIACHA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,2,2
VILLA CHARCAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,5,5
VILLA MONTES,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,1,1
VILLA RIVERO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,2,2
VILLAZON,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,3,3
ZUDAÑEZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-01-01,4,4
ANZALDO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,4,4
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,24,24
ATOCHA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,6,6
BERMEJO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,12,12
BOYUIBE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,1,1
CABEZAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,2,2
CAMARGO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,1,1
CAMATAQUI (C. VILLA ABECIA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,1,1
CAMIRI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,11,11
CAPINOTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,1,1
CHALLAPATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,1,1
CHARAGUA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,3,3
CHAYANTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,1,1
CHULUMANI (V. DE LA LIBERTAD),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,1,1
CLIZA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,13,13
COBIJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,176,176
COCHABAMBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,4,4
COMARAPA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,5,5
CONCEPCION,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,5,5
CUATRO CAÑADAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,2,2
CULPINA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,2,2
EL ALTO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,14,14
EL CHORO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,3,3
EL PUENTE(STC),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,1,1
ENTRE RIOS TRJ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,2,2
ENTRE RIOS CBBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,3,3
GUAYARAMERIN,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,1,1
GUTIERREZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,2,2
LA PAZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,384,384
MACHARETI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,1,1
MAIRANA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,2,2
MONTEAGUDO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,2,2
MONTERO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,160,160
ORURO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,60,60
PADCAYA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,2,2
PADILLA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,23,23
PAMPA GRANDE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,2,2
POCONA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,4,4
PORTACHUELO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,11,11
PRESTO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,6,6
PUERTO QUIJARRO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,2,2
RIBERALTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,4,4
SAIPINA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,5,5
SAN BORJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,1,1
SAN BUENA VENTURA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,1,1
SAN CARLOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,20,20
SAN IGNACIO DE VELASCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,27,27
SAN JUAN DE YAPACANI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,4,4
SAN LUCAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,1,1
SAN MATIAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,1,1
SAN MIGUEL DE VELASCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2015-02-01,6,6
