municipality,group,variable,month,Pacientes referidos a otros establecimientos,TOTAL
ACHACACHI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,31,31
ACHOCALLA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,42,42
AIQUILE,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,9,9
ALCALA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,17,17
ANCORAIMES,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,8,8
ANDAMARCA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,2,2
ANTEQUERA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,3,3
ANZALDO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,2,2
APOLO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,3,3
ARANI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,21,21
ARBIETO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,46,46
ARQUE,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,6,6
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,19,19
ATOCHA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,204,204
AUCAPATA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,1,1
AYATA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,12,12
AZURDUY,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,1,1
BATALLAS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,2,2
BAURES,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,4,4
BELEN DE URMIRI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,3,3
BELLA FLOR,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,7,7
BERMEJO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,47,47
BETANZOS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,56,56
BOLIVAR,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,1,1
BOYUIBE,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,9,9
CABEZAS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,43,43
CAIROMA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,6,6
"CAIZA ""D""",refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,18,18
CAJUATA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,5,5
CALACOTO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,2,2
CALAMARCA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,27,27
CAMARGO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,1,1
CAMATAQUI (C. VILLA ABECIA),refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,7,7
CAMIRI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,88,88
CAPINOTA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,47,47
CAQUIAVIRI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,2,2
CARACOLLO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,19,19
CARANAVI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,65,65
CARANGAS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,1,1
CARAPARI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,48,48
CARIPUYO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,4,4
CHALLAPATA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,59,59
CHAQUI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,9,9
CHARAGUA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,33,33
CHAYANTA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,6,6
CHIMORE,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,28,28
CHIPAYA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,1,1
CHUA COCANI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,10,10
CHULUMANI (V. DE LA LIBERTAD),refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,19,19
CHUMA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,1,1
CKOCHAS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,10,10
CLIZA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,45,45
COBIJA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,188,188
COCAPATA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,19,19
COCHABAMBA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,588,588
COLCAPIRHUA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,15,15
"COLCHA ""K""",refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,11,11
COLLANA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,1,1
COLOMI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,35,35
COLPA BELGICA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,31,31
COLQUECHACA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,16,16
COLQUENCHA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,1,1
COLQUIRI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,3,3
COMANCHE,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,1,1
COMARAPA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,30,30
CONCEPCION,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,2,2
CORIPATA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,13,13
COROICO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,54,54
CORQUE,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,1,1
COTAGAITA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,18,18
COTOCA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,54,54
CUATRO CAÑADAS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,29,29
CUEVO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,14,14
CULPINA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,3,3
CURAHUARA DE CARANGAS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,21,21
CURVA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,1,1
EL ALTO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,4863,4863
EL PUENTE(STC),refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,16,16
EL PUENTE(TJA),refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,5,5
EL TORNO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,78,78
EL VILLAR,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,8,8
ENTRE RIOS TRJ,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,25,25
ENTRE RIOS CBBA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,33,33
ESCOMA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,56,56
EUCALIPTUS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,12,12
FERNANDEZ ALONSO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,1,1
FILADELFIA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,7,7
GENERAL SAAVEDRA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,42,42
GRAL. J.J. PEREZ (CHARAZANI),refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,4,4
GUANAY,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,7,7
GUAQUI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,11,11
GUAYARAMERIN,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,109,109
GUTIERREZ,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,15,15
HUACARETA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,11,11
HUACAYA (VILLA DE HUACAYA),refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,5,5
HUACHACALLA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,8,8
HUANUNI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,110,110
HUARINA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,8,8
HUATAJATA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,2,2
HUAYLLAMARCA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,1,1
ICHOCA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,2,2
ICLA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,12,12
INCAHUASI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,2,2
INGAVI (HUMAITA),refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,2,2
INQUISIVI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,3,3
IRUPANA (VILLA DE LANZA),refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,43,43
IXIAMAS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,8,8
JESUS DE MACHACA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,9,9
LA ASUNTA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,35,35
LA GUARDIA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,280,280
LA PAZ,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,10252,10252
LAGUNILLAS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,40,40
LAJA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,60,60
LAS CARRERAS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,4,4
LLALLAGUA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,114,114
LLICA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,1,1
LORETO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,1,1
LURIBAY,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,6,6
MACHACAMARCA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,5,5
MACHARETI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,23,23
MAGDALENA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,6,6
MAIRANA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,6,6
MALLA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,1,1
MAPIRI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,6,6
MECAPACA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,25,25
MINEROS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,14,14
MIZQUE,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,32,32
MOCOMOCO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,4,4
MOJOCOYA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,12,12
MONTEAGUDO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,35,35
MONTERO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,750,750
MORO MORO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,3,3
MOROCHATA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,6,6
NACEBE (SANTA ROSA DEL ABUNA),refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,2,2
OCURI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,3,3
OKINAWA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,3,3
OMEREQUE,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,10,10
ORURO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2015-01-01,741,741
