municipality,group,variable,month,Pacientes referidos del establecimiento a la medicina tradicional,TOTAL
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-01-01,1,1
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-01-01,2,2
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-01-01,2,2
TAPACARI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-01-01,1,1
TARIJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-01-01,1,1
TINGUIPAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-01-01,9,9
URIONDO (A. CONCEPCION),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-01-01,3,3
YAPACANI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-01-01,1,1
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-02-01,5,5
CKOCHAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-02-01,1,1
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-02-01,2,2
EL PUENTE(TJA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-02-01,1,1
EL TORNO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-02-01,1,1
PASORAPA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-02-01,2,2
POCONA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-02-01,1,1
SAN IGNACIO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-02-01,1,1
SAN JUAN DE YAPACANI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-02-01,15,15
SANTIAGO DE CALLAPA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-02-01,1,1
TARIJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-02-01,4,4
TINGUIPAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-02-01,1,1
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-03-01,1,1
COLQUECHACA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-03-01,1,1
ORURO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-03-01,1,1
SAN JUAN DE YAPACANI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-03-01,12,12
TARIJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-03-01,1,1
TINGUIPAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-03-01,3,3
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-04-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-04-01,30,30
CKOCHAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-04-01,3,3
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-04-01,1,1
CUATRO CAÑADAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-04-01,1,1
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-04-01,1,1
ENTRE RIOS TRJ,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-04-01,2,2
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-04-01,1,1
PASORAPA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-04-01,1,1
PUERTO SILES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-04-01,2,2
SAN JUAN DE YAPACANI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-04-01,14,14
TINGUIPAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-04-01,3,3
URIONDO (A. CONCEPCION),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-04-01,8,8
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-05-01,2,2
CKOCHAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-05-01,2,2
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-05-01,1,1
CUATRO CAÑADAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-05-01,1,1
LLALLAGUA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-05-01,2,2
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-05-01,1,1
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-05-01,1,1
SAN JUAN DE YAPACANI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-05-01,6,6
SUCRE,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-05-01,1,1
VILLA SERRANO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-05-01,2,2
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-06-01,2,2
BAURES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-06-01,35,35
BETANZOS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-06-01,1,1
CARIPUYO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-06-01,3,3
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-06-01,2,2
CUATRO CAÑADAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-06-01,1,1
LLALLAGUA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-06-01,3,3
MOROCHATA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-06-01,1,1
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-06-01,1,1
SAN IGNACIO DE VELASCO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-06-01,1,1
SAN PEDRO DE BUENA VISTA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-06-01,3,3
SUCRE,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-06-01,1,1
TINGUIPAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-06-01,4,4
TRINIDAD,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-06-01,1,1
ACACIO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-07-01,1,1
ATOCHA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-07-01,1,1
BAURES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-07-01,13,13
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-07-01,1,1
COTAGAITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-07-01,1,1
EL TORNO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-07-01,1,1
LA PAZ,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-07-01,319,319
PUCARA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-07-01,2,2
SAN JUAN DE YAPACANI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-07-01,8,8
TINGUIPAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-07-01,5,5
VILLA TUNARI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-07-01,1,1
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-08-01,1,1
BAURES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-08-01,22,22
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-08-01,2,2
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-08-01,33,33
HUACARETA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-08-01,1,1
MIZQUE,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-08-01,1,1
OMEREQUE,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-08-01,1,1
ORURO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-08-01,31,31
PUERTO VILLARROEL,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-08-01,1,1
QUILLACOLLO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-08-01,3,3
RIBERALTA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-08-01,1,1
SAN JUAN DE YAPACANI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-08-01,6,6
TARIJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-08-01,21,21
TINGUIPAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-08-01,4,4
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-09-01,1,1
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-09-01,1,1
EL PUENTE(STC),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-09-01,1,1
EL PUENTE(TJA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-09-01,4,4
EL TORNO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-09-01,1,1
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-09-01,3,3
POTOSI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-09-01,2,2
TINGUIPAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-09-01,6,6
TOMINA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-09-01,2,2
