municipality,group,variable,month,PCD referidas a Unidades de Calificación de Discapacidad.,TOTAL
BOYUIBE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-01-01,1,1
BUENA VISTA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-01-01,2,2
CABEZAS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-01-01,1,1
CAQUIAVIRI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-01-01,2,2
COCHABAMBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-01-01,35,35
CUATRO CAÑADAS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-01-01,2,2
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-01-01,7,7
HUARINA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-01-01,1,1
LA PAZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-01-01,6,6
LAJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-01-01,1,1
ORURO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-01-01,5,5
SACABA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-01-01,2,2
SAN LUCAS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-01-01,2,2
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-01-01,4,4
SUCRE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-01-01,2,2
TARIJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-01-01,12,12
VILLA RIVERO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-01-01,1,1
YOTALA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-01-01,1,1
ASCENCION DE GUARAYOS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-02-01,2,2
BAURES,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-02-01,1,1
CAMARGO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-02-01,1,1
CHAYANTA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-02-01,1,1
COCHABAMBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-02-01,2,2
COROICO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-02-01,1,1
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-02-01,6,6
HUANUNI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-02-01,1,1
LA PAZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-02-01,6,6
LAJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-02-01,1,1
MOJOCOYA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-02-01,1,1
ORURO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-02-01,5,5
POTOSI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-02-01,2,2
PUERTO SUAREZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-02-01,1,1
SACABA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-02-01,2,2
SAN LUCAS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-02-01,5,5
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-02-01,18,18
SOPACHUY,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-02-01,2,2
TARIJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-02-01,48,48
TOMINA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-02-01,3,3
VILLA TUNARI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-02-01,2,2
APOLO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-03-01,1,1
BUENA VISTA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-03-01,1,1
CAMARGO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-03-01,4,4
COCHABAMBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-03-01,4,4
COTAGAITA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-03-01,3,3
CUATRO CAÑADAS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-03-01,1,1
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-03-01,11,11
HUACARETA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-03-01,1,1
HUANUNI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-03-01,6,6
ICLA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-03-01,2,2
LA PAZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-03-01,4,4
MONTEAGUDO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-03-01,3,3
MONTERO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-03-01,6,6
ORURO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-03-01,1,1
POJO (CBBA),refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-03-01,1,1
POTOSI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-03-01,3,3
PUERTO RICO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-03-01,1,1
PUERTO SUAREZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-03-01,3,3
SAN MATIAS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-03-01,1,1
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-03-01,9,9
SICA SICA (VILLA AROMA),refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-03-01,2,2
SOPACHUY,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-03-01,3,3
SUCRE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-03-01,3,3
TOLATA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-03-01,1,1
TUPIZA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-03-01,3,3
UNCIA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-03-01,51,51
AZURDUY,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-04-01,1,1
BUENA VISTA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-04-01,3,3
CAQUIAVIRI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-04-01,1,1
COCHABAMBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-04-01,3,3
CUATRO CAÑADAS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-04-01,2,2
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-04-01,22,22
EL TORNO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-04-01,1,1
ENTRE RIOS TRJ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-04-01,1,1
HUANUNI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-04-01,1,1
LA PAZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-04-01,6,6
LAJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-04-01,1,1
MONTEAGUDO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-04-01,1,1
ORURO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-04-01,5,5
POTOSI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-04-01,1,1
PUERTO SUAREZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-04-01,2,2
QUILLACOLLO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-04-01,2,2
RIBERALTA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2015-04-01,3,3
