municipality,group,variable,month,Pacientes referidos recibidos por el establecimiento,TOTAL
ACACIO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,2,2
ACHACACHI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,17,17
AIQUILE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,25,25
ALALAY,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,2,2
ANDAMARCA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,1,1
APOLO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,1,1
ARANI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,1,1
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,26,26
ATOCHA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,6,6
BATALLAS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,10,10
BERMEJO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,8,8
BETANZOS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,6,6
BOLPEBRA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,1,1
BUENA VISTA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,107,107
CABEZAS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,22,22
"CAIZA ""D""",refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,2,2
CAMARGO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,19,19
CAMIRI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,19,19
CAPINOTA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,1,1
CARANAVI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,50,50
CARMEN RIVERO TORREZ,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,7,7
CHARAGUA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,2,2
CHAYANTA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,21,21
CHULUMANI (V. DE LA LIBERTAD),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,18,18
CHUMA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,2,2
CKOCHAS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,1,1
CLIZA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,36,36
COBIJA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,300,300
COCHABAMBA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,119,119
"COLCHA ""K""",refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,3,3
COLQUECHACA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,2,2
COMANCHE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,1,1
COMARAPA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,23,23
CONCEPCION,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,10,10
COROICO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,49,49
COTAGAITA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,3,3
COTOCA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,64,64
CUATRO CAÑADAS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,1,1
CUEVO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,2,2
CULPINA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,1,1
EL ALTO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,1712,1712
EL CHORO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,1,1
EL PUENTE(TJA),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,4,4
EL TORNO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,102,102
ENTRE RIOS TRJ,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,41,41
ENTRE RIOS CBBA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,4,4
ESCOMA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,33,33
FILADELFIA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,1,1
GENERAL SAAVEDRA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,9,9
GRAL. J.J. PEREZ (CHARAZANI),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,1,1
GUAYARAMERIN,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,12,12
HUACARETA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,1,1
HUARINA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,1,1
HUMANATA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,2,2
ICLA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,2,2
INCAHUASI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,1,1
INGAVI (HUMAITA),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,2,2
INQUISIVI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,1,1
IRUPANA (VILLA DE LANZA),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,2,2
IXIAMAS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,1,1
LA ASUNTA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,12,12
LA PAZ,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,3313,3313
LA RIVERA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,1,1
LAGUNILLAS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,37,37
LLALLAGUA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,16,16
LORETO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,1,1
MACHARETI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,3,3
MAGDALENA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,5,5
MAIRANA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,29,29
MAPIRI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,2,2
MECAPACA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,6,6
MIZQUE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,2,2
MONTERO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,1019,1019
MORO MORO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,4,4
MOROCHATA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,3,3
OMEREQUE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,1,1
ORURO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,347,347
PADCAYA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,3,3
PADILLA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,47,47
PALCA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,1,1
PALOS BLANCOS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,1,1
PELECHUCO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,1,1
POCOATA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,4,4
POROMA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,5,5
PORONGO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,1,1
PORTACHUELO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,22,22
POTOSI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,42,42
PUCARA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,3,3
PUERTO GONZALO MORENO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,3,3
PUERTO QUIJARRO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,1,1
PUERTO RICO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,8,8
PUERTO SUAREZ,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,13,13
PUERTO VILLARROEL,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,2,2
PUNA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,9,9
PUNATA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,136,136
QUIABAYA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,1,1
QUILLACOLLO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,36,36
REYES,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,1,1
RIBERALTA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,128,128
ROBORE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,37,37
RURRENABAQUE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,24,24
SACABA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,46,46
SACABAMBA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,1,1
SAN ANDRES,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2015-01-01,1,1
