,group,variable,month,PERSONAS DE 20 A 39 AÑOS NUEVO,PERSONAS DE 20 A 39 AÑOS NUEVO,PERSONAS DE 20 A 39 AÑOS REPETIDO,PERSONAS DE 20 A 39 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 20 a 39 anos,2020-01-01,22,62,0,0,22,62,84
ACHACACHI,consulta externa,personas de 20 a 39 anos,2020-01-01,254,565,56,71,310,636,946
ACHOCALLA,consulta externa,personas de 20 a 39 anos,2020-01-01,60,298,9,21,69,319,388
AIQUILE,consulta externa,personas de 20 a 39 anos,2020-01-01,130,396,32,174,162,570,732
ALALAY,consulta externa,personas de 20 a 39 anos,2020-01-01,12,26,0,1,12,27,39
ALCALA,consulta externa,personas de 20 a 39 anos,2020-01-01,42,131,1,8,43,139,182
ALTO BENI,consulta externa,personas de 20 a 39 anos,2020-01-01,124,234,1,3,125,237,362
ANCORAIMES,consulta externa,personas de 20 a 39 anos,2020-01-01,47,82,8,10,55,92,147
ANDAMARCA,consulta externa,personas de 20 a 39 anos,2020-01-01,55,49,3,1,58,50,108
ANTEQUERA,consulta externa,personas de 20 a 39 anos,2020-01-01,25,48,1,16,26,64,90
ANZALDO,consulta externa,personas de 20 a 39 anos,2020-01-01,63,148,6,7,69,155,224
APOLO,consulta externa,personas de 20 a 39 anos,2020-01-01,158,392,10,86,168,478,646
ARAMPAMPA,consulta externa,personas de 20 a 39 anos,2020-01-01,38,64,0,0,38,64,102
ARANI,consulta externa,personas de 20 a 39 anos,2020-01-01,53,93,13,23,66,116,182
ARBIETO,consulta externa,personas de 20 a 39 anos,2020-01-01,98,417,8,22,106,439,545
ARQUE,consulta externa,personas de 20 a 39 anos,2020-01-01,71,154,0,2,71,156,227
ASCENCION DE GUARAYOS,consulta externa,personas de 20 a 39 anos,2020-01-01,169,339,2,7,171,346,517
ATOCHA,consulta externa,personas de 20 a 39 anos,2020-01-01,745,685,198,224,943,909,1852
AUCAPATA,consulta externa,personas de 20 a 39 anos,2020-01-01,99,142,5,3,104,145,249
AYATA,consulta externa,personas de 20 a 39 anos,2020-01-01,42,110,2,4,44,114,158
AYO AYO,consulta externa,personas de 20 a 39 anos,2020-01-01,83,120,0,0,83,120,203
