,group,variable,month,PERSONAS DE 50 A 59 AÑOS NUEVO,PERSONAS DE 50 A 59 AÑOS NUEVO,PERSONAS DE 50 A 59 AÑOS REPETIDO,PERSONAS DE 50 A 59 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 50 a 59 anos,2020-01-01,30,46,0,0,30,46,76
ACHACACHI,consulta externa,personas de 50 a 59 anos,2020-01-01,112,240,30,96,142,336,478
ACHOCALLA,consulta externa,personas de 50 a 59 anos,2020-01-01,19,52,2,3,21,55,76
AIQUILE,consulta externa,personas de 50 a 59 anos,2020-01-01,70,142,34,52,104,194,298
ALALAY,consulta externa,personas de 50 a 59 anos,2020-01-01,13,14,0,0,13,14,27
ALCALA,consulta externa,personas de 50 a 59 anos,2020-01-01,36,63,2,4,38,67,105
ALTO BENI,consulta externa,personas de 50 a 59 anos,2020-01-01,57,70,7,9,64,79,143
ANCORAIMES,consulta externa,personas de 50 a 59 anos,2020-01-01,48,37,12,16,60,53,113
ANDAMARCA,consulta externa,personas de 50 a 59 anos,2020-01-01,17,31,1,5,18,36,54
ANTEQUERA,consulta externa,personas de 50 a 59 anos,2020-01-01,9,11,1,2,10,13,23
ANZALDO,consulta externa,personas de 50 a 59 anos,2020-01-01,56,66,3,3,59,69,128
APOLO,consulta externa,personas de 50 a 59 anos,2020-01-01,76,84,10,18,86,102,188
ARAMPAMPA,consulta externa,personas de 50 a 59 anos,2020-01-01,17,34,0,0,17,34,51
ARANI,consulta externa,personas de 50 a 59 anos,2020-01-01,24,34,5,8,29,42,71
ARBIETO,consulta externa,personas de 50 a 59 anos,2020-01-01,30,82,5,5,35,87,122
ARQUE,consulta externa,personas de 50 a 59 anos,2020-01-01,26,58,1,0,27,58,85
ASCENCION DE GUARAYOS,consulta externa,personas de 50 a 59 anos,2020-01-01,89,176,1,3,90,179,269
ATOCHA,consulta externa,personas de 50 a 59 anos,2020-01-01,320,266,145,116,465,382,847
AUCAPATA,consulta externa,personas de 50 a 59 anos,2020-01-01,54,52,3,3,57,55,112
AYATA,consulta externa,personas de 50 a 59 anos,2020-01-01,34,52,5,2,39,54,93
AYO AYO,consulta externa,personas de 50 a 59 anos,2020-01-01,40,46,0,1,40,47,87
