,group,variable,month,MENORES DE 6 MESES NUEVO,MENORES DE 6 MESES NUEVO,MENORES DE 6 MESES REPETIDO,MENORES DE 6 MESES REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,menores de 6 meses,2020-01-01,6,3,0,0,6,3,9
ACHACACHI,consulta externa,menores de 6 meses,2020-01-01,58,66,12,6,70,72,142
ACHOCALLA,consulta externa,menores de 6 meses,2020-01-01,25,39,2,1,27,40,67
AIQUILE,consulta externa,menores de 6 meses,2020-01-01,55,56,1,2,56,58,114
ALALAY,consulta externa,menores de 6 meses,2020-01-01,2,0,1,0,3,0,3
ALCALA,consulta externa,menores de 6 meses,2020-01-01,5,3,0,0,5,3,8
ALTO BENI,consulta externa,menores de 6 meses,2020-01-01,23,20,0,0,23,20,43
ANCORAIMES,consulta externa,menores de 6 meses,2020-01-01,2,4,0,0,2,4,6
ANDAMARCA,consulta externa,menores de 6 meses,2020-01-01,4,1,0,0,4,1,5
ANTEQUERA,consulta externa,menores de 6 meses,2020-01-01,1,6,2,4,3,10,13
ANZALDO,consulta externa,menores de 6 meses,2020-01-01,11,13,0,1,11,14,25
APOLO,consulta externa,menores de 6 meses,2020-01-01,51,53,18,34,69,87,156
ARAMPAMPA,consulta externa,menores de 6 meses,2020-01-01,10,5,0,0,10,5,15
ARANI,consulta externa,menores de 6 meses,2020-01-01,12,16,1,1,13,17,30
ARBIETO,consulta externa,menores de 6 meses,2020-01-01,53,54,2,8,55,62,117
ARQUE,consulta externa,menores de 6 meses,2020-01-01,13,21,0,0,13,21,34
ASCENCION DE GUARAYOS,consulta externa,menores de 6 meses,2020-01-01,66,47,2,2,68,49,117
ATOCHA,consulta externa,menores de 6 meses,2020-01-01,52,25,13,9,65,34,99
AUCAPATA,consulta externa,menores de 6 meses,2020-01-01,18,10,1,0,19,10,29
AYATA,consulta externa,menores de 6 meses,2020-01-01,7,3,1,0,8,3,11
AYO AYO,consulta externa,menores de 6 meses,2020-01-01,11,17,5,2,16,19,35
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,menores de 6 meses,2020-01-01,29,31,0,0,29,31,60
AZURDUY,consulta externa,menores de 6 meses,2020-01-01,31,39,1,3,32,42,74
