,group,variable,month,PERSONAS DE 40 A 49 AÑOS NUEVO,PERSONAS DE 40 A 49 AÑOS NUEVO,PERSONAS DE 40 A 49 AÑOS REPETIDO,PERSONAS DE 40 A 49 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 40 a 49 anos,2020-01-01,20,30,0,0,20,30,50
ACHACACHI,consulta externa,personas de 40 a 49 anos,2020-01-01,89,177,22,32,111,209,320
ACHOCALLA,consulta externa,personas de 40 a 49 anos,2020-01-01,34,91,3,6,37,97,134
AIQUILE,consulta externa,personas de 40 a 49 anos,2020-01-01,77,134,12,46,89,180,269
ALALAY,consulta externa,personas de 40 a 49 anos,2020-01-01,14,8,0,0,14,8,22
ALCALA,consulta externa,personas de 40 a 49 anos,2020-01-01,20,46,0,6,20,52,72
ALTO BENI,consulta externa,personas de 40 a 49 anos,2020-01-01,61,99,3,8,64,107,171
ANCORAIMES,consulta externa,personas de 40 a 49 anos,2020-01-01,25,50,13,7,38,57,95
ANDAMARCA,consulta externa,personas de 40 a 49 anos,2020-01-01,27,25,1,5,28,30,58
ANTEQUERA,consulta externa,personas de 40 a 49 anos,2020-01-01,7,17,0,2,7,19,26
ANZALDO,consulta externa,personas de 40 a 49 anos,2020-01-01,33,84,4,4,37,88,125
APOLO,consulta externa,personas de 40 a 49 anos,2020-01-01,90,144,6,19,96,163,259
ARAMPAMPA,consulta externa,personas de 40 a 49 anos,2020-01-01,19,26,0,0,19,26,45
ARANI,consulta externa,personas de 40 a 49 anos,2020-01-01,11,40,4,10,15,50,65
ARBIETO,consulta externa,personas de 40 a 49 anos,2020-01-01,28,109,2,6,30,115,145
ARQUE,consulta externa,personas de 40 a 49 anos,2020-01-01,49,58,0,0,49,58,107
ASCENCION DE GUARAYOS,consulta externa,personas de 40 a 49 anos,2020-01-01,111,194,0,0,111,194,305
ATOCHA,consulta externa,personas de 40 a 49 anos,2020-01-01,547,405,212,153,759,558,1317
AUCAPATA,consulta externa,personas de 40 a 49 anos,2020-01-01,50,61,4,1,54,62,116
AYATA,consulta externa,personas de 40 a 49 anos,2020-01-01,38,59,4,2,42,61,103
AYO AYO,consulta externa,personas de 40 a 49 anos,2020-01-01,38,55,0,1,38,56,94
