,group,variable,month,PERSONAS DE 60 AÑOS Y MÁS NUEVO,PERSONAS DE 60 AÑOS Y MÁS NUEVO,PERSONAS DE 60 AÑOS Y MÁS REPETIDO,PERSONAS DE 60 AÑOS Y MÁS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 60 anos y mas,2020-01-01,297,364,5,0,302,364,666
ACHACACHI,consulta externa,personas de 60 anos y mas,2020-01-01,574,712,203,240,777,952,1729
ACHOCALLA,consulta externa,personas de 60 anos y mas,2020-01-01,154,193,21,25,175,218,393
AIQUILE,consulta externa,personas de 60 anos y mas,2020-01-01,303,452,386,479,689,931,1620
ALALAY,consulta externa,personas de 60 anos y mas,2020-01-01,60,91,3,1,63,92,155
ALCALA,consulta externa,personas de 60 anos y mas,2020-01-01,91,127,4,6,95,133,228
ALTO BENI,consulta externa,personas de 60 anos y mas,2020-01-01,247,169,37,26,284,195,479
ANCORAIMES,consulta externa,personas de 60 anos y mas,2020-01-01,225,203,147,179,372,382,754
ANDAMARCA,consulta externa,personas de 60 anos y mas,2020-01-01,249,280,16,13,265,293,558
ANTEQUERA,consulta externa,personas de 60 anos y mas,2020-01-01,29,37,3,3,32,40,72
ANZALDO,consulta externa,personas de 60 anos y mas,2020-01-01,370,491,21,29,391,520,911
APOLO,consulta externa,personas de 60 anos y mas,2020-01-01,262,238,46,79,308,317,625
ARAMPAMPA,consulta externa,personas de 60 anos y mas,2020-01-01,126,158,2,1,128,159,287
ARANI,consulta externa,personas de 60 anos y mas,2020-01-01,234,371,100,146,334,517,851
ARBIETO,consulta externa,personas de 60 anos y mas,2020-01-01,409,672,37,64,446,736,1182
ARQUE,consulta externa,personas de 60 anos y mas,2020-01-01,294,426,67,69,361,495,856
ASCENCION DE GUARAYOS,consulta externa,personas de 60 anos y mas,2020-01-01,224,222,3,2,227,224,451
ATOCHA,consulta externa,personas de 60 anos y mas,2020-01-01,282,332,149,173,431,505,936
AUCAPATA,consulta externa,personas de 60 anos y mas,2020-01-01,155,143,5,14,160,157,317
AYATA,consulta externa,personas de 60 anos y mas,2020-01-01,203,252,17,19,220,271,491
AYO AYO,consulta externa,personas de 60 anos y mas,2020-01-01,303,281,7,10,310,291,601
