,group,variable,month,PERSONAS DE 15 A 19 AÑOS NUEVO,PERSONAS DE 15 A 19 AÑOS NUEVO,PERSONAS DE 15 A 19 AÑOS REPETIDO,PERSONAS DE 15 A 19 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 15 a 19 anos,2020-01-01,3,15,0,0,3,15,18
ACHACACHI,consulta externa,personas de 15 a 19 anos,2020-01-01,68,154,9,28,77,182,259
ACHOCALLA,consulta externa,personas de 15 a 19 anos,2020-01-01,17,69,0,4,17,73,90
AIQUILE,consulta externa,personas de 15 a 19 anos,2020-01-01,51,127,10,48,61,175,236
ALALAY,consulta externa,personas de 15 a 19 anos,2020-01-01,8,13,1,0,9,13,22
ALCALA,consulta externa,personas de 15 a 19 anos,2020-01-01,7,39,1,2,8,41,49
ALTO BENI,consulta externa,personas de 15 a 19 anos,2020-01-01,51,47,0,2,51,49,100
ANCORAIMES,consulta externa,personas de 15 a 19 anos,2020-01-01,19,31,2,2,21,33,54
ANDAMARCA,consulta externa,personas de 15 a 19 anos,2020-01-01,12,17,1,1,13,18,31
ANTEQUERA,consulta externa,personas de 15 a 19 anos,2020-01-01,6,19,0,1,6,20,26
ANZALDO,consulta externa,personas de 15 a 19 anos,2020-01-01,17,30,5,1,22,31,53
APOLO,consulta externa,personas de 15 a 19 anos,2020-01-01,40,118,4,24,44,142,186
ARAMPAMPA,consulta externa,personas de 15 a 19 anos,2020-01-01,4,9,0,0,4,9,13
ARANI,consulta externa,personas de 15 a 19 anos,2020-01-01,21,36,4,5,25,41,66
ARBIETO,consulta externa,personas de 15 a 19 anos,2020-01-01,22,90,1,3,23,93,116
ARQUE,consulta externa,personas de 15 a 19 anos,2020-01-01,19,35,0,0,19,35,54
ASCENCION DE GUARAYOS,consulta externa,personas de 15 a 19 anos,2020-01-01,86,152,0,0,86,152,238
ATOCHA,consulta externa,personas de 15 a 19 anos,2020-01-01,71,153,9,40,80,193,273
AUCAPATA,consulta externa,personas de 15 a 19 anos,2020-01-01,26,39,2,0,28,39,67
AYATA,consulta externa,personas de 15 a 19 anos,2020-01-01,9,18,0,0,9,18,27
AYO AYO,consulta externa,personas de 15 a 19 anos,2020-01-01,28,47,0,0,28,47,75
