,group,variable,month,NIÑOS DE 1 A 4 AÑOS NUEVO,NIÑOS DE 1 A 4 AÑOS NUEVO,NIÑOS DE 1 A 4 AÑOS REPETIDO,NIÑOS DE 1 A 4 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,ninos  de 1 a 4 anos,2020-01-01,39,18,1,1,40,19,59
ACHACACHI,consulta externa,ninos  de 1 a 4 anos,2020-01-01,178,152,22,11,200,163,363
ACHOCALLA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,125,108,4,2,129,110,239
AIQUILE,consulta externa,ninos  de 1 a 4 anos,2020-01-01,163,177,8,17,171,194,365
ALALAY,consulta externa,ninos  de 1 a 4 anos,2020-01-01,10,8,0,3,10,11,21
ALCALA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,40,37,0,1,40,38,78
ALTO BENI,consulta externa,ninos  de 1 a 4 anos,2020-01-01,143,123,2,3,145,126,271
ANCORAIMES,consulta externa,ninos  de 1 a 4 anos,2020-01-01,40,44,23,20,63,64,127
ANDAMARCA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,27,38,0,3,27,41,68
ANTEQUERA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,16,19,9,9,25,28,53
ANZALDO,consulta externa,ninos  de 1 a 4 anos,2020-01-01,60,65,2,4,62,69,131
APOLO,consulta externa,ninos  de 1 a 4 anos,2020-01-01,228,201,72,78,300,279,579
ARAMPAMPA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,46,37,1,0,47,37,84
ARANI,consulta externa,ninos  de 1 a 4 anos,2020-01-01,44,42,9,9,53,51,104
ARBIETO,consulta externa,ninos  de 1 a 4 anos,2020-01-01,237,213,16,21,253,234,487
ARQUE,consulta externa,ninos  de 1 a 4 anos,2020-01-01,100,101,0,1,100,102,202
ASCENCION DE GUARAYOS,consulta externa,ninos  de 1 a 4 anos,2020-01-01,322,240,16,4,338,244,582
ATOCHA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,231,216,41,29,272,245,517
AUCAPATA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,49,67,3,3,52,70,122
AYATA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,53,49,1,2,54,51,105
