,group,variable,month,NINOS DE 6 MESES A < 1 AÑO NUEVO,NINOS DE 6 MESES A < 1 AÑO NUEVO,NINOS DE 6 MESES A < 1 AÑO REPETIDO,NINOS DE 6 MESES A < 1 AÑO REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,ninos de 6 meses a < 1 ano,2020-01-01,5,5,0,0,5,5,10
ACHACACHI,consulta externa,ninos de 6 meses a < 1 ano,2020-01-01,41,60,4,7,45,67,112
ACHOCALLA,consulta externa,ninos de 6 meses a < 1 ano,2020-01-01,20,13,0,1,20,14,34
AIQUILE,consulta externa,ninos de 6 meses a < 1 ano,2020-01-01,71,47,2,2,73,49,122
ALALAY,consulta externa,ninos de 6 meses a < 1 ano,2020-01-01,2,5,0,0,2,5,7
ALCALA,consulta externa,ninos de 6 meses a < 1 ano,2020-01-01,3,1,0,0,3,1,4
ALTO BENI,consulta externa,ninos de 6 meses a < 1 ano,2020-01-01,57,48,0,0,57,48,105
ANCORAIMES,consulta externa,ninos de 6 meses a < 1 ano,2020-01-01,7,11,0,0,7,11,18
ANDAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2020-01-01,2,2,0,0,2,2,4
ANTEQUERA,consulta externa,ninos de 6 meses a < 1 ano,2020-01-01,2,2,0,4,2,6,8
ANZALDO,consulta externa,ninos de 6 meses a < 1 ano,2020-01-01,16,30,2,2,18,32,50
APOLO,consulta externa,ninos de 6 meses a < 1 ano,2020-01-01,61,58,41,49,102,107,209
ARAMPAMPA,consulta externa,ninos de 6 meses a < 1 ano,2020-01-01,10,3,0,0,10,3,13
ARANI,consulta externa,ninos de 6 meses a < 1 ano,2020-01-01,24,12,5,0,29,12,41
ARBIETO,consulta externa,ninos de 6 meses a < 1 ano,2020-01-01,66,46,10,9,76,55,131
ARQUE,consulta externa,ninos de 6 meses a < 1 ano,2020-01-01,29,29,0,1,29,30,59
ASCENCION DE GUARAYOS,consulta externa,ninos de 6 meses a < 1 ano,2020-01-01,91,75,4,1,95,76,171
ATOCHA,consulta externa,ninos de 6 meses a < 1 ano,2020-01-01,70,59,17,17,87,76,163
AUCAPATA,consulta externa,ninos de 6 meses a < 1 ano,2020-01-01,11,24,0,0,11,24,35
