,group,variable,month,PERSONAS DE 10 A 14 AÑOS NUEVO,PERSONAS DE 10 A 14 AÑOS NUEVO,PERSONAS DE 10 A 14 AÑOS REPETIDO,PERSONAS DE 10 A 14 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 10 a 14 anos,2020-01-01,11,13,0,0,11,13,24
ACHACACHI,consulta externa,personas de 10 a 14 anos,2020-01-01,74,55,12,4,86,59,145
ACHOCALLA,consulta externa,personas de 10 a 14 anos,2020-01-01,27,35,2,0,29,35,64
AIQUILE,consulta externa,personas de 10 a 14 anos,2020-01-01,48,66,6,9,54,75,129
ALALAY,consulta externa,personas de 10 a 14 anos,2020-01-01,6,5,0,0,6,5,11
ALCALA,consulta externa,personas de 10 a 14 anos,2020-01-01,18,18,0,1,18,19,37
ALTO BENI,consulta externa,personas de 10 a 14 anos,2020-01-01,61,57,1,0,62,57,119
ANCORAIMES,consulta externa,personas de 10 a 14 anos,2020-01-01,10,23,4,9,14,32,46
ANDAMARCA,consulta externa,personas de 10 a 14 anos,2020-01-01,14,16,0,0,14,16,30
ANTEQUERA,consulta externa,personas de 10 a 14 anos,2020-01-01,3,10,0,3,3,13,16
ANZALDO,consulta externa,personas de 10 a 14 anos,2020-01-01,21,19,0,0,21,19,40
APOLO,consulta externa,personas de 10 a 14 anos,2020-01-01,69,81,2,4,71,85,156
ARAMPAMPA,consulta externa,personas de 10 a 14 anos,2020-01-01,13,20,0,0,13,20,33
ARANI,consulta externa,personas de 10 a 14 anos,2020-01-01,10,7,1,2,11,9,20
ARBIETO,consulta externa,personas de 10 a 14 anos,2020-01-01,50,54,1,1,51,55,106
ARQUE,consulta externa,personas de 10 a 14 anos,2020-01-01,31,37,0,0,31,37,68
ASCENCION DE GUARAYOS,consulta externa,personas de 10 a 14 anos,2020-01-01,127,120,2,4,129,124,253
ATOCHA,consulta externa,personas de 10 a 14 anos,2020-01-01,105,140,9,28,114,168,282
AUCAPATA,consulta externa,personas de 10 a 14 anos,2020-01-01,21,27,0,2,21,29,50
AYATA,consulta externa,personas de 10 a 14 anos,2020-01-01,22,28,0,3,22,31,53
AYO AYO,consulta externa,personas de 10 a 14 anos,2020-01-01,33,23,0,0,33,23,56
