,group,variable,month,PERSONAS DE 5 A 9 AÑOS NUEVO,PERSONAS DE 5 A 9 AÑOS NUEVO,PERSONAS DE 5 A 9 AÑOS REPETIDO,PERSONAS DE 5 A 9 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 5 a 9 anos,2020-01-01,18,16,0,0,18,16,34
ACHACACHI,consulta externa,personas de 5 a 9 anos,2020-01-01,88,70,12,6,100,76,176
ACHOCALLA,consulta externa,personas de 5 a 9 anos,2020-01-01,39,58,2,4,41,62,103
AIQUILE,consulta externa,personas de 5 a 9 anos,2020-01-01,65,81,2,11,67,92,159
ALALAY,consulta externa,personas de 5 a 9 anos,2020-01-01,5,2,0,0,5,2,7
ALCALA,consulta externa,personas de 5 a 9 anos,2020-01-01,18,15,0,0,18,15,33
ALTO BENI,consulta externa,personas de 5 a 9 anos,2020-01-01,72,68,0,0,72,68,140
ANCORAIMES,consulta externa,personas de 5 a 9 anos,2020-01-01,30,33,39,28,69,61,130
ANDAMARCA,consulta externa,personas de 5 a 9 anos,2020-01-01,25,22,0,0,25,22,47
ANTEQUERA,consulta externa,personas de 5 a 9 anos,2020-01-01,6,6,1,1,7,7,14
ANZALDO,consulta externa,personas de 5 a 9 anos,2020-01-01,32,18,2,0,34,18,52
APOLO,consulta externa,personas de 5 a 9 anos,2020-01-01,109,109,7,4,116,113,229
ARAMPAMPA,consulta externa,personas de 5 a 9 anos,2020-01-01,25,16,0,0,25,16,41
ARANI,consulta externa,personas de 5 a 9 anos,2020-01-01,23,19,2,6,25,25,50
ARBIETO,consulta externa,personas de 5 a 9 anos,2020-01-01,73,86,3,2,76,88,164
ARQUE,consulta externa,personas de 5 a 9 anos,2020-01-01,32,30,0,0,32,30,62
ASCENCION DE GUARAYOS,consulta externa,personas de 5 a 9 anos,2020-01-01,131,121,3,4,134,125,259
ATOCHA,consulta externa,personas de 5 a 9 anos,2020-01-01,148,167,15,28,163,195,358
AUCAPATA,consulta externa,personas de 5 a 9 anos,2020-01-01,23,32,1,2,24,34,58
AYATA,consulta externa,personas de 5 a 9 anos,2020-01-01,30,41,1,1,31,42,73
AYO AYO,consulta externa,personas de 5 a 9 anos,2020-01-01,30,32,0,0,30,32,62
