,group,variable,month,NUEVAS EN EL 1ER TRIMESTRE DEL EMBARAZO 10 A 14,NUEVAS EN EL 1ER TRIMESTRE DEL EMBARAZO 10 A 14,NUEVAS EN EL 1ER TRIMESTRE DEL EMBARAZO 15 A 19,NUEVAS EN EL 1ER TRIMESTRE DEL EMBARAZO 15 A 19,NUEVAS EN EL 1ER TRIMESTRE DEL EMBARAZO 20 A 34,NUEVAS EN EL 1ER TRIMESTRE DEL EMBARAZO 20 A 34,NUEVAS EN EL 1ER TRIMESTRE DEL EMBARAZO 35 A 49,NUEVAS EN EL 1ER TRIMESTRE DEL EMBARAZO 35 A 49,NUEVAS EN EL 1ER TRIMESTRE DEL EMBARAZO 50 Y +,NUEVAS EN EL 1ER TRIMESTRE DEL EMBARAZO 50 Y +,NUEVAS EN EL 1ER TRIMESTRE DEL EMBARAZO < A 10,NUEVAS EN EL 1ER TRIMESTRE DEL EMBARAZO < A 10,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,,,
ACACIO,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1
ACHACACHI,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,1,1,6,0,2,1,0,0,0,0,11
ACHOCALLA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,1,0,4,0,0,0,0,0,5
AIQUILE,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,2,0,13,0,1,0,0,0,0,0,16
ALALAY,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,1
ALTO BENI,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,2,1,3,0,0,0,0,0,0,0,6
ANCORAIMES,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,1,0,1,0,0,0,0,0,2
ANDAMARCA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,1
ANTEQUERA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,1,0,1,0,0,0,0,0,0,0,2
ANZALDO,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,4,0,1,0,0,0,0,0,5
APOLO,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,3,0,11,0,3,1,0,0,0,0,18
ARAMPAMPA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,1,1,0,1,0,0,0,0,0,3
ARANI,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,6,0,0,0,0,0,0,0,6
ARBIETO,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,3,0,13,0,0,0,0,0,0,0,16
ARQUE,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,2,5,0,2,0,0,0,0,0,9
ATOCHA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,1,0,9,0,1,0,0,0,11
AUCAPATA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,0,0,3,0,0,0,0,0,3
AYATA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,3,0,0,0,0,0,0,0,3
AYO AYO,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,1,0,5,2,0,0,0,0,0,0,8
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,3,0,12,0,3,0,0,0,0,0,18
AZURDUY,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,1,1,0,2,0,1,2,0,0,0,0,7
BATALLAS,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,4,0,8,0,0,0,0,0,12
BAURES,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,1,0,3,0,0,0,0,0,4
BELLA FLOR,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,6,0,0,0,0,0,0,0,6
BERMEJO,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,2,0,5,0,0,0,0,0,7
BETANZOS,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,6,1,16,0,2,0,0,0,0,0,25
BOLIVAR,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,1,0,1,0,0,1,0,0,0,0,3
BOYUIBE,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1
BUENA VISTA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,4,0,8,0,2,0,0,0,14
CABEZAS,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,2,0,13,1,2,0,0,0,18
"CAIZA ""D""",consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,1,0,5,0,0,0,0,0,0,0,6
CAJUATA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,6,0,10,0,2,0,0,0,0,0,18
CALACOTO,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,1,1,1,0,0,0,0,0,3
CALAMARCA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,8,0,5,0,0,0,0,0,13
CAMARGO,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,12,1,5,0,0,0,0,0,18
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,1,0,1,1,0,0,0,0,0,0,3
CAMIRI,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,4,0,22,1,2,0,0,0,29
CAPINOTA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,1,0,9,0,5,0,0,0,0,0,15
CAQUIAVIRI,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,1,0,0,1,2,0,0,0,0,0,4
CARACOLLO,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,2,0,9,1,1,0,0,0,0,0,13
CARANAVI,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,4,0,26,0,9,1,0,0,0,0,40
CARAPARI,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,1,0,6,0,4,0,0,0,0,0,11
CARIPUYO,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,1,0,2,0,0,0,0,0,3
CARMEN RIVERO TORREZ,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1
CHALLAPATA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,3,1,18,0,2,0,0,0,0,0,24
CHAQUI,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,1,0,7,0,1,0,0,0,0,0,9
CHARAGUA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,6,1,22,1,2,0,0,0,32
CHAYANTA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,1,0,7,3,1,0,0,0,0,0,12
CHIMORE,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,4,0,11,0,4,0,0,0,0,0,19
CHIPAYA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1
CHUA COCANI,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,1,0,4,0,1,0,0,0,0,0,6
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,3,0,6,0,1,0,0,0,0,0,10
CHUMA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,1,0,1,0,0,0,0,0,2
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,0,0,2,1,1,0,0,0,4
CKOCHAS,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,4,0,3,0,0,0,0,0,7
CLIZA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,5,0,15,0,2,0,0,0,0,0,22
COBIJA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,4,0,40,0,11,0,1,0,0,0,56
COCAPATA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,4,0,3,0,0,0,0,0,0,0,7
COCHABAMBA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,2,0,22,0,291,2,291,1,60,0,0,0,669
COLCAPIRHUA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,5,0,17,0,31,0,0,0,0,0,53
"COLCHA ""K""",consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,2,0,5,0,1,0,0,0,0,0,8
COLOMI,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,3,0,11,1,5,0,0,0,0,0,20
COLPA BELGICA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,3,0,4,1,0,0,0,0,0,0,8
COLQUECHACA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,6,0,9,0,3,0,0,0,0,0,18
