,group,variable,month,NUEVAS EN EL 2DO TRIMESTRE DEL EMBARAZO 10 A 14,NUEVAS EN EL 2DO TRIMESTRE DEL EMBARAZO 10 A 14,NUEVAS EN EL 2DO TRIMESTRE DEL EMBARAZO 15 A 19,NUEVAS EN EL 2DO TRIMESTRE DEL EMBARAZO 15 A 19,NUEVAS EN EL 2DO TRIMESTRE DEL EMBARAZO 20 A 34,NUEVAS EN EL 2DO TRIMESTRE DEL EMBARAZO 20 A 34,NUEVAS EN EL 2DO TRIMESTRE DEL EMBARAZO 35 A 49,NUEVAS EN EL 2DO TRIMESTRE DEL EMBARAZO 35 A 49,NUEVAS EN EL 2DO TRIMESTRE DEL EMBARAZO 50 Y +,NUEVAS EN EL 2DO TRIMESTRE DEL EMBARAZO 50 Y +,NUEVAS EN EL 2DO TRIMESTRE DEL EMBARAZO < A 10,NUEVAS EN EL 2DO TRIMESTRE DEL EMBARAZO < A 10,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,,,
ACHACACHI,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,2,0,2,0,0,0,0,0,4
ACHOCALLA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,1,0,0,0,1,0,0,0,2
AIQUILE,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,2,0,1,1,0,0,0,0,0,0,4
ALCALA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,1
ANCORAIMES,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,2,0,0,0,0,0,0,0,2
ANDAMARCA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1
ANZALDO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,1
APOLO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,3,0,2,2,5,0,0,1,0,0,13
ARAMPAMPA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,1,0,1,0,0,0,0,0,0,2
ARANI,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,2,0,4,0,0,0,0,0,0,0,6
ARBIETO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,3,0,1,0,0,0,0,0,4
ARQUE,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,2,0,1,0,0,0,0,0,0,0,3
ASCENCION DE GUARAYOS,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,0,6,0,16,0,5,0,0,0,28
ATOCHA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,0,0,0,2,0,3,0,0,0,6
AUCAPATA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1
AYATA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,3,0,0,0,0,0,0,0,3
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,2,0,4,0,1,0,0,0,0,0,7
AZURDUY,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,0,1,0,0,0,0,0,0,0,2
BATALLAS,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,1,0,4,0,0,0,0,0,5
BAURES,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,0,0,1,0,1,0,0,0,2
BELLA FLOR,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1
BERMEJO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,3,0,2,0,0,0,0,0,5
BETANZOS,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,0,4,1,2,0,0,0,0,0,8
BOLIVAR,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,0,1,0,0,0,0,0,0,0,2
BOYUIBE,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,2,0,0,0,0,0,0,0,0,0,2
BUENA VISTA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,1,0,2,0,0,0,0,0,3
CABEZAS,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,4,0,10,1,0,0,0,0,15
"CAIZA ""D""",consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,0,1,0,4,0,0,0,0,0,6
CAJUATA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,2,0,0,0,0,0,0,0,2
CALACOTO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1
CALAMARCA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,2,0,1,0,2,0,0,0,0,0,5
CAMARGO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,4,0,0,0,0,0,0,0,4
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,1
CAMIRI,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,1,0,6,0,1,0,0,0,8
CAPINOTA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,3,1,2,0,1,0,0,0,0,0,7
CAQUIAVIRI,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1
CARACOLLO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,7,0,4,0,0,0,0,0,11
CARANAVI,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,0,9,0,1,0,0,0,0,0,11
CARAPARI,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,0,7,0,0,0,0,0,0,0,8
CARMEN RIVERO TORREZ,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,1,0,1,0,1,0,0,0,3
CATACORA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,1
CHACARILLA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,0,1,1,0,0,0,0,0,2
CHALLAPATA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,2,0,9,1,1,0,0,0,0,0,13
CHAQUI,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,2,0,4,0,0,0,0,0,0,0,6
CHARAGUA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,7,1,17,1,3,0,0,0,29
CHARAÑA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1
CHAYANTA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,0,1,0,0,0,0,0,0,0,2
CHIMORE,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,4,0,5,0,3,0,0,0,0,0,12
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,0,4,0,1,0,0,0,0,0,6
CHUMA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,0,0,0,1,0,0,0,0,0,2
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,0,3,0,2,0,0,0,0,0,6
CKOCHAS,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,3,0,2,0,0,0,0,0,0,0,5
CLIZA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,0,1,1,0,0,0,0,0,2
COBIJA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,1,0,3,0,12,0,4,1,1,0,0,0,22
COCAPATA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,2,1,8,1,1,0,0,0,0,0,13
COCHABAMBA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,29,0,261,4,215,2,45,0,0,0,556
COLCAPIRHUA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,0,8,0,3,0,0,0,0,0,12
"COLCHA ""K""",consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,1,0,1,0,0,0,0,0,2
COLOMI,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,5,0,7,0,0,0,0,0,0,0,12
COLPA BELGICA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,2,0,3,0,0,0,0,0,0,0,5
COLQUECHACA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,0,0,1,0,0,0,0,0,0,2
COLQUENCHA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,2,0,0,0,0,0,0,0,2
COLQUIRI,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,1,0,6,0,0,0,0,0,7
COMANCHE,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,2,0,0,0,1,0,0,0,0,0,3
