,group,variable,month,NUEVAS EN EL 3ER TRIMESTRE DEL EMBARAZO 10 A 14,NUEVAS EN EL 3ER TRIMESTRE DEL EMBARAZO 10 A 14,NUEVAS EN EL 3ER TRIMESTRE DEL EMBARAZO 15 A 19,NUEVAS EN EL 3ER TRIMESTRE DEL EMBARAZO 15 A 19,NUEVAS EN EL 3ER TRIMESTRE DEL EMBARAZO 20 A 34,NUEVAS EN EL 3ER TRIMESTRE DEL EMBARAZO 20 A 34,NUEVAS EN EL 3ER TRIMESTRE DEL EMBARAZO 35 A 49,NUEVAS EN EL 3ER TRIMESTRE DEL EMBARAZO 35 A 49,NUEVAS EN EL 3ER TRIMESTRE DEL EMBARAZO 50 Y +,NUEVAS EN EL 3ER TRIMESTRE DEL EMBARAZO 50 Y +,NUEVAS EN EL 3ER TRIMESTRE DEL EMBARAZO < A 10,NUEVAS EN EL 3ER TRIMESTRE DEL EMBARAZO < A 10,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,,,
ACACIO,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1
ACHACACHI,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,0,0,4,0,0,0,0,0,4
ACHOCALLA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,0,0,2,0,0,0,0,0,2
AIQUILE,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,2,0,0,0,0,0,0,0,0,0,2
ANCORAIMES,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1
ASCENCION DE GUARAYOS,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,6,0,6,0,3,0,0,0,15
ATOCHA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,0,0,2,0,0,0,0,0,2
AUCAPATA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1
AYATA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,1,0,1,0,0,0,0,0,0,0,2
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,1,0,1,0,2,0,0,0,0,0,4
BATALLAS,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1
BERMEJO,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,1,0,2,0,0,0,0,0,3
BETANZOS,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,2,0,0,0,0,0,0,0,2
BOLIVAR,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,1
CABEZAS,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,0,0,3,0,0,0,0,0,3
"CAIZA ""D""",consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1
CAMARGO,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,2,0,0,0,0,0,0,0,2
CAMIRI,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,4,0,18,0,1,0,0,0,23
CAPINOTA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,2,0,0,0,0,0,0,0,2
CAQUIAVIRI,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1
CARACOLLO,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,2,0,2,0,0,0,0,0,4
CARANAVI,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,1,0,1,0,3,0,0,0,0,0,5
CARMEN RIVERO TORREZ,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,0,0,0,0,2,0,0,0,2
CHALLAPATA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,1,0,4,0,1,0,0,0,0,0,6
CHAQUI,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,1
CHARAGUA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,2,0,1,0,0,0,0,0,3
CHAYANTA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,1
CHIMORE,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,1,0,2,0,2,0,0,0,0,0,0,0,5
CHUA COCANI,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,1
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,4,1,2,0,0,0,0,0,7
CHUMA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,2,0,1,1,0,0,0,0,4
CKOCHAS,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,1,0,0,1,0,0,0,0,0,0,2
CLIZA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,2,0,4,0,2,0,0,0,0,0,8
COBIJA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,2,0,7,0,29,1,0,0,0,0,39
COCAPATA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,4,1,1,0,0,0,0,0,6
COCHABAMBA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,9,0,138,5,278,3,105,0,0,0,538
COLCAPIRHUA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,1,0,1,0,0,0,0,0,2
"COLCHA ""K""",consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,1
COLOMI,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,1,0,3,0,2,0,0,0,0,0,6
COLQUECHACA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,2,0,1,0,0,0,0,0,0,0,3
COLQUENCHA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1
CORIPATA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,2,0,0,0,0,0,0,0,2
CORO CORO,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,2,0,0,0,0,0,0,0,0,0,2
COROICO,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,2,0,3,0,1,0,0,0,0,0,6
COTOCA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,23,0,118,0,25,0,1,0,0,0,167
CUATRO CAÑADAS,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1
EL ALTO,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,51,9,262,28,65,9,0,0,0,0,424
EL CHORO,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1
EL PUENTE(STC),consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,2,0,1,0,0,0,0,0,3
EL TORNO,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,1,0,2,0,4,2,0,0,0,0,0,0,9
ENTRE RIOS TRJ,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1
ENTRE RIOS CBBA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,2,0,0,0,0,0,0,0,2
ESCOMA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,1,0,1,0,1,0,0,0,0,0,3
FILADELFIA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1
GUANAY,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,1,0,2,0,0,0,0,0,3
GUAQUI,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1
GUAYARAMERIN,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,1,0,10,0,11,0,1,0,0,0,23
GUTIERREZ,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1
HUACAYA (VILLA DE HUACAYA),consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,1
HUANUNI,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1
HUARINA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1
INCAHUASI,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,1
INQUISIVI,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,1
