,group,variable,month,MUJERES CON 4TA CONSULTA PRENATAL 10 A 14,MUJERES CON 4TA CONSULTA PRENATAL 10 A 14,MUJERES CON 4TA CONSULTA PRENATAL 15 A 19,MUJERES CON 4TA CONSULTA PRENATAL 15 A 19,MUJERES CON 4TA CONSULTA PRENATAL 20 A 34,MUJERES CON 4TA CONSULTA PRENATAL 20 A 34,MUJERES CON 4TA CONSULTA PRENATAL 35 A 49,MUJERES CON 4TA CONSULTA PRENATAL 35 A 49,MUJERES CON 4TA CONSULTA PRENATAL 50 Y +,MUJERES CON 4TA CONSULTA PRENATAL 50 Y +,MUJERES CON 4TA CONSULTA PRENATAL < A 10,MUJERES CON 4TA CONSULTA PRENATAL < A 10,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,,,
ACHACACHI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,0,17,1,2,0,0,0,0,0,21
ACHOCALLA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,3,0,16,0,0,0,0,0,0,0,19
AIQUILE,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,5,0,2,0,0,0,0,0,7
ALALAY,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1
ALCALA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,3,0,0,0,0,0,0,0,3
ALTO BENI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,2,5,1,0,0,0,0,0,0,8
ANCORAIMES,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,7,1,0,0,0,0,0,0,8
ANDAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,0,1,0,0,0,0,0,0,0,2
ANTEQUERA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,0,3,0,3,0,0,0,0,0,7
ANZALDO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,3,0,0,0,0,0,0,0,3
APOLO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,6,1,23,0,5,1,0,0,0,0,36
ARAMPAMPA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,1,0,0,0,0,0,1,0,0,0,0,0,2
ARANI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,0,7,0,0,0,0,0,0,0,8
ARBIETO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,0,14,0,1,0,0,0,0,0,16
ARQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,1,1,1,1,0,0,0,0,0,4
ASCENCION DE GUARAYOS,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,0,11,0,39,1,6,0,0,0,58
ATOCHA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,0,1,0,4,0,0,0,0,0,6
AUCAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,2,0,1,0,0,0,0,0,3
AYATA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,4,0,1,1,0,0,0,0,0,0,6
AYO AYO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,0,4,0,1,0,0,0,0,0,6
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,5,0,10,1,1,0,0,0,0,0,17
AZURDUY,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,4,0,4,3,2,2,0,0,0,0,15
BATALLAS,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,0,15,0,3,0,0,0,0,0,19
BAURES,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,0,0,0,2,0,0,0,0,0,3
BELEN DE URMIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,1
BELLA FLOR,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,0,1,0,2,0,1,0,0,0,5
BERMEJO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,8,0,28,0,5,0,0,0,0,0,41
BETANZOS,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,1,0,3,0,12,2,2,1,0,0,0,0,21
BOLIVAR,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,2,0,1,0,0,1,0,0,0,0,4
BOLPEBRA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,2,0,0,0,0,0,0,0,2
BOYUIBE,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,2,0,3,0,1,0,0,0,0,0,6
BUENA VISTA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,4,0,4,0,2,0,0,0,10
CABEZAS,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,3,0,16,0,0,0,0,0,19
CAIROMA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,2,0,5,0,2,0,0,0,0,0,9
"CAIZA ""D""",consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,2,0,7,0,1,0,0,0,0,0,10
CAJUATA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,0,10,0,2,0,0,0,0,0,13
CALACOTO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1
CALAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,10,0,4,0,0,0,0,0,14
CAMARGO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,0,3,0,1,0,0,0,0,0,5
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,1
CAMIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,0,4,0,18,2,3,0,0,0,28
CAPINOTA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,0,7,0,1,0,0,0,0,0,9
CAQUIAVIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,1,0,1,0,0,0,0,0,2
CARACOLLO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,0,12,0,1,0,0,0,0,0,14
CARANAVI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,5,0,37,0,18,0,0,0,0,0,60
CARAPARI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,2,0,7,0,2,0,0,0,0,0,11
CARIPUYO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,0,1,0,0,1,0,0,0,0,3
CARMEN RIVERO TORREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,1,0,6,0,0,0,0,0,7
CATACORA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,1,0,1,0,0,0,0,0,2
CHACARILLA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1
CHALLAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,2,1,22,1,3,2,0,0,0,0,31
CHAQUI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,1,0,1,0,0,0,0,0,2
CHARAGUA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,1,0,4,0,13,1,17,3,1,0,0,0,40
CHAYANTA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,2,1,6,1,0,0,0,0,0,0,10
CHIMORE,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,1,0,1,0,17,0,14,0,0,0,0,0,33
CHOQUE COTA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,1,0,0,0,0,0,0,0,0,1
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,0,6,0,3,0,0,0,0,0,10
CHUMA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,1,3,0,2,0,0,0,0,6
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,0,0,0,1,1,0,0,0,2
CKOCHAS,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,1,3,1,1,3,0,0,0,0,10
CLIZA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,2,0,11,0,1,0,0,0,0,0,14
COBIJA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,5,0,62,0,11,0,1,0,0,0,79
COCAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,6,0,10,2,4,0,0,0,0,0,22
COCHABAMBA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,30,0,404,0,191,0,71,0,0,0,696
COIPASA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,2,0,0,0,0,0,0,0,2
COLCAPIRHUA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,5,0,12,2,29,1,0,0,0,0,49
"COLCHA ""K""",consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,0,6,2,0,0,0,0,0,0,9
