,group,variable,month,REPETIDAS 10 A 14,REPETIDAS 10 A 14,REPETIDAS 15 A 19,REPETIDAS 15 A 19,REPETIDAS 20 A 34,REPETIDAS 20 A 34,REPETIDAS 35 A 49,REPETIDAS 35 A 49,REPETIDAS 50 Y +,REPETIDAS 50 Y +,REPETIDAS < A 10,REPETIDAS < A 10,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,,,
ACACIO,consultas prenatales,repetidas,2024-01-01,0,0,2,0,2,0,0,1,0,0,0,0,5
ACHACACHI,consultas prenatales,repetidas,2024-01-01,0,0,26,1,106,3,17,1,1,0,0,0,155
ACHOCALLA,consultas prenatales,repetidas,2024-01-01,0,0,18,0,120,2,20,1,0,0,0,0,161
AIQUILE,consultas prenatales,repetidas,2024-01-01,1,0,22,3,53,0,11,0,0,0,0,0,90
ALALAY,consultas prenatales,repetidas,2024-01-01,0,0,1,0,1,0,1,0,0,0,0,0,3
ALCALA,consultas prenatales,repetidas,2024-01-01,0,0,1,0,8,0,1,0,0,0,0,0,10
ALTO BENI,consultas prenatales,repetidas,2024-01-01,0,0,5,5,19,1,6,0,0,0,0,0,36
ANCORAIMES,consultas prenatales,repetidas,2024-01-01,0,0,4,0,16,1,3,0,0,0,0,0,24
ANDAMARCA,consultas prenatales,repetidas,2024-01-01,0,0,1,1,3,1,7,0,1,0,0,0,14
ANTEQUERA,consultas prenatales,repetidas,2024-01-01,0,0,1,0,7,0,3,0,0,0,0,0,11
ANZALDO,consultas prenatales,repetidas,2024-01-01,0,0,6,0,13,0,0,0,0,0,0,0,19
APOLO,consultas prenatales,repetidas,2024-01-01,0,0,16,3,58,6,14,1,0,0,0,0,98
ARAMPAMPA,consultas prenatales,repetidas,2024-01-01,1,0,0,0,3,0,3,1,0,0,0,0,8
ARANI,consultas prenatales,repetidas,2024-01-01,1,0,8,0,27,1,4,0,0,0,0,0,41
ARBIETO,consultas prenatales,repetidas,2024-01-01,0,0,12,0,85,1,21,0,0,0,0,0,119
ARQUE,consultas prenatales,repetidas,2024-01-01,0,0,14,1,24,4,10,0,0,0,0,0,53
ASCENCION DE GUARAYOS,consultas prenatales,repetidas,2024-01-01,1,0,9,0,60,0,174,0,40,0,0,0,284
ATOCHA,consultas prenatales,repetidas,2024-01-01,0,0,7,0,18,0,31,0,3,0,0,0,59
AUCAPATA,consultas prenatales,repetidas,2024-01-01,0,0,0,1,5,0,14,0,0,0,0,0,20
AYATA,consultas prenatales,repetidas,2024-01-01,0,0,9,0,16,1,2,0,0,0,0,0,28
AYO AYO,consultas prenatales,repetidas,2024-01-01,1,0,8,2,17,2,3,0,0,0,0,0,33
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,repetidas,2024-01-01,0,0,23,1,48,0,7,0,0,0,0,0,79
AZURDUY,consultas prenatales,repetidas,2024-01-01,0,1,7,1,14,7,9,5,0,0,0,0,44
BATALLAS,consultas prenatales,repetidas,2024-01-01,0,0,8,0,75,0,9,0,0,0,0,0,92
BAURES,consultas prenatales,repetidas,2024-01-01,0,0,1,0,4,0,8,1,0,0,0,0,14
BELEN DE ANDAMARCA,consultas prenatales,repetidas,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1
BELEN DE URMIRI,consultas prenatales,repetidas,2024-01-01,0,0,0,0,2,1,0,0,0,0,0,0,3
BELLA FLOR,consultas prenatales,repetidas,2024-01-01,0,0,4,0,8,0,9,0,0,0,0,0,21
BERMEJO,consultas prenatales,repetidas,2024-01-01,0,0,26,0,152,0,43,0,0,0,0,0,221
BETANZOS,consultas prenatales,repetidas,2024-01-01,1,0,16,3,62,7,13,2,0,0,0,0,104
BOLIVAR,consultas prenatales,repetidas,2024-01-01,0,0,3,0,4,1,1,2,0,0,0,0,11
BOLPEBRA,consultas prenatales,repetidas,2024-01-01,0,0,3,0,2,2,0,0,0,0,0,0,7
BOYUIBE,consultas prenatales,repetidas,2024-01-01,1,0,4,0,15,3,1,0,0,0,0,0,24
BUENA VISTA,consultas prenatales,repetidas,2024-01-01,0,0,1,0,6,0,34,0,9,0,0,0,50
CABEZAS,consultas prenatales,repetidas,2024-01-01,0,0,0,0,11,0,64,3,3,0,0,0,81
CAIROMA,consultas prenatales,repetidas,2024-01-01,0,0,3,0,12,0,19,0,0,0,0,0,34
"CAIZA ""D""",consultas prenatales,repetidas,2024-01-01,0,0,9,0,35,0,4,0,0,0,0,0,48
CAJUATA,consultas prenatales,repetidas,2024-01-01,0,0,4,0,64,2,7,0,0,0,0,0,77
CALACOTO,consultas prenatales,repetidas,2024-01-01,0,0,0,0,3,3,3,3,0,0,0,0,12
CALAMARCA,consultas prenatales,repetidas,2024-01-01,0,0,7,1,41,0,8,1,0,0,0,0,58
CAMARGO,consultas prenatales,repetidas,2024-01-01,0,0,5,0,38,1,13,1,0,0,0,0,58
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,repetidas,2024-01-01,0,0,0,0,2,3,2,2,0,0,0,0,9
CAMIRI,consultas prenatales,repetidas,2024-01-01,0,0,4,0,6,27,56,6,7,0,0,0,106
CAPINOTA,consultas prenatales,repetidas,2024-01-01,0,0,8,0,69,0,21,0,0,0,0,0,98
CAQUIAVIRI,consultas prenatales,repetidas,2024-01-01,0,0,2,0,11,2,5,0,1,0,0,0,21
CARACOLLO,consultas prenatales,repetidas,2024-01-01,0,0,6,1,64,0,17,1,0,0,0,0,89
CARANAVI,consultas prenatales,repetidas,2024-01-01,0,0,28,0,177,0,69,0,0,0,0,0,274
CARAPARI,consultas prenatales,repetidas,2024-01-01,0,0,10,0,57,0,9,0,0,0,0,0,76
CARIPUYO,consultas prenatales,repetidas,2024-01-01,0,0,8,2,5,2,4,1,0,0,0,0,22
CARMEN RIVERO TORREZ,consultas prenatales,repetidas,2024-01-01,0,0,0,0,7,1,28,1,6,0,0,0,43
CATACORA,consultas prenatales,repetidas,2024-01-01,0,0,0,1,2,1,1,0,0,0,0,0,5
CHACARILLA,consultas prenatales,repetidas,2024-01-01,0,0,0,0,1,0,3,0,0,0,0,0,4
CHALLAPATA,consultas prenatales,repetidas,2024-01-01,0,0,32,2,185,5,28,4,0,0,0,0,256
CHAQUI,consultas prenatales,repetidas,2024-01-01,0,0,5,1,16,2,2,0,0,0,0,0,26
CHARAGUA,consultas prenatales,repetidas,2024-01-01,1,0,14,1,44,4,81,3,8,1,0,0,157
CHARAÑA,consultas prenatales,repetidas,2024-01-01,0,0,1,0,3,0,0,0,0,0,0,0,4
CHAYANTA,consultas prenatales,repetidas,2024-01-01,0,0,7,2,30,1,5,2,0,0,0,0,47
CHIMORE,consultas prenatales,repetidas,2024-01-01,1,1,23,1,126,4,44,1,0,0,0,0,201
CHIPAYA,consultas prenatales,repetidas,2024-01-01,0,0,2,0,4,0,1,0,0,0,0,0,7
CHOQUE COTA,consultas prenatales,repetidas,2024-01-01,0,0,1,1,1,2,0,0,0,0,0,0,5
CHUA COCANI,consultas prenatales,repetidas,2024-01-01,0,0,3,0,6,0,0,0,0,0,0,0,9
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,repetidas,2024-01-01,0,0,4,0,40,0,10,0,0,0,0,0,54
CHUMA,consultas prenatales,repetidas,2024-01-01,0,0,5,0,7,5,6,4,0,0,0,0,27
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,repetidas,2024-01-01,0,0,5,0,7,0,13,4,3,0,0,0,32
CKOCHAS,consultas prenatales,repetidas,2024-01-01,1,0,9,4,21,6,10,5,1,0,0,0,57
CLIZA,consultas prenatales,repetidas,2024-01-01,0,0,19,0,64,0,10,0,0,0,0,0,93
COBIJA,consultas prenatales,repetidas,2024-01-01,0,0,39,0,197,3,68,2,5,0,0,0,314
COCAPATA,consultas prenatales,repetidas,2024-01-01,0,0,28,1,45,5,6,0,0,0,0,0,85
COCHABAMBA,consultas prenatales,repetidas,2024-01-01,7,0,214,1,2102,10,1553,3,265,0,0,0,4155
COIPASA,consultas prenatales,repetidas,2024-01-01,0,0,0,0,3,0,1,0,0,0,0,0,4
COLCAPIRHUA,consultas prenatales,repetidas,2024-01-01,0,0,35,0,111,2,120,4,0,0,0,0,272
"COLCHA ""K""",consultas prenatales,repetidas,2024-01-01,0,0,2,0,35,2,8,0,0,0,0,0,47
COLLANA,consultas prenatales,repetidas,2024-01-01,0,0,0,0,7,0,7,0,0,0,0,0,14
COLOMI,consultas prenatales,repetidas,2024-01-01,1,0,27,2,90,2,10,0,0,0,0,0,132
COLPA BELGICA,consultas prenatales,repetidas,2024-01-01,4,0,19,0,2,0,0,0,0,0,1,0,26
COLQUECHACA,consultas prenatales,repetidas,2024-01-01,0,0,16,3,47,7,10,1,0,0,0,0,84
COLQUENCHA,consultas prenatales,repetidas,2024-01-01,0,0,11,0,36,0,9,0,0,0,0,0,56
COLQUIRI,consultas prenatales,repetidas,2024-01-01,0,0,7,5,51,11,3,1,0,0,0,0,78
COMANCHE,consultas prenatales,repetidas,2024-01-01,0,0,1,0,3,0,2,0,0,0,0,0,6
COMARAPA,consultas prenatales,repetidas,2024-01-01,1,0,12,0,73,0,17,0,0,0,0,0,103
COMBAYA,consultas prenatales,repetidas,2024-01-01,0,0,0,1,1,0,0,0,0,0,0,0,2
CONCEPCION,consultas prenatales,repetidas,2024-01-01,1,0,19,0,70,3,10,0,0,0,0,0,103
COPACABANA,consultas prenatales,repetidas,2024-01-01,0,0,4,0,30,0,10,0,0,0,0,0,44
CORIPATA,consultas prenatales,repetidas,2024-01-01,0,0,5,0,41,0,27,0,0,0,0,0,73
CORO CORO,consultas prenatales,repetidas,2024-01-01,0,0,4,0,9,2,5,0,0,0,0,0,20
COROICO,consultas prenatales,repetidas,2024-01-01,1,0,5,0,58,0,26,1,0,0,0,0,91
