municipality,group,variable,month,Partos atendidos por personal de salud calificado,TOTAL
ACACIO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,2,2
ACHACACHI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,2,2
ALTO BENI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,2,2
ANCORAIMES,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,1,1
APOLO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,1,1
ARQUE,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,1,1
ATOCHA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,1,1
AYO AYO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,1,1
AZURDUY,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,3,3
BETANZOS,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,5,5
BOLIVAR,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,1,1
BUENA VISTA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,5,5
CAIROMA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,3,3
"CAIZA ""D""",atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,7,7
CAJUATA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,2,2
CALAMARCA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,4,4
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,1,1
CAMIRI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,60,60
CARACOLLO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,6,6
CARANAVI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,3,3
CARAPARI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,11,11
CARIPUYO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,4,4
CARMEN RIVERO TORREZ,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,4,4
CHALLAPATA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,1,1
CHAQUI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,7,7
CHARAGUA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,6,6
CHAYANTA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,1,1
CHIMORE,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,1,1
CHUMA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,5,5
COBIJA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,36,36
COCAPATA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,7,7
COCHABAMBA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,36,36
COLLANA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,1,1
COLOMI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,4,4
COLPA BELGICA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,3,3
COLQUECHACA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,1,1
COPACABANA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,1,1
CORIPATA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,2,2
COTAGAITA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,8,8
COTOCA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,68,68
CUATRO CAÑADAS,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,25,25
EL ALTO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,8,8
EL CHORO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,1,1
EL PUENTE(TJA),atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,4,4
EL TORNO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,81,81
EL VILLAR,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,1,1
ENTRE RIOS TRJ,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,8,8
ENTRE RIOS CBBA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,6,6
ESCOMA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,6,6
EUREKA (SANTOS MERCADO),atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,1,1
FERNANDEZ ALONSO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,4,4
FILADELFIA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,2,2
GENERAL SAAVEDRA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,11,11
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,1,1
GUTIERREZ,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,15,15
HUACARETA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,1,1
HUACAYA (VILLA DE HUACAYA),atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,2,2
HUARACAJE,atencion de partos en servicios,partos atendidos por personal de salud calificado,2016-01-01,1,1
