municipality,group,variable,month,Nacidos muertos con peso menor a 2500g,TOTAL
CAMARGO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2016-01-01,1,1
CARANAVI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2016-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2016-01-01,1,1
COBIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2016-01-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2016-01-01,10,10
EL ALTO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2016-01-01,5,5
GUAYARAMERIN,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2016-01-01,3,3
LA PAZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2016-01-01,13,13
LLALLAGUA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2016-01-01,1,1
MACHARETI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2016-01-01,1,1
ORURO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2016-01-01,3,3
POTOSI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2016-01-01,2,2
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2016-01-01,1,1
PUNA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2016-01-01,1,1
PUNATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2016-01-01,1,1
RIBERALTA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2016-01-01,8,8
SACABA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2016-01-01,1,1
SAN BORJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2016-01-01,3,3
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2016-01-01,3,3
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2016-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2016-01-01,12,12
SUCRE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2016-01-01,4,4
TARIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2016-01-01,7,7
TRINIDAD,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2016-01-01,2,2
UYUNI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2016-01-01,2,2
VILLA MONTES,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2016-01-01,1,1
YACUIBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2016-01-01,2,2
ZUDAÑEZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2016-01-01,1,1
CARANAVI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2016-02-01,2,2
CARAPARI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2016-02-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2016-02-01,1,1
