municipality,group,variable,month,Partos atendidos por proveedor calificado,TOTAL
ACACIO,atencion de partos en servicios,partos atendidos por proveedor calificado,2016-01-01,1,1
ACHACACHI,atencion de partos en servicios,partos atendidos por proveedor calificado,2016-01-01,32,32
ACHOCALLA,atencion de partos en servicios,partos atendidos por proveedor calificado,2016-01-01,4,4
AIQUILE,atencion de partos en servicios,partos atendidos por proveedor calificado,2016-01-01,30,30
ALCALA,atencion de partos en servicios,partos atendidos por proveedor calificado,2016-01-01,5,5
ALTO BENI,atencion de partos en servicios,partos atendidos por proveedor calificado,2016-01-01,5,5
ANCORAIMES,atencion de partos en servicios,partos atendidos por proveedor calificado,2016-01-01,3,3
ANDAMARCA,atencion de partos en servicios,partos atendidos por proveedor calificado,2016-01-01,1,1
ANTEQUERA,atencion de partos en servicios,partos atendidos por proveedor calificado,2016-01-01,1,1
ANZALDO,atencion de partos en servicios,partos atendidos por proveedor calificado,2016-01-01,3,3
APOLO,atencion de partos en servicios,partos atendidos por proveedor calificado,2016-01-01,11,11
ARANI,atencion de partos en servicios,partos atendidos por proveedor calificado,2016-01-01,6,6
ARBIETO,atencion de partos en servicios,partos atendidos por proveedor calificado,2016-01-01,12,12
ARQUE,atencion de partos en servicios,partos atendidos por proveedor calificado,2016-01-01,2,2
ATOCHA,atencion de partos en servicios,partos atendidos por proveedor calificado,2016-01-01,9,9
AYATA,atencion de partos en servicios,partos atendidos por proveedor calificado,2016-01-01,1,1
AYO AYO,atencion de partos en servicios,partos atendidos por proveedor calificado,2016-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,partos atendidos por proveedor calificado,2016-01-01,18,18
AZURDUY,atencion de partos en servicios,partos atendidos por proveedor calificado,2016-01-01,4,4
BATALLAS,atencion de partos en servicios,partos atendidos por proveedor calificado,2016-01-01,10,10
BAURES,atencion de partos en servicios,partos atendidos por proveedor calificado,2016-01-01,3,3
BELLA FLOR,atencion de partos en servicios,partos atendidos por proveedor calificado,2016-01-01,1,1
BERMEJO,atencion de partos en servicios,partos atendidos por proveedor calificado,2016-01-01,39,39
BETANZOS,atencion de partos en servicios,partos atendidos por proveedor calificado,2016-01-01,20,20
BOYUIBE,atencion de partos en servicios,partos atendidos por proveedor calificado,2016-01-01,3,3
CABEZAS,atencion de partos en servicios,partos atendidos por proveedor calificado,2016-01-01,19,19
CAIROMA,atencion de partos en servicios,partos atendidos por proveedor calificado,2016-01-01,3,3
CAJUATA,atencion de partos en servicios,partos atendidos por proveedor calificado,2016-01-01,7,7
CALACOTO,atencion de partos en servicios,partos atendidos por proveedor calificado,2016-01-01,1,1
CALAMARCA,atencion de partos en servicios,partos atendidos por proveedor calificado,2016-01-01,1,1
CAMARGO,atencion de partos en servicios,partos atendidos por proveedor calificado,2016-01-01,18,18
CAMIRI,atencion de partos en servicios,partos atendidos por proveedor calificado,2016-01-01,30,30
