municipality,group,variable,month,RN con apego precoz,TOTAL
ACACIO,atencion de partos en servicios,rn con apego precoz,2016-01-01,5,5
ACHACACHI,atencion de partos en servicios,rn con apego precoz,2016-01-01,34,34
ACHOCALLA,atencion de partos en servicios,rn con apego precoz,2016-01-01,4,4
AIQUILE,atencion de partos en servicios,rn con apego precoz,2016-01-01,16,16
ALCALA,atencion de partos en servicios,rn con apego precoz,2016-01-01,5,5
ALTO BENI,atencion de partos en servicios,rn con apego precoz,2016-01-01,5,5
ANCORAIMES,atencion de partos en servicios,rn con apego precoz,2016-01-01,4,4
ANDAMARCA,atencion de partos en servicios,rn con apego precoz,2016-01-01,1,1
ANTEQUERA,atencion de partos en servicios,rn con apego precoz,2016-01-01,1,1
ANZALDO,atencion de partos en servicios,rn con apego precoz,2016-01-01,3,3
APOLO,atencion de partos en servicios,rn con apego precoz,2016-01-01,12,12
ARANI,atencion de partos en servicios,rn con apego precoz,2016-01-01,6,6
ARBIETO,atencion de partos en servicios,rn con apego precoz,2016-01-01,12,12
ARQUE,atencion de partos en servicios,rn con apego precoz,2016-01-01,3,3
ASCENCION DE GUARAYOS,atencion de partos en servicios,rn con apego precoz,2016-01-01,34,34
ATOCHA,atencion de partos en servicios,rn con apego precoz,2016-01-01,10,10
AYATA,atencion de partos en servicios,rn con apego precoz,2016-01-01,1,1
AYO AYO,atencion de partos en servicios,rn con apego precoz,2016-01-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,rn con apego precoz,2016-01-01,19,19
AZURDUY,atencion de partos en servicios,rn con apego precoz,2016-01-01,7,7
BATALLAS,atencion de partos en servicios,rn con apego precoz,2016-01-01,10,10
BAURES,atencion de partos en servicios,rn con apego precoz,2016-01-01,3,3
BELLA FLOR,atencion de partos en servicios,rn con apego precoz,2016-01-01,1,1
BERMEJO,atencion de partos en servicios,rn con apego precoz,2016-01-01,26,26
BETANZOS,atencion de partos en servicios,rn con apego precoz,2016-01-01,27,27
BOLIVAR,atencion de partos en servicios,rn con apego precoz,2016-01-01,1,1
BOYUIBE,atencion de partos en servicios,rn con apego precoz,2016-01-01,3,3
BUENA VISTA,atencion de partos en servicios,rn con apego precoz,2016-01-01,5,5
CABEZAS,atencion de partos en servicios,rn con apego precoz,2016-01-01,20,20
CAIROMA,atencion de partos en servicios,rn con apego precoz,2016-01-01,5,5
"CAIZA ""D""",atencion de partos en servicios,rn con apego precoz,2016-01-01,7,7
CAJUATA,atencion de partos en servicios,rn con apego precoz,2016-01-01,9,9
CALACOTO,atencion de partos en servicios,rn con apego precoz,2016-01-01,1,1
CALAMARCA,atencion de partos en servicios,rn con apego precoz,2016-01-01,5,5
CAMARGO,atencion de partos en servicios,rn con apego precoz,2016-01-01,8,8
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,rn con apego precoz,2016-01-01,1,1
CAMIRI,atencion de partos en servicios,rn con apego precoz,2016-01-01,43,43
CAPINOTA,atencion de partos en servicios,rn con apego precoz,2016-01-01,19,19
CARACOLLO,atencion de partos en servicios,rn con apego precoz,2016-01-01,15,15
CARANAVI,atencion de partos en servicios,rn con apego precoz,2016-01-01,78,78
CARAPARI,atencion de partos en servicios,rn con apego precoz,2016-01-01,11,11
CARIPUYO,atencion de partos en servicios,rn con apego precoz,2016-01-01,8,8
CARMEN RIVERO TORREZ,atencion de partos en servicios,rn con apego precoz,2016-01-01,4,4
CHALLAPATA,atencion de partos en servicios,rn con apego precoz,2016-01-01,39,39
CHAQUI,atencion de partos en servicios,rn con apego precoz,2016-01-01,7,7
CHARAGUA,atencion de partos en servicios,rn con apego precoz,2016-01-01,33,33
CHAYANTA,atencion de partos en servicios,rn con apego precoz,2016-01-01,3,3
CHIMORE,atencion de partos en servicios,rn con apego precoz,2016-01-01,15,15
CHUA COCANI,atencion de partos en servicios,rn con apego precoz,2016-01-01,3,3
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,rn con apego precoz,2016-01-01,27,27
CHUMA,atencion de partos en servicios,rn con apego precoz,2016-01-01,3,3
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,rn con apego precoz,2016-01-01,5,5
CKOCHAS,atencion de partos en servicios,rn con apego precoz,2016-01-01,1,1
CLIZA,atencion de partos en servicios,rn con apego precoz,2016-01-01,23,23
COBIJA,atencion de partos en servicios,rn con apego precoz,2016-01-01,108,108
COCAPATA,atencion de partos en servicios,rn con apego precoz,2016-01-01,9,9
COCHABAMBA,atencion de partos en servicios,rn con apego precoz,2016-01-01,915,915
COLCAPIRHUA,atencion de partos en servicios,rn con apego precoz,2016-01-01,27,27
COLLANA,atencion de partos en servicios,rn con apego precoz,2016-01-01,1,1
COLOMI,atencion de partos en servicios,rn con apego precoz,2016-01-01,22,22
COLPA BELGICA,atencion de partos en servicios,rn con apego precoz,2016-01-01,3,3
COLQUECHACA,atencion de partos en servicios,rn con apego precoz,2016-01-01,4,4
COLQUENCHA,atencion de partos en servicios,rn con apego precoz,2016-01-01,5,5
COLQUIRI,atencion de partos en servicios,rn con apego precoz,2016-01-01,7,7
COMARAPA,atencion de partos en servicios,rn con apego precoz,2016-01-01,36,36
COMBAYA,atencion de partos en servicios,rn con apego precoz,2016-01-01,1,1
CONCEPCION,atencion de partos en servicios,rn con apego precoz,2016-01-01,22,22
COPACABANA,atencion de partos en servicios,rn con apego precoz,2016-01-01,10,10
CORIPATA,atencion de partos en servicios,rn con apego precoz,2016-01-01,14,14
COROICO,atencion de partos en servicios,rn con apego precoz,2016-01-01,10,10
COTAGAITA,atencion de partos en servicios,rn con apego precoz,2016-01-01,13,13
COTOCA,atencion de partos en servicios,rn con apego precoz,2016-01-01,68,68
CUATRO CAÑADAS,atencion de partos en servicios,rn con apego precoz,2016-01-01,1,1
CUEVO,atencion de partos en servicios,rn con apego precoz,2016-01-01,1,1
CULPINA,atencion de partos en servicios,rn con apego precoz,2016-01-01,17,17
CURAHUARA DE CARANGAS,atencion de partos en servicios,rn con apego precoz,2016-01-01,2,2
EL ALTO,atencion de partos en servicios,rn con apego precoz,2016-01-01,902,902
EL CHORO,atencion de partos en servicios,rn con apego precoz,2016-01-01,1,1
EL PUENTE(STC),atencion de partos en servicios,rn con apego precoz,2016-01-01,10,10
EL PUENTE(TJA),atencion de partos en servicios,rn con apego precoz,2016-01-01,6,6
EL TORNO,atencion de partos en servicios,rn con apego precoz,2016-01-01,46,46
EL VILLAR,atencion de partos en servicios,rn con apego precoz,2016-01-01,1,1
ENTRE RIOS TRJ,atencion de partos en servicios,rn con apego precoz,2016-01-01,16,16
ENTRE RIOS CBBA,atencion de partos en servicios,rn con apego precoz,2016-01-01,25,25
ESCOMA,atencion de partos en servicios,rn con apego precoz,2016-01-01,5,5
EUCALIPTUS,atencion de partos en servicios,rn con apego precoz,2016-01-01,3,3
EUREKA (SANTOS MERCADO),atencion de partos en servicios,rn con apego precoz,2016-01-01,1,1
FERNANDEZ ALONSO,atencion de partos en servicios,rn con apego precoz,2016-01-01,4,4
FILADELFIA,atencion de partos en servicios,rn con apego precoz,2016-01-01,2,2
GENERAL SAAVEDRA,atencion de partos en servicios,rn con apego precoz,2016-01-01,11,11
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicios,rn con apego precoz,2016-01-01,1,1
GUANAY,atencion de partos en servicios,rn con apego precoz,2016-01-01,11,11
GUAQUI,atencion de partos en servicios,rn con apego precoz,2016-01-01,1,1
GUAYARAMERIN,atencion de partos en servicios,rn con apego precoz,2016-01-01,57,57
GUTIERREZ,atencion de partos en servicios,rn con apego precoz,2016-01-01,15,15
HUACARETA,atencion de partos en servicios,rn con apego precoz,2016-01-01,10,10
HUACAYA (VILLA DE HUACAYA),atencion de partos en servicios,rn con apego precoz,2016-01-01,2,2
HUANUNI,atencion de partos en servicios,rn con apego precoz,2016-01-01,24,24
HUARACAJE,atencion de partos en servicios,rn con apego precoz,2016-01-01,1,1
HUARINA,atencion de partos en servicios,rn con apego precoz,2016-01-01,5,5
HUATAJATA,atencion de partos en servicios,rn con apego precoz,2016-01-01,1,1
HUMANATA,atencion de partos en servicios,rn con apego precoz,2016-01-01,2,2
ICHOCA,atencion de partos en servicios,rn con apego precoz,2016-01-01,1,1
ICLA,atencion de partos en servicios,rn con apego precoz,2016-01-01,5,5
INCAHUASI,atencion de partos en servicios,rn con apego precoz,2016-01-01,7,7
INGAVI (HUMAITA),atencion de partos en servicios,rn con apego precoz,2016-01-01,5,5
IRUPANA (VILLA DE LANZA),atencion de partos en servicios,rn con apego precoz,2016-01-01,10,10
IXIAMAS,atencion de partos en servicios,rn con apego precoz,2016-01-01,10,10
JESUS DE MACHACA,atencion de partos en servicios,rn con apego precoz,2016-01-01,5,5
LA ASUNTA,atencion de partos en servicios,rn con apego precoz,2016-01-01,41,41
LA GUARDIA,atencion de partos en servicios,rn con apego precoz,2016-01-01,54,54
LA PAZ,atencion de partos en servicios,rn con apego precoz,2016-01-01,358,358
LAGUNILLAS,atencion de partos en servicios,rn con apego precoz,2016-01-01,8,8
LAJA,atencion de partos en servicios,rn con apego precoz,2016-01-01,12,12
LAS CARRERAS,atencion de partos en servicios,rn con apego precoz,2016-01-01,5,5
LICOMA PAMPA,atencion de partos en servicios,rn con apego precoz,2016-01-01,2,2
LLALLAGUA,atencion de partos en servicios,rn con apego precoz,2016-01-01,60,60
LLICA,atencion de partos en servicios,rn con apego precoz,2016-01-01,7,7
LORETO,atencion de partos en servicios,rn con apego precoz,2016-01-01,2,2
LURIBAY,atencion de partos en servicios,rn con apego precoz,2016-01-01,4,4
MACHACAMARCA,atencion de partos en servicios,rn con apego precoz,2016-01-01,2,2
MACHARETI,atencion de partos en servicios,rn con apego precoz,2016-01-01,1,1
MAGDALENA,atencion de partos en servicios,rn con apego precoz,2016-01-01,15,15
MAIRANA,atencion de partos en servicios,rn con apego precoz,2016-01-01,20,20
MAPIRI,atencion de partos en servicios,rn con apego precoz,2016-01-01,8,8
MECAPACA,atencion de partos en servicios,rn con apego precoz,2016-01-01,2,2
MIZQUE,atencion de partos en servicios,rn con apego precoz,2016-01-01,26,26
MOCOMOCO,atencion de partos en servicios,rn con apego precoz,2016-01-01,2,2
MOJOCOYA,atencion de partos en servicios,rn con apego precoz,2016-01-01,8,8
MONTEAGUDO,atencion de partos en servicios,rn con apego precoz,2016-01-01,24,24
MONTERO,atencion de partos en servicios,rn con apego precoz,2016-01-01,34,34
MOROCHATA,atencion de partos en servicios,rn con apego precoz,2016-01-01,9,9
NACEBE (SANTA ROSA DEL ABUNA),atencion de partos en servicios,rn con apego precoz,2016-01-01,4,4
OCURI,atencion de partos en servicios,rn con apego precoz,2016-01-01,7,7
OKINAWA,atencion de partos en servicios,rn con apego precoz,2016-01-01,3,3
OMEREQUE,atencion de partos en servicios,rn con apego precoz,2016-01-01,5,5
ORURO,atencion de partos en servicios,rn con apego precoz,2016-01-01,383,383
PADCAYA,atencion de partos en servicios,rn con apego precoz,2016-01-01,9,9
PADILLA,atencion de partos en servicios,rn con apego precoz,2016-01-01,9,9
PAILON,atencion de partos en servicios,rn con apego precoz,2016-01-01,37,37
PALCA,atencion de partos en servicios,rn con apego precoz,2016-01-01,3,3
PALOS BLANCOS,atencion de partos en servicios,rn con apego precoz,2016-01-01,26,26
PAMPA AULLAGAS,atencion de partos en servicios,rn con apego precoz,2016-01-01,2,2
PAMPA GRANDE,atencion de partos en servicios,rn con apego precoz,2016-01-01,4,4
PAPEL PAMPA,atencion de partos en servicios,rn con apego precoz,2016-01-01,2,2
PASORAPA,atencion de partos en servicios,rn con apego precoz,2016-01-01,1,1
PATACAMAYA,atencion de partos en servicios,rn con apego precoz,2016-01-01,26,26
PAZÑA,atencion de partos en servicios,rn con apego precoz,2016-01-01,2,2
POCOATA,atencion de partos en servicios,rn con apego precoz,2016-01-01,6,6
POCONA,atencion de partos en servicios,rn con apego precoz,2016-01-01,5,5
POJO (CBBA),atencion de partos en servicios,rn con apego precoz,2016-01-01,16,16
POOPO,atencion de partos en servicios,rn con apego precoz,2016-01-01,2,2
PORCO,atencion de partos en servicios,rn con apego precoz,2016-01-01,8,8
POROMA,atencion de partos en servicios,rn con apego precoz,2016-01-01,2,2
PORONGO,atencion de partos en servicios,rn con apego precoz,2016-01-01,5,5
PORVENIR,atencion de partos en servicios,rn con apego precoz,2016-01-01,4,4
POTOSI,atencion de partos en servicios,rn con apego precoz,2016-01-01,67,67
PRESTO,atencion de partos en servicios,rn con apego precoz,2016-01-01,3,3
PUCARANI,atencion de partos en servicios,rn con apego precoz,2016-01-01,7,7
PUERTO ACOSTA,atencion de partos en servicios,rn con apego precoz,2016-01-01,1,1
PUERTO CARABUCO,atencion de partos en servicios,rn con apego precoz,2016-01-01,1,1
PUERTO GONZALO MORENO,atencion de partos en servicios,rn con apego precoz,2016-01-01,1,1
PUERTO QUIJARRO,atencion de partos en servicios,rn con apego precoz,2016-01-01,10,10
PUERTO RICO,atencion de partos en servicios,rn con apego precoz,2016-01-01,9,9
PUERTO SUAREZ,atencion de partos en servicios,rn con apego precoz,2016-01-01,44,44
PUERTO VILLARROEL,atencion de partos en servicios,rn con apego precoz,2016-01-01,134,134
