municipality,group,variable,month,RN con malformación congénita,TOTAL
CARAPARI,atencion de partos en servicios,rn con malformacion congenita,2016-01-01,1,1
CHAYANTA,atencion de partos en servicios,rn con malformacion congenita,2016-01-01,1,1
CULPINA,atencion de partos en servicios,rn con malformacion congenita,2016-01-01,1,1
EL ALTO,atencion de partos en servicios,rn con malformacion congenita,2016-01-01,4,4
ENTRE RIOS TRJ,atencion de partos en servicios,rn con malformacion congenita,2016-01-01,1,1
LA PAZ,atencion de partos en servicios,rn con malformacion congenita,2016-01-01,4,4
LLALLAGUA,atencion de partos en servicios,rn con malformacion congenita,2016-01-01,1,1
ORURO,atencion de partos en servicios,rn con malformacion congenita,2016-01-01,1,1
PADILLA,atencion de partos en servicios,rn con malformacion congenita,2016-01-01,1,1
PORTACHUELO,atencion de partos en servicios,rn con malformacion congenita,2016-01-01,1,1
RIBERALTA,atencion de partos en servicios,rn con malformacion congenita,2016-01-01,6,6
SAN IGNACIO,atencion de partos en servicios,rn con malformacion congenita,2016-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,rn con malformacion congenita,2016-01-01,6,6
SANTIAGO DE CALLAPA,atencion de partos en servicios,rn con malformacion congenita,2016-01-01,3,3
SIPE SIPE,atencion de partos en servicios,rn con malformacion congenita,2016-01-01,1,1
SORATA,atencion de partos en servicios,rn con malformacion congenita,2016-01-01,1,1
SUCRE,atencion de partos en servicios,rn con malformacion congenita,2016-01-01,1,1
TARIJA,atencion de partos en servicios,rn con malformacion congenita,2016-01-01,1,1
YACUIBA,atencion de partos en servicios,rn con malformacion congenita,2016-01-01,1,1
YAMPARAEZ,atencion de partos en servicios,rn con malformacion congenita,2016-01-01,1,1
AIQUILE,atencion de partos en servicios,rn con malformacion congenita,2016-02-01,1,1
BERMEJO,atencion de partos en servicios,rn con malformacion congenita,2016-02-01,1,1
CAMARGO,atencion de partos en servicios,rn con malformacion congenita,2016-02-01,1,1
COCHABAMBA,atencion de partos en servicios,rn con malformacion congenita,2016-02-01,1,1
COLCAPIRHUA,atencion de partos en servicios,rn con malformacion congenita,2016-02-01,1,1
EL ALTO,atencion de partos en servicios,rn con malformacion congenita,2016-02-01,3,3
LA GUARDIA,atencion de partos en servicios,rn con malformacion congenita,2016-02-01,1,1
LA PAZ,atencion de partos en servicios,rn con malformacion congenita,2016-02-01,70,70
ORURO,atencion de partos en servicios,rn con malformacion congenita,2016-02-01,4,4
POJO (CBBA),atencion de partos en servicios,rn con malformacion congenita,2016-02-01,1,1
PUERTO SUAREZ,atencion de partos en servicios,rn con malformacion congenita,2016-02-01,1,1
RAVELO,atencion de partos en servicios,rn con malformacion congenita,2016-02-01,1,1
RIBERALTA,atencion de partos en servicios,rn con malformacion congenita,2016-02-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,rn con malformacion congenita,2016-02-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,rn con malformacion congenita,2016-02-01,9,9
SIPE SIPE,atencion de partos en servicios,rn con malformacion congenita,2016-02-01,1,1
SUCRE,atencion de partos en servicios,rn con malformacion congenita,2016-02-01,2,2
TORO TORO,atencion de partos en servicios,rn con malformacion congenita,2016-02-01,1,1
UYUNI,atencion de partos en servicios,rn con malformacion congenita,2016-02-01,1,1
VILLA TUNARI,atencion de partos en servicios,rn con malformacion congenita,2016-02-01,2,2
YUNCHARA,atencion de partos en servicios,rn con malformacion congenita,2016-02-01,1,1
AIQUILE,atencion de partos en servicios,rn con malformacion congenita,2016-03-01,1,1
BERMEJO,atencion de partos en servicios,rn con malformacion congenita,2016-03-01,1,1
CARANAVI,atencion de partos en servicios,rn con malformacion congenita,2016-03-01,1,1
CKOCHAS,atencion de partos en servicios,rn con malformacion congenita,2016-03-01,1,1
COCHABAMBA,atencion de partos en servicios,rn con malformacion congenita,2016-03-01,4,4
EL TORNO,atencion de partos en servicios,rn con malformacion congenita,2016-03-01,1,1
HUACARETA,atencion de partos en servicios,rn con malformacion congenita,2016-03-01,1,1
LA PAZ,atencion de partos en servicios,rn con malformacion congenita,2016-03-01,4,4
MAIRANA,atencion de partos en servicios,rn con malformacion congenita,2016-03-01,1,1
