,group,variable,month,INTERRUPCIONES LEGALES DEL EMBARAZO POR RIESGO DE SALUD DE LA MADRE A. < 15,INTERRUPCIONES LEGALES DEL EMBARAZO POR RIESGO DE SALUD DE LA MADRE B. 15 A 49,INTERRUPCIONES LEGALES DEL EMBARAZO POR RIESGO DE SALUD DE LA MADRE C. 20 - 34,INTERRUPCIONES LEGALES DEL EMBARAZO POR RIESGO DE SALUD DE LA MADRE D. 35 - 49,INTERRUPCIONES LEGALES DEL EMBARAZO POR RIESGO DE SALUD DE LA MADRE E. 50 Y MAS,TOTALES
,,,,Interrupciones Legales del Embarazo por Riesgo de Salud de la Madre,Interrupciones Legales del Embarazo por Riesgo de Salud de la Madre1,Interrupciones Legales del Embarazo por Riesgo de Salud de la Madre2,Interrupciones Legales del Embarazo por Riesgo de Salud de la Madre3,Interrupciones Legales del Embarazo por Riesgo de Salud de la Madre4,TOTAL
municipality,,,,,,,,,
EL ALTO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-01-01,0,2,1,2,0,5
LA PAZ,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-01-01,0,0,14,0,0,14
ORURO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-01-01,0,0,10,4,0,14
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-01-01,0,0,28,0,0,28
SUCRE,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-01-01,1,7,15,3,0,26
EL ALTO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-02-01,0,0,2,0,0,2
ORURO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-02-01,0,0,7,2,0,9
POTOSI,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-02-01,0,2,8,2,0,12
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-02-01,0,3,24,0,0,27
SUCRE,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-02-01,0,1,11,2,0,14
EL ALTO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-03-01,0,0,7,1,0,8
ORURO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-03-01,0,1,16,4,0,21
POTOSI,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-03-01,0,2,9,4,0,15
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-03-01,1,0,12,5,0,18
SUCRE,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-03-01,0,4,20,2,0,26
COCHABAMBA,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-04-01,0,0,0,1,0,1
EL ALTO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-04-01,0,2,1,2,0,5
LA PAZ,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-04-01,0,0,16,0,0,16
ORURO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-04-01,0,0,8,2,0,10
POTOSI,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-04-01,0,0,9,3,0,12
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-04-01,0,2,33,1,0,36
SUCRE,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-04-01,0,3,19,2,0,24
TARIJA,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-04-01,0,0,0,1,0,1
EL ALTO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-05-01,0,1,5,3,0,9
ORURO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-05-01,0,0,3,2,0,5
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-05-01,0,0,8,10,0,18
SUCRE,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-05-01,0,5,12,2,0,19
YACUIBA,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-05-01,0,0,2,1,0,3
EL ALTO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-06-01,0,1,5,0,0,6
POTOSI,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-06-01,0,1,8,2,0,11
RIBERALTA,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-06-01,0,1,0,0,0,1
