municipality,group,variable,month,Otras actividades,TOTAL
ACACIO,otras actividades de enfermeria,otras actividades,2016-01-01,9,9
ACHACACHI,otras actividades de enfermeria,otras actividades,2016-01-01,171,171
ACHOCALLA,otras actividades de enfermeria,otras actividades,2016-01-01,15,15
AIQUILE,otras actividades de enfermeria,otras actividades,2016-01-01,38,38
ALCALA,otras actividades de enfermeria,otras actividades,2016-01-01,6,6
ALTO BENI,otras actividades de enfermeria,otras actividades,2016-01-01,2,2
ANCORAIMES,otras actividades de enfermeria,otras actividades,2016-01-01,4,4
ANDAMARCA,otras actividades de enfermeria,otras actividades,2016-01-01,51,51
ANTEQUERA,otras actividades de enfermeria,otras actividades,2016-01-01,2,2
ANZALDO,otras actividades de enfermeria,otras actividades,2016-01-01,12,12
APOLO,otras actividades de enfermeria,otras actividades,2016-01-01,11,11
ARAMPAMPA,otras actividades de enfermeria,otras actividades,2016-01-01,1,1
ARANI,otras actividades de enfermeria,otras actividades,2016-01-01,8,8
ARBIETO,otras actividades de enfermeria,otras actividades,2016-01-01,2,2
ASCENCION DE GUARAYOS,otras actividades de enfermeria,otras actividades,2016-01-01,1755,1755
ATOCHA,otras actividades de enfermeria,otras actividades,2016-01-01,578,578
AUCAPATA,otras actividades de enfermeria,otras actividades,2016-01-01,5,5
AYATA,otras actividades de enfermeria,otras actividades,2016-01-01,4,4
AYO AYO,otras actividades de enfermeria,otras actividades,2016-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,otras actividades,2016-01-01,10,10
BATALLAS,otras actividades de enfermeria,otras actividades,2016-01-01,4,4
BAURES,otras actividades de enfermeria,otras actividades,2016-01-01,71,71
BERMEJO,otras actividades de enfermeria,otras actividades,2016-01-01,14959,14959
BETANZOS,otras actividades de enfermeria,otras actividades,2016-01-01,320,320
BOLIVAR,otras actividades de enfermeria,otras actividades,2016-01-01,2,2
BOLPEBRA,otras actividades de enfermeria,otras actividades,2016-01-01,2,2
BOYUIBE,otras actividades de enfermeria,otras actividades,2016-01-01,11,11
BUENA VISTA,otras actividades de enfermeria,otras actividades,2016-01-01,43,43
CABEZAS,otras actividades de enfermeria,otras actividades,2016-01-01,108,108
"CAIZA ""D""",otras actividades de enfermeria,otras actividades,2016-01-01,41,41
CAJUATA,otras actividades de enfermeria,otras actividades,2016-01-01,1,1
CALACOTO,otras actividades de enfermeria,otras actividades,2016-01-01,5,5
CALAMARCA,otras actividades de enfermeria,otras actividades,2016-01-01,4,4
CAMARGO,otras actividades de enfermeria,otras actividades,2016-01-01,132,132
CAMATAQUI (C. VILLA ABECIA),otras actividades de enfermeria,otras actividades,2016-01-01,8,8
CAMIRI,otras actividades de enfermeria,otras actividades,2016-01-01,13421,13421
CAPINOTA,otras actividades de enfermeria,otras actividades,2016-01-01,6,6
CAQUIAVIRI,otras actividades de enfermeria,otras actividades,2016-01-01,4,4
CARACOLLO,otras actividades de enfermeria,otras actividades,2016-01-01,5,5
CARANAVI,otras actividades de enfermeria,otras actividades,2016-01-01,11880,11880
CARAPARI,otras actividades de enfermeria,otras actividades,2016-01-01,210,210
CATACORA,otras actividades de enfermeria,otras actividades,2016-01-01,1,1
CHALLAPATA,otras actividades de enfermeria,otras actividades,2016-01-01,1265,1265
CHAQUI,otras actividades de enfermeria,otras actividades,2016-01-01,7,7
CHARAGUA,otras actividades de enfermeria,otras actividades,2016-01-01,3,3
CHAYANTA,otras actividades de enfermeria,otras actividades,2016-01-01,11,11
CHIMORE,otras actividades de enfermeria,otras actividades,2016-01-01,165,165
CHUA COCANI,otras actividades de enfermeria,otras actividades,2016-01-01,43,43
CHULUMANI (V. DE LA LIBERTAD),otras actividades de enfermeria,otras actividades,2016-01-01,1,1
CHUMA,otras actividades de enfermeria,otras actividades,2016-01-01,17,17
CHUQUIHUTA AYLLU JUCUMANI,otras actividades de enfermeria,otras actividades,2016-01-01,1,1
CLIZA,otras actividades de enfermeria,otras actividades,2016-01-01,17,17
COBIJA,otras actividades de enfermeria,otras actividades,2016-01-01,193,193
COCHABAMBA,otras actividades de enfermeria,otras actividades,2016-01-01,7926,7926
COLCAPIRHUA,otras actividades de enfermeria,otras actividades,2016-01-01,174,174
