municipality,group,variable,month,Curaciones y/o suturas,TOTAL
ACACIO,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,11,11
ACHACACHI,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,261,261
ACHOCALLA,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,137,137
AIQUILE,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,333,333
ALALAY,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,8,8
ALCALA,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,8,8
ALTO BENI,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,116,116
ANCORAIMES,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,52,52
ANDAMARCA,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,89,89
ANTEQUERA,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,10,10
ANZALDO,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,83,83
APOLO,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,27,27
ARAMPAMPA,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,15,15
ARANI,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,115,115
ARBIETO,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,144,144
ARQUE,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,25,25
ASCENCION DE GUARAYOS,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,572,572
ATOCHA,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,335,335
AUCAPATA,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,14,14
AYATA,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,33,33
AYO AYO,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,14,14
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,112,112
AZURDUY,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,81,81
BATALLAS,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,65,65
BAURES,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,165,165
BELEN DE ANDAMARCA,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,8,8
BELEN DE URMIRI,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,2,2
BELLA FLOR,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,36,36
BERMEJO,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,1792,1792
BETANZOS,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,272,272
BOLIVAR,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,1,1
BOLPEBRA,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,10,10
BOYUIBE,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,36,36
BUENA VISTA,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,86,86
CABEZAS,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,293,293
CAIROMA,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,43,43
"CAIZA ""D""",otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,110,110
CAJUATA,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,18,18
CALACOTO,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,4,4
CALAMARCA,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,90,90
CAMARGO,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,85,85
CAMATAQUI (C. VILLA ABECIA),otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,5,5
CAMIRI,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,1153,1153
CAPINOTA,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,247,247
CAQUIAVIRI,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,50,50
CARACOLLO,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,68,68
CARANAVI,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,483,483
CARANGAS,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,39,39
CARAPARI,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,183,183
CARIPUYO,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,3,3
CARMEN RIVERO TORREZ,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,50,50
CATACORA,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,8,8
CHACARILLA,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,1,1
CHALLAPATA,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,362,362
CHAQUI,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,97,97
CHARAGUA,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,211,211
CHARAÑA,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,10,10
CHAYANTA,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,78,78
CHIMORE,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,314,314
CHIPAYA,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,4,4
CHUA COCANI,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,49,49
CHULUMANI (V. DE LA LIBERTAD),otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,139,139
CHUMA,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,54,54
CHUQUIHUTA AYLLU JUCUMANI,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,20,20
CKOCHAS,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,15,15
CLIZA,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,243,243
COBIJA,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,950,950
COCAPATA,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,25,25
COCHABAMBA,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,15745,15745
COIPASA,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,8,8
COLCAPIRHUA,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,520,520
"COLCHA ""K""",otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,88,88
COLLANA,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,17,17
COLOMI,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,167,167
COLPA BELGICA,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,154,154
COLQUECHACA,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,119,119
COLQUENCHA,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,68,68
COLQUIRI,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,663,663
COMANCHE,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,20,20
COMARAPA,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,148,148
COMBAYA,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,19,19
CONCEPCION,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,145,145
COPACABANA,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,93,93
CORIPATA,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,124,124
CORO CORO,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,51,51
COROICO,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,286,286
CORQUE,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,65,65
COTAGAITA,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,371,371
COTOCA,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,864,864
CUATRO CAÑADAS,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,204,204
CUCHUMUELA (V. G. VILLARROEL),otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,10,10
CUEVO,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,46,46
CULPINA,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,82,82
CURAHUARA DE CARANGAS,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,24,24
CURVA,otras actividades de enfermeria,curaciones y/o suturas,2016-01-01,10,10
