municipality,group,variable,month,Inyectables,TOTAL
ACACIO,otras actividades de enfermeria,inyectables,2016-01-01,280,280
ACHACACHI,otras actividades de enfermeria,inyectables,2016-01-01,784,784
ACHOCALLA,otras actividades de enfermeria,inyectables,2016-01-01,348,348
AIQUILE,otras actividades de enfermeria,inyectables,2016-01-01,1629,1629
ALALAY,otras actividades de enfermeria,inyectables,2016-01-01,69,69
ALCALA,otras actividades de enfermeria,inyectables,2016-01-01,319,319
ALTO BENI,otras actividades de enfermeria,inyectables,2016-01-01,585,585
ANCORAIMES,otras actividades de enfermeria,inyectables,2016-01-01,228,228
ANDAMARCA,otras actividades de enfermeria,inyectables,2016-01-01,314,314
ANTEQUERA,otras actividades de enfermeria,inyectables,2016-01-01,149,149
ANZALDO,otras actividades de enfermeria,inyectables,2016-01-01,320,320
APOLO,otras actividades de enfermeria,inyectables,2016-01-01,293,293
ARAMPAMPA,otras actividades de enfermeria,inyectables,2016-01-01,133,133
ARANI,otras actividades de enfermeria,inyectables,2016-01-01,208,208
ARBIETO,otras actividades de enfermeria,inyectables,2016-01-01,380,380
ARQUE,otras actividades de enfermeria,inyectables,2016-01-01,219,219
ASCENCION DE GUARAYOS,otras actividades de enfermeria,inyectables,2016-01-01,6225,6225
ATOCHA,otras actividades de enfermeria,inyectables,2016-01-01,2292,2292
AUCAPATA,otras actividades de enfermeria,inyectables,2016-01-01,83,83
AYATA,otras actividades de enfermeria,inyectables,2016-01-01,210,210
AYO AYO,otras actividades de enfermeria,inyectables,2016-01-01,33,33
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,inyectables,2016-01-01,1274,1274
AZURDUY,otras actividades de enfermeria,inyectables,2016-01-01,587,587
BATALLAS,otras actividades de enfermeria,inyectables,2016-01-01,260,260
BAURES,otras actividades de enfermeria,inyectables,2016-01-01,1117,1117
BELEN DE ANDAMARCA,otras actividades de enfermeria,inyectables,2016-01-01,90,90
BELEN DE URMIRI,otras actividades de enfermeria,inyectables,2016-01-01,36,36
BELLA FLOR,otras actividades de enfermeria,inyectables,2016-01-01,212,212
BERMEJO,otras actividades de enfermeria,inyectables,2016-01-01,12055,12055
BETANZOS,otras actividades de enfermeria,inyectables,2016-01-01,1930,1930
BOLIVAR,otras actividades de enfermeria,inyectables,2016-01-01,184,184
BOLPEBRA,otras actividades de enfermeria,inyectables,2016-01-01,40,40
BOYUIBE,otras actividades de enfermeria,inyectables,2016-01-01,683,683
BUENA VISTA,otras actividades de enfermeria,inyectables,2016-01-01,834,834
CABEZAS,otras actividades de enfermeria,inyectables,2016-01-01,2630,2630
CAIROMA,otras actividades de enfermeria,inyectables,2016-01-01,293,293
"CAIZA ""D""",otras actividades de enfermeria,inyectables,2016-01-01,498,498
CAJUATA,otras actividades de enfermeria,inyectables,2016-01-01,241,241
CALACOTO,otras actividades de enfermeria,inyectables,2016-01-01,109,109
CALAMARCA,otras actividades de enfermeria,inyectables,2016-01-01,325,325
CAMARGO,otras actividades de enfermeria,inyectables,2016-01-01,4949,4949
CAMATAQUI (C. VILLA ABECIA),otras actividades de enfermeria,inyectables,2016-01-01,120,120
CAMIRI,otras actividades de enfermeria,inyectables,2016-01-01,30571,30571
CAPINOTA,otras actividades de enfermeria,inyectables,2016-01-01,1031,1031
CAQUIAVIRI,otras actividades de enfermeria,inyectables,2016-01-01,125,125
CARACOLLO,otras actividades de enfermeria,inyectables,2016-01-01,236,236
CARANAVI,otras actividades de enfermeria,inyectables,2016-01-01,5232,5232
CARANGAS,otras actividades de enfermeria,inyectables,2016-01-01,30,30
CARAPARI,otras actividades de enfermeria,inyectables,2016-01-01,1700,1700
CARIPUYO,otras actividades de enfermeria,inyectables,2016-01-01,59,59
CARMEN RIVERO TORREZ,otras actividades de enfermeria,inyectables,2016-01-01,410,410
CATACORA,otras actividades de enfermeria,inyectables,2016-01-01,40,40
CHACARILLA,otras actividades de enfermeria,inyectables,2016-01-01,21,21
CHALLAPATA,otras actividades de enfermeria,inyectables,2016-01-01,1785,1785
CHAQUI,otras actividades de enfermeria,inyectables,2016-01-01,488,488
CHARAGUA,otras actividades de enfermeria,inyectables,2016-01-01,1628,1628
CHARAÑA,otras actividades de enfermeria,inyectables,2016-01-01,53,53
CHAYANTA,otras actividades de enfermeria,inyectables,2016-01-01,353,353
CHIMORE,otras actividades de enfermeria,inyectables,2016-01-01,1281,1281
CHIPAYA,otras actividades de enfermeria,inyectables,2016-01-01,31,31
CHUA COCANI,otras actividades de enfermeria,inyectables,2016-01-01,266,266
CHULUMANI (V. DE LA LIBERTAD),otras actividades de enfermeria,inyectables,2016-01-01,1384,1384
CHUMA,otras actividades de enfermeria,inyectables,2016-01-01,231,231
CHUQUIHUTA AYLLU JUCUMANI,otras actividades de enfermeria,inyectables,2016-01-01,112,112
CKOCHAS,otras actividades de enfermeria,inyectables,2016-01-01,377,377
CLIZA,otras actividades de enfermeria,inyectables,2016-01-01,590,590
COBIJA,otras actividades de enfermeria,inyectables,2016-01-01,5610,5610
COCAPATA,otras actividades de enfermeria,inyectables,2016-01-01,392,392
COCHABAMBA,otras actividades de enfermeria,inyectables,2016-01-01,84162,84162
COIPASA,otras actividades de enfermeria,inyectables,2016-01-01,44,44
COLCAPIRHUA,otras actividades de enfermeria,inyectables,2016-01-01,1559,1559
"COLCHA ""K""",otras actividades de enfermeria,inyectables,2016-01-01,884,884
COLLANA,otras actividades de enfermeria,inyectables,2016-01-01,34,34
COLOMI,otras actividades de enfermeria,inyectables,2016-01-01,482,482
COLPA BELGICA,otras actividades de enfermeria,inyectables,2016-01-01,834,834
COLQUECHACA,otras actividades de enfermeria,inyectables,2016-01-01,531,531
COLQUENCHA,otras actividades de enfermeria,inyectables,2016-01-01,156,156
COLQUIRI,otras actividades de enfermeria,inyectables,2016-01-01,728,728
COMANCHE,otras actividades de enfermeria,inyectables,2016-01-01,9,9
COMARAPA,otras actividades de enfermeria,inyectables,2016-01-01,1295,1295
COMBAYA,otras actividades de enfermeria,inyectables,2016-01-01,35,35
CONCEPCION,otras actividades de enfermeria,inyectables,2016-01-01,1002,1002
COPACABANA,otras actividades de enfermeria,inyectables,2016-01-01,273,273
CORIPATA,otras actividades de enfermeria,inyectables,2016-01-01,431,431
CORO CORO,otras actividades de enfermeria,inyectables,2016-01-01,154,154
COROICO,otras actividades de enfermeria,inyectables,2016-01-01,771,771
CORQUE,otras actividades de enfermeria,inyectables,2016-01-01,320,320
