municipality,group,variable,month,Pacientes retornados al establecimiento de origen,TOTAL
ANDAMARCA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,2,2
ATOCHA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,1,1
AZURDUY,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,1,1
BERMEJO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,10,10
BETANZOS,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,9,9
BUENA VISTA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,1,1
CABEZAS,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,5,5
CAJUATA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,3,3
CALAMARCA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,1,1
CARAPARI,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,1,1
CARIPUYO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,2,2
CHARAGUA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,3,3
CHIMORE,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,1,1
COBIJA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,52,52
COCHABAMBA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,5,5
COLPA BELGICA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,29,29
COLQUECHACA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,4,4
COMARAPA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,1,1
COTAGAITA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,45,45
COTOCA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,10,10
EL ALTO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,21,21
EL CHORO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,3,3
EL TORNO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,1,1
ENTRE RIOS TRJ,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,1,1
ENTRE RIOS CBBA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,2,2
FERNANDEZ ALONSO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,1,1
GUAYARAMERIN,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,3,3
GUTIERREZ,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,2,2
HUACARETA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,2,2
HUANUNI,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,1,1
HUATAJATA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,3,3
INQUISIVI,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,2,2
LA GUARDIA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,1,1
LA PAZ,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,366,366
LAJA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,3,3
LURIBAY,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,9,9
MACHARETI,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,4,4
MAIRANA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,2,2
MONTEAGUDO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,1,1
MONTERO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,228,228
NACEBE (SANTA ROSA DEL ABUNA),referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,1,1
OCURI,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,2,2
ORURO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,188,188
PADCAYA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,3,3
PADILLA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,28,28
PAMPA GRANDE,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,3,3
POCOATA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,1,1
POROMA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,3,3
POTOSI,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,91,91
PUERTO GONZALO MORENO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,6,6
PUERTO SUAREZ,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,11,11
QUIABAYA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,1,1
RIBERALTA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,32,32
ROBORE,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,18,18
RURRENABAQUE,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,2,2
SACABA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,4,4
SACACA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,1,1
SAIPINA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,2,2
SAN AGUSTIN,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,1,1
SAN ANDRES,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,1,1
SAN ANTONIO DE LOMERIO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,1,1
SAN BORJA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,2,2
SAN CARLOS,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,1,1
SAN IGNACIO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,1,1
SAN IGNACIO DE VELASCO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,36,36
SAN JAVIER(BNI),referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,2,2
SAN JOSE DE CHIQUITOS,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,2,2
SAN LUCAS,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,1,1
SAN MATIAS,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,3,3
SAN MIGUEL DE VELASCO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,2,2
SAN PEDRO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,7,7
SAN PEDRO(PND),referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,1,1
SANTA ANA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,1,1
SANTA CRUZ DE LA SIERRA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,53,53
SANTA ROSA DEL SARA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,1,1
SOPACHUY,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,3,3
