municipality,group,variable,month,Pacientes derivados de la comunidad o medicina tradicional,TOTAL
ACHOCALLA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2013-01-01,8,8
AIQUILE,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2013-01-01,9,9
ARAMPAMPA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2013-01-01,2,2
ASCENCION DE GUARAYOS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2013-01-01,2,2
AZURDUY,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2013-01-01,3,3
BERMEJO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2013-01-01,8,8
BETANZOS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2013-01-01,2,2
COCHABAMBA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2013-01-01,1,1
COTAGAITA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2013-01-01,2,2
EL ALTO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2013-01-01,13,13
EL CHORO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2013-01-01,1,1
EL VILLAR,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2013-01-01,1,1
HUACAYA (VILLA DE HUACAYA),referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2013-01-01,1,1
MIZQUE,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2013-01-01,2,2
ORURO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2013-01-01,2,2
PADCAYA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2013-01-01,18,18
POROMA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2013-01-01,2,2
RURRENABAQUE,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2013-01-01,1,1
SACABAMBA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2013-01-01,1,1
SAN JULIAN,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2013-01-01,35,35
SANTA CRUZ DE LA SIERRA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2013-01-01,36,36
TUPIZA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2013-01-01,10,10
URIONDO (A. CONCEPCION),referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2013-01-01,1,1
URUBICHA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2013-01-01,3,3
VILLA VACA GUZMAN (MUYUPAMPA),referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2013-01-01,1,1
VITICHI,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2013-01-01,2,2
ARAMPAMPA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2013-02-01,1,1
ASCENCION DE GUARAYOS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2013-02-01,4,4
BERMEJO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2013-02-01,8,8
CAPINOTA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2013-02-01,1,1
COCHABAMBA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2013-02-01,1,1
COTAGAITA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2013-02-01,2,2
EL ALTO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2013-02-01,3,3
EL CHORO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2013-02-01,1,1
EL VILLAR,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2013-02-01,1,1
ICLA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2013-02-01,1,1
LA ASUNTA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2013-02-01,2,2
LA PAZ,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2013-02-01,5,5
MONTEAGUDO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2013-02-01,1,1
ORURO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2013-02-01,4,4
PADCAYA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2013-02-01,8,8
