municipality,group,variable,month,Pacientes referidos a otros establecimientos,TOTAL
ACHACACHI,referencias y retornos,pacientes referidos a otros establecimientos,2013-01-01,35,35
ACHOCALLA,referencias y retornos,pacientes referidos a otros establecimientos,2013-01-01,1,1
AIQUILE,referencias y retornos,pacientes referidos a otros establecimientos,2013-01-01,42,42
ALCALA,referencias y retornos,pacientes referidos a otros establecimientos,2013-01-01,11,11
ALTO BENI,referencias y retornos,pacientes referidos a otros establecimientos,2013-01-01,2,2
ANCORAIMES,referencias y retornos,pacientes referidos a otros establecimientos,2013-01-01,1,1
ANDAMARCA,referencias y retornos,pacientes referidos a otros establecimientos,2013-01-01,6,6
ANTEQUERA,referencias y retornos,pacientes referidos a otros establecimientos,2013-01-01,1,1
ANZALDO,referencias y retornos,pacientes referidos a otros establecimientos,2013-01-01,5,5
APOLO,referencias y retornos,pacientes referidos a otros establecimientos,2013-01-01,8,8
ARAMPAMPA,referencias y retornos,pacientes referidos a otros establecimientos,2013-01-01,2,2
ARANI,referencias y retornos,pacientes referidos a otros establecimientos,2013-01-01,3,3
ARBIETO,referencias y retornos,pacientes referidos a otros establecimientos,2013-01-01,16,16
ARQUE,referencias y retornos,pacientes referidos a otros establecimientos,2013-01-01,4,4
ASCENCION DE GUARAYOS,referencias y retornos,pacientes referidos a otros establecimientos,2013-01-01,22,22
ATOCHA,referencias y retornos,pacientes referidos a otros establecimientos,2013-01-01,71,71
AUCAPATA,referencias y retornos,pacientes referidos a otros establecimientos,2013-01-01,1,1
AYATA,referencias y retornos,pacientes referidos a otros establecimientos,2013-01-01,2,2
AYO AYO,referencias y retornos,pacientes referidos a otros establecimientos,2013-01-01,8,8
AYOPAYA (V. DE INDEPENDENCIA),referencias y retornos,pacientes referidos a otros establecimientos,2013-01-01,16,16
AZURDUY,referencias y retornos,pacientes referidos a otros establecimientos,2013-01-01,15,15
BATALLAS,referencias y retornos,pacientes referidos a otros establecimientos,2013-01-01,4,4
BAURES,referencias y retornos,pacientes referidos a otros establecimientos,2013-01-01,1,1
BELLA FLOR,referencias y retornos,pacientes referidos a otros establecimientos,2013-01-01,1,1
BERMEJO,referencias y retornos,pacientes referidos a otros establecimientos,2013-01-01,98,98
BETANZOS,referencias y retornos,pacientes referidos a otros establecimientos,2013-01-01,30,30
BOLIVAR,referencias y retornos,pacientes referidos a otros establecimientos,2013-01-01,5,5
BOLPEBRA,referencias y retornos,pacientes referidos a otros establecimientos,2013-01-01,4,4
BOYUIBE,referencias y retornos,pacientes referidos a otros establecimientos,2013-01-01,6,6
BUENA VISTA,referencias y retornos,pacientes referidos a otros establecimientos,2013-01-01,14,14
CABEZAS,referencias y retornos,pacientes referidos a otros establecimientos,2013-01-01,22,22
CAIROMA,referencias y retornos,pacientes referidos a otros establecimientos,2013-01-01,3,3
"CAIZA ""D""",referencias y retornos,pacientes referidos a otros establecimientos,2013-01-01,8,8
CAJUATA,referencias y retornos,pacientes referidos a otros establecimientos,2013-01-01,5,5
CALAMARCA,referencias y retornos,pacientes referidos a otros establecimientos,2013-01-01,40,40
CAMARGO,referencias y retornos,pacientes referidos a otros establecimientos,2013-01-01,18,18
CAMATAQUI (C. VILLA ABECIA),referencias y retornos,pacientes referidos a otros establecimientos,2013-01-01,6,6
CAMIRI,referencias y retornos,pacientes referidos a otros establecimientos,2013-01-01,64,64
CAPINOTA,referencias y retornos,pacientes referidos a otros establecimientos,2013-01-01,44,44
CAQUIAVIRI,referencias y retornos,pacientes referidos a otros establecimientos,2013-01-01,3,3
CARACOLLO,referencias y retornos,pacientes referidos a otros establecimientos,2013-01-01,14,14
CARANAVI,referencias y retornos,pacientes referidos a otros establecimientos,2013-01-01,28,28
CARANGAS,referencias y retornos,pacientes referidos a otros establecimientos,2013-01-01,1,1
