municipality,group,variable,month,PCD referidas a Unidades de Calificación de Discapacidad.,TOTAL
AYO AYO,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2013-01-01,1,1
AZURDUY,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2013-01-01,1,1
CAMARGO,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2013-01-01,1,1
COCHABAMBA,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2013-01-01,1,1
EL TORNO,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2013-01-01,1,1
GUAQUI,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2013-01-01,1,1
MONTERO,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2013-01-01,1,1
POTOSI,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2013-01-01,1,1
SACABA,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2013-01-01,1,1
SAN LORENZO(TJA),referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2013-01-01,2,2
SANTA CRUZ DE LA SIERRA,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2013-01-01,0,0
TARIJA,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2013-01-01,1,1
TUPIZA,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2013-01-01,6,6
COCHABAMBA,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2013-02-01,1,1
EL ALTO,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2013-02-01,1,1
HUACARETA,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2013-02-01,1,1
LA PAZ,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2013-02-01,1,1
POTOSI,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2013-02-01,1,1
SAN BORJA,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2013-02-01,1,1
SANTA CRUZ DE LA SIERRA,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2013-02-01,2,2
TARIJA,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2013-02-01,1,1
"CAIZA ""D""",referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2013-03-01,1,1
CAPINOTA,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2013-03-01,1,1
COCHABAMBA,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2013-03-01,2,2
EL ALTO,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2013-03-01,1,1
FERNANDEZ ALONSO,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2013-03-01,1,1
LA PAZ,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2013-03-01,5,5
MONTERO,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2013-03-01,1,1
