,group,variable,month,O.P.V. 1RA DOSIS,O.P.V. 1RA DOSIS,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,4,1,4,1,5
ACHACACHI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,40,68,40,68,108
ACHOCALLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,12,16,12,16,28
AIQUILE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,21,11,21,11,32
ALALAY,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,1,6,1,6,7
ALCALA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,3,1,3,1,4
ANCORAIMES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,1,29,1,29,30
ANDAMARCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,1,2,1,2,3
ANTEQUERA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,3,3,3,3,6
ANZALDO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,6,15,6,15,21
APOLO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,13,16,13,16,29
ARAMPAMPA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,1,4,1,4,5
ARANI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,15,12,15,12,27
ARBIETO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,6,15,6,15,21
ARQUE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,12,4,12,4,16
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,39,3,39,3,42
ATOCHA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,11,3,11,3,14
AUCAPATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,6,6,6,6,12
AYATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,2,18,2,18,20
AYO AYO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,6,4,6,4,10
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,32,19,32,19,51
AZURDUY,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,19,11,19,11,30
BATALLAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,17,19,17,19,36
BAURES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,5,0,5,0,5
BELEN DE URMIRI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,0,4,0,4,4
BERMEJO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,46,5,46,5,51
BETANZOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,33,33,33,33,66
BOLIVAR,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,8,8,8,8,16
BOYUIBE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,5,0,5,0,5
BUENA VISTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,15,16,15,16,31
CABEZAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,34,13,34,13,47
CAIROMA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,3,11,3,11,14
"CAIZA ""D""",vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,1,13,1,13,14
CAJUATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,15,3,15,3,18
CALACOTO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,1,1,1,1,2
CALAMARCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,7,8,7,8,15
CAMARGO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,21,7,21,7,28
CAMIRI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,50,4,50,4,54
CAPINOTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,41,8,41,8,49
CAQUIAVIRI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,0,10,0,10,10
CARACOLLO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,19,10,19,10,29
CARANAVI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,93,35,93,35,128
CARAPARI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,16,6,16,6,22
CARIPUYO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,6,11,6,11,17
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,4,3,4,3,7
CATACORA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,1,0,1,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,29,21,29,21,50
CHAQUI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,7,12,7,12,19
CHARAGUA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,35,68,35,68,103
CHARAÑA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,0,3,0,3,3
CHAYANTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,20,23,20,23,43
CHIMORE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,20,8,20,8,28
CHIPAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,0,2,0,2,2
CHOQUE COTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,23,9,23,9,32
CHUMA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,14,13,14,13,27
CLIZA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,9,23,9,23,32
COBIJA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,118,3,118,3,121
COCHABAMBA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,1436,11,1436,11,1447
COIPASA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,1,1,1,1,2
COLCAPIRHUA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,84,3,84,3,87
"COLCHA ""K""",vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,7,7,7,7,14
COLLANA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,3,1,3,1,4
COLOMI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,33,9,33,9,42
COLPA BELGICA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,8,2,8,2,10
COLQUECHACA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,29,62,29,62,91
COLQUENCHA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,4,3,4,3,7
COLQUIRI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,41,38,41,38,79
COMANCHE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,5,0,5,0,5
COMARAPA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,29,6,29,6,35
COMBAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,0,3,0,3,3
CONCEPCION,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,28,0,28,0,28
COPACABANA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,9,14,9,14,23
CORIPATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,22,3,22,3,25
CORO CORO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,5,10,5,10,15
COROICO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,21,7,21,7,28
CORQUE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,5,8,5,8,13
COTAGAITA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,18,9,18,9,27
COTOCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,113,8,113,8,121
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,15,23,15,23,38
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,2,2,2,2,4
CUEVO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,7,5,7,5,12
CULPINA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,14,20,14,20,34
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,7,3,7,3,10
CURVA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,2,2,2,2,4
DESAGUADERO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,7,4,7,4,11
EL ALTO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,1785,70,1785,70,1855
EL CHORO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,5,3,5,3,8
EL PUENTE(STC),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,12,0,12,0,12
EL PUENTE(TJA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,16,20,16,20,36
EL TORNO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,81,0,81,0,81
