,group,variable,month,BCG,BCG,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,bcg,2009-01-01,4,4,4,4,8
ACHACACHI,vacunaciones en menores de 1 ano,bcg,2009-01-01,48,61,48,61,109
ACHOCALLA,vacunaciones en menores de 1 ano,bcg,2009-01-01,14,8,14,8,22
AIQUILE,vacunaciones en menores de 1 ano,bcg,2009-01-01,48,4,48,4,52
ALALAY,vacunaciones en menores de 1 ano,bcg,2009-01-01,2,10,2,10,12
ALCALA,vacunaciones en menores de 1 ano,bcg,2009-01-01,1,0,1,0,1
ANCORAIMES,vacunaciones en menores de 1 ano,bcg,2009-01-01,1,21,1,21,22
ANDAMARCA,vacunaciones en menores de 1 ano,bcg,2009-01-01,2,1,2,1,3
ANTEQUERA,vacunaciones en menores de 1 ano,bcg,2009-01-01,3,1,3,1,4
ANZALDO,vacunaciones en menores de 1 ano,bcg,2009-01-01,9,7,9,7,16
APOLO,vacunaciones en menores de 1 ano,bcg,2009-01-01,14,7,14,7,21
ARAMPAMPA,vacunaciones en menores de 1 ano,bcg,2009-01-01,0,5,0,5,5
ARANI,vacunaciones en menores de 1 ano,bcg,2009-01-01,19,2,19,2,21
ARBIETO,vacunaciones en menores de 1 ano,bcg,2009-01-01,6,18,6,18,24
ARQUE,vacunaciones en menores de 1 ano,bcg,2009-01-01,13,4,13,4,17
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,bcg,2009-01-01,54,2,54,2,56
ATOCHA,vacunaciones en menores de 1 ano,bcg,2009-01-01,6,3,6,3,9
AUCAPATA,vacunaciones en menores de 1 ano,bcg,2009-01-01,5,1,5,1,6
AYATA,vacunaciones en menores de 1 ano,bcg,2009-01-01,0,7,0,7,7
AYO AYO,vacunaciones en menores de 1 ano,bcg,2009-01-01,0,4,0,4,4
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,bcg,2009-01-01,22,19,22,19,41
AZURDUY,vacunaciones en menores de 1 ano,bcg,2009-01-01,14,5,14,5,19
BATALLAS,vacunaciones en menores de 1 ano,bcg,2009-01-01,21,14,21,14,35
BAURES,vacunaciones en menores de 1 ano,bcg,2009-01-01,4,0,4,0,4
BELEN DE URMIRI,vacunaciones en menores de 1 ano,bcg,2009-01-01,1,1,1,1,2
BERMEJO,vacunaciones en menores de 1 ano,bcg,2009-01-01,65,4,65,4,69
BETANZOS,vacunaciones en menores de 1 ano,bcg,2009-01-01,23,20,23,20,43
BOLIVAR,vacunaciones en menores de 1 ano,bcg,2009-01-01,3,7,3,7,10
BOYUIBE,vacunaciones en menores de 1 ano,bcg,2009-01-01,0,4,0,4,4
BUENA VISTA,vacunaciones en menores de 1 ano,bcg,2009-01-01,10,12,10,12,22
CABEZAS,vacunaciones en menores de 1 ano,bcg,2009-01-01,12,20,12,20,32
CAIROMA,vacunaciones en menores de 1 ano,bcg,2009-01-01,8,19,8,19,27
"CAIZA ""D""",vacunaciones en menores de 1 ano,bcg,2009-01-01,0,13,0,13,13
CAJUATA,vacunaciones en menores de 1 ano,bcg,2009-01-01,17,0,17,0,17
CALACOTO,vacunaciones en menores de 1 ano,bcg,2009-01-01,0,1,0,1,1
CALAMARCA,vacunaciones en menores de 1 ano,bcg,2009-01-01,6,8,6,8,14
CAMARGO,vacunaciones en menores de 1 ano,bcg,2009-01-01,15,6,15,6,21
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,bcg,2009-01-01,1,2,1,2,3
CAMIRI,vacunaciones en menores de 1 ano,bcg,2009-01-01,67,1,67,1,68
CAPINOTA,vacunaciones en menores de 1 ano,bcg,2009-01-01,32,6,32,6,38
CAQUIAVIRI,vacunaciones en menores de 1 ano,bcg,2009-01-01,0,9,0,9,9
CARACOLLO,vacunaciones en menores de 1 ano,bcg,2009-01-01,27,9,27,9,36
CARANAVI,vacunaciones en menores de 1 ano,bcg,2009-01-01,97,13,97,13,110
CARAPARI,vacunaciones en menores de 1 ano,bcg,2009-01-01,15,5,15,5,20
CARIPUYO,vacunaciones en menores de 1 ano,bcg,2009-01-01,4,9,4,9,13
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,bcg,2009-01-01,3,6,3,6,9
CHALLAPATA,vacunaciones en menores de 1 ano,bcg,2009-01-01,45,12,45,12,57
CHAQUI,vacunaciones en menores de 1 ano,bcg,2009-01-01,2,4,2,4,6
CHARAGUA,vacunaciones en menores de 1 ano,bcg,2009-01-01,28,66,28,66,94
CHAYANTA,vacunaciones en menores de 1 ano,bcg,2009-01-01,13,24,13,24,37
CHIMORE,vacunaciones en menores de 1 ano,bcg,2009-01-01,27,11,27,11,38
CHIPAYA,vacunaciones en menores de 1 ano,bcg,2009-01-01,0,3,0,3,3
CHOQUE COTA,vacunaciones en menores de 1 ano,bcg,2009-01-01,1,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,bcg,2009-01-01,36,3,36,3,39
CHUMA,vacunaciones en menores de 1 ano,bcg,2009-01-01,3,11,3,11,14
CLIZA,vacunaciones en menores de 1 ano,bcg,2009-01-01,17,25,17,25,42
COBIJA,vacunaciones en menores de 1 ano,bcg,2009-01-01,106,4,106,4,110
COCHABAMBA,vacunaciones en menores de 1 ano,bcg,2009-01-01,1352,258,1352,258,1610
COIPASA,vacunaciones en menores de 1 ano,bcg,2009-01-01,0,1,0,1,1
COLCAPIRHUA,vacunaciones en menores de 1 ano,bcg,2009-01-01,68,0,68,0,68
"COLCHA ""K""",vacunaciones en menores de 1 ano,bcg,2009-01-01,5,6,5,6,11
COLOMI,vacunaciones en menores de 1 ano,bcg,2009-01-01,23,10,23,10,33
COLPA BELGICA,vacunaciones en menores de 1 ano,bcg,2009-01-01,5,2,5,2,7
COLQUECHACA,vacunaciones en menores de 1 ano,bcg,2009-01-01,17,57,17,57,74
COLQUENCHA,vacunaciones en menores de 1 ano,bcg,2009-01-01,0,12,0,12,12
COLQUIRI,vacunaciones en menores de 1 ano,bcg,2009-01-01,23,43,23,43,66
COMANCHE,vacunaciones en menores de 1 ano,bcg,2009-01-01,0,3,0,3,3
COMARAPA,vacunaciones en menores de 1 ano,bcg,2009-01-01,20,3,20,3,23
COMBAYA,vacunaciones en menores de 1 ano,bcg,2009-01-01,0,5,0,5,5
CONCEPCION,vacunaciones en menores de 1 ano,bcg,2009-01-01,34,0,34,0,34
COPACABANA,vacunaciones en menores de 1 ano,bcg,2009-01-01,16,13,16,13,29
CORIPATA,vacunaciones en menores de 1 ano,bcg,2009-01-01,10,0,10,0,10
CORO CORO,vacunaciones en menores de 1 ano,bcg,2009-01-01,0,2,0,2,2
COROICO,vacunaciones en menores de 1 ano,bcg,2009-01-01,18,2,18,2,20
CORQUE,vacunaciones en menores de 1 ano,bcg,2009-01-01,0,11,0,11,11
COTAGAITA,vacunaciones en menores de 1 ano,bcg,2009-01-01,11,20,11,20,31
COTOCA,vacunaciones en menores de 1 ano,bcg,2009-01-01,96,7,96,7,103
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,bcg,2009-01-01,8,20,8,20,28
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,bcg,2009-01-01,3,1,3,1,4
CUEVO,vacunaciones en menores de 1 ano,bcg,2009-01-01,4,1,4,1,5
CULPINA,vacunaciones en menores de 1 ano,bcg,2009-01-01,16,6,16,6,22
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,bcg,2009-01-01,2,2,2,2,4
CURVA,vacunaciones en menores de 1 ano,bcg,2009-01-01,2,4,2,4,6
DESAGUADERO,vacunaciones en menores de 1 ano,bcg,2009-01-01,4,3,4,3,7
EL ALTO,vacunaciones en menores de 1 ano,bcg,2009-01-01,1737,0,1737,0,1737
EL CHORO,vacunaciones en menores de 1 ano,bcg,2009-01-01,0,7,0,7,7
EL PUENTE(STC),vacunaciones en menores de 1 ano,bcg,2009-01-01,10,0,10,0,10
EL PUENTE(TJA),vacunaciones en menores de 1 ano,bcg,2009-01-01,8,8,8,8,16
EL TORNO,vacunaciones en menores de 1 ano,bcg,2009-01-01,85,1,85,1,86
EL VILLAR,vacunaciones en menores de 1 ano,bcg,2009-01-01,5,3,5,3,8
ENTRE RIOS,vacunaciones en menores de 1 ano,bcg,2009-01-01,26,6,26,6,32
ENTRE RIOS,vacunaciones en menores de 1 ano,bcg,2009-01-01,27,9,27,9,36
EUCALIPTUS,vacunaciones en menores de 1 ano,bcg,2009-01-01,3,2,3,2,5
EXALTACION,vacunaciones en menores de 1 ano,bcg,2009-01-01,0,3,0,3,3
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,bcg,2009-01-01,10,9,10,9,19
FILADELFIA,vacunaciones en menores de 1 ano,bcg,2009-01-01,2,1,2,1,3
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,bcg,2009-01-01,13,10,13,10,23
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,bcg,2009-01-01,7,9,7,9,16
GUANAY,vacunaciones en menores de 1 ano,bcg,2009-01-01,14,6,14,6,20
GUAQUI,vacunaciones en menores de 1 ano,bcg,2009-01-01,0,11,0,11,11
GUAYARAMERIN,vacunaciones en menores de 1 ano,bcg,2009-01-01,117,7,117,7,124
GUTIERREZ,vacunaciones en menores de 1 ano,bcg,2009-01-01,19,17,19,17,36
HUACARETA,vacunaciones en menores de 1 ano,bcg,2009-01-01,7,4,7,4,11
HUACHACALLA,vacunaciones en menores de 1 ano,bcg,2009-01-01,5,0,5,0,5
HUANUNI,vacunaciones en menores de 1 ano,bcg,2009-01-01,39,2,39,2,41
HUARACAJE,vacunaciones en menores de 1 ano,bcg,2009-01-01,2,0,2,0,2
HUAYLLAMARCA,vacunaciones en menores de 1 ano,bcg,2009-01-01,5,3,5,3,8
ICHOCA,vacunaciones en menores de 1 ano,bcg,2009-01-01,1,3,1,3,4
ICLA,vacunaciones en menores de 1 ano,bcg,2009-01-01,5,5,5,5,10
INCAHUASI,vacunaciones en menores de 1 ano,bcg,2009-01-01,9,11,9,11,20
