,group,variable,month,0 ANTIROTAVIRUS 3RA. DOSIS,0 ANTIROTAVIRUS 3RA. DOSIS,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
COTAGAITA,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2009-01-01,0.0,4.0,0.0,4.0,4.0
SAN CARLOS,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2009-01-01,1.0,0.0,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2009-01-01,0.0,0.0,0.0,0.0,0.0
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2009-01-01,3.0,0.0,3.0,0.0,3.0
VITICHI,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2009-01-01,1.0,0.0,1.0,0.0,1.0
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2009-02-01,1.0,3.0,1.0,3.0,4.0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2009-02-01,55.0,0.0,55.0,0.0,55.0
VITICHI,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2009-02-01,0.0,1.0,0.0,1.0,1.0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2009-03-01,0.0,0.0,0.0,0.0,0.0
TOMAVE,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2009-03-01,0.0,2.0,0.0,2.0,2.0
UYUNI,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2009-03-01,1.0,0.0,1.0,0.0,1.0
COTAGAITA,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2009-04-01,0.0,1.0,0.0,1.0,1.0
MONTERO,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2009-06-01,53.0,0.0,53.0,0.0,53.0
TINGUIPAYA,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2009-06-01,0.0,6.0,0.0,6.0,6.0
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2009-07-01,0.0,1.0,0.0,1.0,1.0
ATOCHA,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2009-07-01,0.0,1.0,0.0,1.0,1.0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2009-07-01,0.0,0.0,0.0,0.0,0.0
ATOCHA,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2009-08-01,1.0,1.0,1.0,1.0,2.0
COTAGAITA,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2009-08-01,0.0,2.0,0.0,2.0,2.0
MINEROS,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2009-08-01,1.0,0.0,1.0,0.0,1.0
SAN BORJA,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2009-08-01,0.0,5.0,0.0,5.0,5.0
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2009-08-01,1.0,0.0,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2009-08-01,0.0,0.0,0.0,0.0,0.0
TOMAVE,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2009-08-01,0.0,2.0,0.0,2.0,2.0
WARNES,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2009-08-01,0.0,3.0,0.0,3.0,3.0
ATOCHA,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2009-09-01,0.0,1.0,0.0,1.0,1.0
LLALLAGUA,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2009-09-01,0.0,1.0,0.0,1.0,1.0
MONTERO,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2009-09-01,11.0,0.0,11.0,0.0,11.0
GUAYARAMERIN,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2009-10-01,2.0,0.0,2.0,0.0,2.0
LLICA,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2009-10-01,6.0,1.0,6.0,1.0,7.0
SAN BORJA,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2009-10-01,0.0,12.0,0.0,12.0,12.0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2009-10-01,0.0,0.0,0.0,0.0,0.0
VITICHI,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2009-10-01,1.0,0.0,1.0,0.0,1.0
"COLCHA ""K""",vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2009-11-01,1.0,0.0,1.0,0.0,1.0
MONTERO,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2009-11-01,1.0,0.0,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2009-11-01,0.0,0.0,0.0,0.0,0.0
"COLCHA ""K""",vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2009-12-01,1.0,0.0,1.0,0.0,1.0
GUAYARAMERIN,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2009-12-01,3.0,0.0,3.0,0.0,3.0
TAHUA,vacunaciones en menores de 1 ano,antirotavirus 3ra. dosis,2009-12-01,2.0,0.0,2.0,0.0,2.0
