,group,variable,month,PENTAVALENTE 2DA. DOSIS,PENTAVALENTE 2DA. DOSIS,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,3,6,3,6,9
ACHACACHI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,29,72,29,72,101
ACHOCALLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,10,16,10,16,26
AIQUILE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,24,12,24,12,36
ALALAY,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,1,8,1,8,9
ALCALA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,2,3,2,3,5
ANCORAIMES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,5,25,5,25,30
ANDAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,1,2,1,2,3
ANTEQUERA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,6,0,6,0,6
ANZALDO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,5,15,5,15,20
APOLO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,17,21,17,21,38
ARAMPAMPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,2,5,2,5,7
ARANI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,11,9,11,9,20
ARBIETO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,5,16,5,16,21
ARQUE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,11,3,11,3,14
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,55,11,55,11,66
ATOCHA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,13,1,13,1,14
AUCAPATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,4,0,4,0,4
AYATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,4,14,4,14,18
AYO AYO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,5,6,5,6,11
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,21,16,21,16,37
AZURDUY,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,10,15,10,15,25
BATALLAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,9,18,9,18,27
BAURES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,5,0,5,0,5
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,1,1,1,1,2
BELEN DE URMIRI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,3,2,3,2,5
BERMEJO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,49,7,49,7,56
BETANZOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,31,24,31,24,55
BOLIVAR,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,6,0,6,0,6
BOYUIBE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,2,3,2,3,5
BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,18,10,18,10,28
CABEZAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,23,16,23,16,39
CAIROMA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,4,4,4,4,8
"CAIZA ""D""",vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,1,17,1,17,18
CAJUATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,15,4,15,4,19
CALACOTO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,0,2,0,2,2
CALAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,10,12,10,12,22
CAMARGO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,19,9,19,9,28
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,2,0,2,0,2
CAMIRI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,38,9,38,9,47
CAPINOTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,26,6,26,6,32
CAQUIAVIRI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,0,7,0,7,7
CARACOLLO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,24,9,24,9,33
CARANAVI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,56,32,56,32,88
CARAPARI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,13,6,13,6,19
CARIPUYO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,3,10,3,10,13
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,9,6,9,6,15
CATACORA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,0,2,0,2,2
CHALLAPATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,24,15,24,15,39
CHAQUI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,10,8,10,8,18
CHARAGUA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,20,54,20,54,74
CHARAÑA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,1,1,1,1,2
CHAYANTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,16,14,16,14,30
CHIMORE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,31,10,31,10,41
CHIPAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,0,4,0,4,4
CHOQUE COTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,18,13,18,13,31
CHUMA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,6,7,6,7,13
CLIZA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,10,31,10,31,41
COBIJA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,72,8,72,8,80
COCHABAMBA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,1337,19,1337,19,1356
COIPASA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,5,0,5,0,5
COLCAPIRHUA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,95,0,95,0,95
"COLCHA ""K""",vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,13,15,13,15,28
COLLANA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,3,2,3,2,5
COLOMI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,27,14,27,14,41
COLPA BELGICA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,9,0,9,0,9
COLQUECHACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,14,48,14,48,62
COLQUENCHA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,4,9,4,9,13
COLQUIRI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,18,41,18,41,59
COMANCHE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,2,0,2,0,2
COMARAPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,22,8,22,8,30
COMBAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,0,1,0,1,1
CONCEPCION,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,36,0,36,0,36
COPACABANA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,5,8,5,8,13
CORIPATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,20,3,20,3,23
CORO CORO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,7,8,7,8,15
COROICO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,14,7,14,7,21
CORQUE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,7,7,7,7,14
COTAGAITA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,12,18,12,18,30
COTOCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,93,15,93,15,108
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,22,25,22,25,47
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,0,1,0,1,1
CUEVO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,5,0,5,0,5
CULPINA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,20,9,20,9,29
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,5,3,5,3,8
CURVA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,1,3,1,3,4
DESAGUADERO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,4,3,4,3,7
EL ALTO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,1560,81,1560,81,1641
EL CHORO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,0,2,0,2,2
EL PUENTE(STC),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,19,0,19,0,19
EL PUENTE(TJA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,8,10,8,10,18
