,group,variable,month,PENTAVALENTE 3RA. DOSIS,PENTAVALENTE 3RA. DOSIS,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,4,3,4,3,7
ACHACACHI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,27,67,27,67,94
ACHOCALLA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,8,19,8,19,27
AIQUILE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,22,18,22,18,40
ALALAY,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,0,6,0,6,6
ALCALA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,3,2,3,2,5
ANCORAIMES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,1,26,1,26,27
ANDAMARCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,2,0,2,0,2
ANTEQUERA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,1,1,1,1,2
ANZALDO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,5,14,5,14,19
APOLO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,13,13,13,13,26
ARAMPAMPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,2,2,2,2,4
ARANI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,5,7,5,7,12
ARBIETO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,3,34,3,34,37
ARQUE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,21,1,21,1,22
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,44,8,44,8,52
ATOCHA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,8,2,8,2,10
AUCAPATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,4,2,4,2,6
AYATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,3,12,3,12,15
AYO AYO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,7,5,7,5,12
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,16,16,16,16,32
AZURDUY,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,8,11,8,11,19
BATALLAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,10,13,10,13,23
BAURES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,1,0,1,0,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,0,3,0,3,3
BERMEJO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,56,15,56,15,71
BETANZOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,14,17,14,17,31
BOLIVAR,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,2,0,2,0,2
BOYUIBE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,3,5,3,5,8
BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,18,16,18,16,34
CABEZAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,29,18,29,18,47
CAIROMA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,6,9,6,9,15
"CAIZA ""D""",vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,5,11,5,11,16
CAJUATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,9,1,9,1,10
CALACOTO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,1,9,1,9,10
CALAMARCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,5,11,5,11,16
CAMARGO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,17,11,17,11,28
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,2,2,2,2,4
CAMIRI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,37,6,37,6,43
CAPINOTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,27,10,27,10,37
CAQUIAVIRI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,2,7,2,7,9
CARACOLLO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,26,23,26,23,49
CARANAVI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,62,46,62,46,108
CARAPARI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,13,9,13,9,22
CARIPUYO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,2,10,2,10,12
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,2,8,2,8,10
CATACORA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,0,1,0,1,1
CHALLAPATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,32,16,32,16,48
CHAQUI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,5,1,5,1,6
CHARAGUA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,19,67,19,67,86
CHARAÑA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,1,1,1,1,2
CHAYANTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,11,22,11,22,33
CHIMORE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,35,7,35,7,42
CHIPAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,0,1,0,1,1
CHOQUE COTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,22,16,22,16,38
CHUMA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,7,6,7,6,13
CLIZA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,9,20,9,20,29
COBIJA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,84,7,84,7,91
COCHABAMBA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,1212,22,1212,22,1234
COLCAPIRHUA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,88,0,88,0,88
"COLCHA ""K""",vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,8,4,8,4,12
COLLANA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,1,0,1,0,1
COLOMI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,20,19,20,19,39
COLPA BELGICA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,14,0,14,0,14
COLQUECHACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,19,57,19,57,76
COLQUENCHA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,8,5,8,5,13
COLQUIRI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,18,38,18,38,56
COMANCHE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,4,0,4,0,4
COMARAPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,30,11,30,11,41
COMBAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,0,5,0,5,5
CONCEPCION,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,33,0,33,0,33
COPACABANA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,2,11,2,11,13
CORIPATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,11,1,11,1,12
CORO CORO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,5,6,5,6,11
COROICO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,12,6,12,6,18
CORQUE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,5,5,5,5,10
COTAGAITA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,3,18,3,18,21
COTOCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,90,11,90,11,101
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,19,19,19,19,38
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,2,0,2,0,2
CULPINA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,15,18,15,18,33
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,0,2,0,2,2
CURVA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,1,1,1,1,2
DESAGUADERO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,2,3,2,3,5
EL ALTO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,1412,135,1412,135,1547
EL CHORO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,4,5,4,5,9
EL PUENTE(STC),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,20,1,20,1,21
EL PUENTE(TJA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,4,9,4,9,13
EL TORNO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2009-01-01,95,1,95,1,96
