,group,variable,month,ANTIROTAVIRUS 1RA. DOSIS,ANTIROTAVIRUS 1RA. DOSIS,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,4,4,4,4,8
ACHACACHI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,33,50,33,50,83
ACHOCALLA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,14,11,14,11,25
AIQUILE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,21,10,21,10,31
ALALAY,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,1,9,1,9,10
ALCALA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,3,1,3,1,4
ANCORAIMES,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,1,32,1,32,33
ANDAMARCA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,1,2,1,2,3
ANTEQUERA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,3,4,3,4,7
ANZALDO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,6,12,6,12,18
APOLO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,14,10,14,10,24
ARAMPAMPA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,1,4,1,4,5
ARANI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,15,14,15,14,29
ARBIETO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,6,13,6,13,19
ARQUE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,9,1,9,1,10
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,35,2,35,2,37
ATOCHA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,15,3,15,3,18
AUCAPATA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,3,3,3,3,6
AYATA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,2,22,2,22,24
AYO AYO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,2,0,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,28,17,28,17,45
AZURDUY,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,17,14,17,14,31
BATALLAS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,28,2,28,2,30
BAURES,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,5,0,5,0,5
BERMEJO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,49,8,49,8,57
BETANZOS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,34,28,34,28,62
BOLIVAR,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,3,1,3,1,4
BOYUIBE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,5,0,5,0,5
BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,26,1,26,1,27
CABEZAS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,29,3,29,3,32
CAIROMA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,1,4,1,4,5
"CAIZA ""D""",vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,2,7,2,7,9
CAJUATA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,10,2,10,2,12
CALACOTO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,1,1,1,1,2
CALAMARCA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,5,13,5,13,18
CAMARGO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,23,6,23,6,29
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,6,1,6,1,7
CAMIRI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,48,4,48,4,52
CAPINOTA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,21,4,21,4,25
CAQUIAVIRI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,0,9,0,9,9
CARACOLLO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,17,10,17,10,27
CARANAVI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,74,24,74,24,98
CARAPARI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,16,8,16,8,24
CARIPUYO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,7,7,7,7,14
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,3,4,3,4,7
CATACORA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,1,0,1,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,31,22,31,22,53
CHAQUI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,6,3,6,3,9
CHARAGUA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,39,45,39,45,84
CHARAÑA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,1,3,1,3,4
CHAYANTA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,29,14,29,14,43
CHIMORE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,23,3,23,3,26
CHIPAYA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,0,2,0,2,2
CHOQUE COTA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,30,12,30,12,42
CHUMA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,12,10,12,10,22
CLIZA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,7,21,7,21,28
COBIJA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,107,0,107,0,107
COCHABAMBA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,1346,3,1346,3,1349
COIPASA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,1,0,1,0,1
COLCAPIRHUA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,68,0,68,0,68
"COLCHA ""K""",vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,13,2,13,2,15
COLLANA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,2,1,2,1,3
COLOMI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,24,8,24,8,32
COLPA BELGICA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,6,1,6,1,7
COLQUECHACA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,22,46,22,46,68
COLQUENCHA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,7,5,7,5,12
COLQUIRI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,45,43,45,43,88
COMANCHE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,5,0,5,0,5
COMARAPA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,36,10,36,10,46
COMBAYA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,0,1,0,1,1
CONCEPCION,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,16,0,16,0,16
COPACABANA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,16,12,16,12,28
CORIPATA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,18,0,18,0,18
CORO CORO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,6,12,6,12,18
COROICO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,21,4,21,4,25
CORQUE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,5,8,5,8,13
COTAGAITA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,17,8,17,8,25
COTOCA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,130,9,130,9,139
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,19,15,19,15,34
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,2,0,2,0,2
CUEVO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,7,6,7,6,13
CULPINA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,17,15,17,15,32
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,6,3,6,3,9
CURVA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,1,5,1,5,6
DESAGUADERO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,10,5,10,5,15
EL ALTO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,2002,0,2002,0,2002
EL CHORO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,5,4,5,4,9
EL PUENTE(STC),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2009-01-01,14,0,14,0,14
