,group,variable,month,ANTIROTAVIRUS 2RA. DOSIS,ANTIROTAVIRUS 2RA. DOSIS,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,2,5,2,5,7
ACHACACHI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,21,32,21,32,53
ACHOCALLA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,5,13,5,13,18
AIQUILE,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,14,7,14,7,21
ALALAY,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,0,6,0,6,6
ALCALA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,2,3,2,3,5
ANCORAIMES,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,4,16,4,16,20
ANDAMARCA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,1,2,1,2,3
ANTEQUERA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,5,0,5,0,5
ANZALDO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,4,8,4,8,12
APOLO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,10,14,10,14,24
ARAMPAMPA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,0,6,0,6,6
ARANI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,12,5,12,5,17
ARBIETO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,4,18,4,18,22
ARQUE,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,14,0,14,0,14
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,49,6,49,6,55
ATOCHA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,5,1,5,1,6
AUCAPATA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,5,0,5,0,5
AYATA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,3,11,3,11,14
AYO AYO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,2,0,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,19,14,19,14,33
AZURDUY,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,8,8,8,8,16
BATALLAS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,6,1,6,1,7
BAURES,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,11,0,11,0,11
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,1,1,1,1,2
BERMEJO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,67,6,67,6,73
BETANZOS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,24,19,24,19,43
BOYUIBE,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,2,5,2,5,7
BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,25,0,25,0,25
CABEZAS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,15,1,15,1,16
CAIROMA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,0,2,0,2,2
"CAIZA ""D""",vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,0,10,0,10,10
CAJUATA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,2,4,2,4,6
CALACOTO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,0,3,0,3,3
CALAMARCA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,1,4,1,4,5
CAMARGO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,18,8,18,8,26
CAMIRI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,39,5,39,5,44
CAPINOTA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,15,3,15,3,18
CAQUIAVIRI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,0,3,0,3,3
CARACOLLO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,19,12,19,12,31
CARANAVI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,8,4,8,4,12
CARAPARI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,13,6,13,6,19
CARIPUYO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,1,3,1,3,4
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,7,4,7,4,11
CATACORA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,0,3,0,3,3
CHALLAPATA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,22,6,22,6,28
CHAQUI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,5,2,5,2,7
CHARAGUA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,9,19,9,19,28
CHARAÑA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,0,1,0,1,1
CHAYANTA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,7,3,7,3,10
CHIMORE,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,24,7,24,7,31
CHIPAYA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,0,3,0,3,3
CHOQUE COTA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,8,11,8,11,19
CHUMA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,7,5,7,5,12
CLIZA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,5,21,5,21,26
COBIJA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,71,2,71,2,73
COCHABAMBA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,1099,3,1099,3,1102
COIPASA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,5,0,5,0,5
COLCAPIRHUA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,66,0,66,0,66
"COLCHA ""K""",vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,12,3,12,3,15
COLLANA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,2,1,2,1,3
COLOMI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,17,5,17,5,22
COLPA BELGICA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,6,0,6,0,6
COLQUECHACA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,12,25,12,25,37
COLQUENCHA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,4,0,4,0,4
COLQUIRI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,14,10,14,10,24
COMANCHE,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,2,0,2,0,2
COMARAPA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,25,7,25,7,32
CONCEPCION,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,8,0,8,0,8
COPACABANA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,2,3,2,3,5
CORIPATA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,9,1,9,1,10
CORO CORO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,7,4,7,4,11
COROICO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,11,2,11,2,13
CORQUE,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,5,6,5,6,11
COTAGAITA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,12,12,12,12,24
COTOCA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,52,7,52,7,59
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,15,5,15,5,20
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,1,0,1,0,1
CUEVO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,2,0,2,0,2
CULPINA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,14,7,14,7,21
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,5,2,5,2,7
CURVA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,0,2,0,2,2
DESAGUADERO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,2,2,2,2,4
EL ALTO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,691,0,691,0,691
EL CHORO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,1,4,1,4,5
EL PUENTE(STC),vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,18,0,18,0,18
EL PUENTE(TJA),vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,11,9,11,9,20
EL TORNO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2009-01-01,102,0,102,0,102
