,group,variable,month,Nº DE PERSONAS CON ESQUEMA REDUCIDO COMPLETO CANTIDAD,Nº DE PERSONAS CON ESQUEMA REDUCIDO COMPLETO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
AIQUILE,rabia,no de personas con esquema reducido completo,2020-01-01,1,0,1,0,1
BERMEJO,rabia,no de personas con esquema reducido completo,2020-01-01,1,0,1,0,1
CALAMARCA,rabia,no de personas con esquema reducido completo,2020-01-01,1,0,1,0,1
CAMIRI,rabia,no de personas con esquema reducido completo,2020-01-01,0,1,0,1,1
CAPINOTA,rabia,no de personas con esquema reducido completo,2020-01-01,1,0,1,0,1
CARACOLLO,rabia,no de personas con esquema reducido completo,2020-01-01,0,1,0,1,1
CARANAVI,rabia,no de personas con esquema reducido completo,2020-01-01,1,0,1,0,1
CARAPARI,rabia,no de personas con esquema reducido completo,2020-01-01,1,0,1,0,1
CHALLAPATA,rabia,no de personas con esquema reducido completo,2020-01-01,1,1,1,1,2
CHARAGUA,rabia,no de personas con esquema reducido completo,2020-01-01,0,1,0,1,1
COCHABAMBA,rabia,no de personas con esquema reducido completo,2020-01-01,62,37,62,37,99
COLCAPIRHUA,rabia,no de personas con esquema reducido completo,2020-01-01,2,1,2,1,3
COLQUENCHA,rabia,no de personas con esquema reducido completo,2020-01-01,2,0,2,0,2
COLQUIRI,rabia,no de personas con esquema reducido completo,2020-01-01,0,2,0,2,2
COMARAPA,rabia,no de personas con esquema reducido completo,2020-01-01,1,1,1,1,2
CONCEPCION,rabia,no de personas con esquema reducido completo,2020-01-01,1,0,1,0,1
COTAGAITA,rabia,no de personas con esquema reducido completo,2020-01-01,1,0,1,0,1
COTOCA,rabia,no de personas con esquema reducido completo,2020-01-01,11,5,11,5,16
CUATRO CAÑADAS,rabia,no de personas con esquema reducido completo,2020-01-01,4,2,4,2,6
EL ALTO,rabia,no de personas con esquema reducido completo,2020-01-01,33,37,33,37,70
EL TORNO,rabia,no de personas con esquema reducido completo,2020-01-01,6,7,6,7,13
GUANAY,rabia,no de personas con esquema reducido completo,2020-01-01,1,1,1,1,2
GUAQUI,rabia,no de personas con esquema reducido completo,2020-01-01,0,1,0,1,1
ICLA,rabia,no de personas con esquema reducido completo,2020-01-01,1,1,1,1,2
IXIAMAS,rabia,no de personas con esquema reducido completo,2020-01-01,1,0,1,0,1
LA ASUNTA,rabia,no de personas con esquema reducido completo,2020-01-01,1,0,1,0,1
LA GUARDIA,rabia,no de personas con esquema reducido completo,2020-01-01,3,7,3,7,10
LA PAZ,rabia,no de personas con esquema reducido completo,2020-01-01,84,64,84,64,148
MAIRANA,rabia,no de personas con esquema reducido completo,2020-01-01,0,1,0,1,1
MECAPACA,rabia,no de personas con esquema reducido completo,2020-01-01,1,0,1,0,1
MINEROS,rabia,no de personas con esquema reducido completo,2020-01-01,1,1,1,1,2
MONTEAGUDO,rabia,no de personas con esquema reducido completo,2020-01-01,1,0,1,0,1
MONTERO,rabia,no de personas con esquema reducido completo,2020-01-01,7,6,7,6,13
OKINAWA,rabia,no de personas con esquema reducido completo,2020-01-01,1,0,1,0,1
ORURO,rabia,no de personas con esquema reducido completo,2020-01-01,20,13,20,13,33
PAILON,rabia,no de personas con esquema reducido completo,2020-01-01,0,1,0,1,1
PORTACHUELO,rabia,no de personas con esquema reducido completo,2020-01-01,3,4,3,4,7
PUNATA,rabia,no de personas con esquema reducido completo,2020-01-01,1,2,1,2,3
QUILLACOLLO,rabia,no de personas con esquema reducido completo,2020-01-01,4,2,4,2,6
ROBORE,rabia,no de personas con esquema reducido completo,2020-01-01,0,1,0,1,1
SACABA,rabia,no de personas con esquema reducido completo,2020-01-01,5,4,5,4,9
SAIPINA,rabia,no de personas con esquema reducido completo,2020-01-01,0,1,0,1,1
SAN CARLOS,rabia,no de personas con esquema reducido completo,2020-01-01,0,1,0,1,1
SAN IGNACIO,rabia,no de personas con esquema reducido completo,2020-01-01,1,1,1,1,2
SAN IGNACIO DE VELASCO,rabia,no de personas con esquema reducido completo,2020-01-01,4,2,4,2,6
SAN JULIAN,rabia,no de personas con esquema reducido completo,2020-01-01,1,0,1,0,1
