,group,variable,month,Nº DE PERSONAS QUE ABANDONARON ESQUEMA CANTIDAD,Nº DE PERSONAS QUE ABANDONARON ESQUEMA CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHOCALLA,rabia,no de personas que abandonaron esquema,2020-01-01,1,0,1,0,1
CAPINOTA,rabia,no de personas que abandonaron esquema,2020-01-01,0,1,0,1,1
CARAPARI,rabia,no de personas que abandonaron esquema,2020-01-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas que abandonaron esquema,2020-01-01,8,8,8,8,16
COLCAPIRHUA,rabia,no de personas que abandonaron esquema,2020-01-01,0,1,0,1,1
COPACABANA,rabia,no de personas que abandonaron esquema,2020-01-01,1,0,1,0,1
COTAGAITA,rabia,no de personas que abandonaron esquema,2020-01-01,1,0,1,0,1
EL ALTO,rabia,no de personas que abandonaron esquema,2020-01-01,16,16,16,16,32
EL TORNO,rabia,no de personas que abandonaron esquema,2020-01-01,0,1,0,1,1
ICLA,rabia,no de personas que abandonaron esquema,2020-01-01,0,1,0,1,1
LA PAZ,rabia,no de personas que abandonaron esquema,2020-01-01,5,5,5,5,10
LAJA,rabia,no de personas que abandonaron esquema,2020-01-01,0,1,0,1,1
MONTERO,rabia,no de personas que abandonaron esquema,2020-01-01,3,0,3,0,3
ORURO,rabia,no de personas que abandonaron esquema,2020-01-01,7,4,7,4,11
PORCO,rabia,no de personas que abandonaron esquema,2020-01-01,3,5,3,5,8
RURRENABAQUE,rabia,no de personas que abandonaron esquema,2020-01-01,0,1,0,1,1
SACABA,rabia,no de personas que abandonaron esquema,2020-01-01,3,2,3,2,5
SAN ANDRES,rabia,no de personas que abandonaron esquema,2020-01-01,1,1,1,1,2
SAN IGNACIO,rabia,no de personas que abandonaron esquema,2020-01-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2020-01-01,2,3,2,3,5
SIPE SIPE,rabia,no de personas que abandonaron esquema,2020-01-01,0,1,0,1,1
SUCRE,rabia,no de personas que abandonaron esquema,2020-01-01,13,14,13,14,27
TARIJA,rabia,no de personas que abandonaron esquema,2020-01-01,1,0,1,0,1
TIQUIPAYA,rabia,no de personas que abandonaron esquema,2020-01-01,1,1,1,1,2
TRINIDAD,rabia,no de personas que abandonaron esquema,2020-01-01,6,1,6,1,7
UYUNI,rabia,no de personas que abandonaron esquema,2020-01-01,6,5,6,5,11
VIACHA,rabia,no de personas que abandonaron esquema,2020-01-01,1,0,1,0,1
VINTO,rabia,no de personas que abandonaron esquema,2020-01-01,3,0,3,0,3
WARNES,rabia,no de personas que abandonaron esquema,2020-01-01,1,3,1,3,4
YACUIBA,rabia,no de personas que abandonaron esquema,2020-01-01,0,1,0,1,1
ACHOCALLA,rabia,no de personas que abandonaron esquema,2020-02-01,1,0,1,0,1
APOLO,rabia,no de personas que abandonaron esquema,2020-02-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas que abandonaron esquema,2020-02-01,0,1,0,1,1
COCHABAMBA,rabia,no de personas que abandonaron esquema,2020-02-01,16,3,16,3,19
COLCAPIRHUA,rabia,no de personas que abandonaron esquema,2020-02-01,1,0,1,0,1
COPACABANA,rabia,no de personas que abandonaron esquema,2020-02-01,1,0,1,0,1
COROICO,rabia,no de personas que abandonaron esquema,2020-02-01,1,0,1,0,1
EL ALTO,rabia,no de personas que abandonaron esquema,2020-02-01,25,18,25,18,43
GUANAY,rabia,no de personas que abandonaron esquema,2020-02-01,0,2,0,2,2
LA PAZ,rabia,no de personas que abandonaron esquema,2020-02-01,3,0,3,0,3
OKINAWA,rabia,no de personas que abandonaron esquema,2020-02-01,0,1,0,1,1
ORURO,rabia,no de personas que abandonaron esquema,2020-02-01,6,2,6,2,8
QUILLACOLLO,rabia,no de personas que abandonaron esquema,2020-02-01,2,0,2,0,2
RURRENABAQUE,rabia,no de personas que abandonaron esquema,2020-02-01,6,1,6,1,7
SACABA,rabia,no de personas que abandonaron esquema,2020-02-01,0,1,0,1,1
SAN ANDRES,rabia,no de personas que abandonaron esquema,2020-02-01,1,1,1,1,2
