,group,variable,month,Nº DE PERSONAS CON VACUNA ANTIRRÁBICA CANTIDAD,Nº DE PERSONAS CON VACUNA ANTIRRÁBICA CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHOCALLA,rabia,no de personas con vacuna antirrabica,2020-01-01,2,1,2,1,3
ANCORAIMES,rabia,no de personas con vacuna antirrabica,2020-01-01,0,1,0,1,1
ANZALDO,rabia,no de personas con vacuna antirrabica,2020-01-01,1,0,1,0,1
APOLO,rabia,no de personas con vacuna antirrabica,2020-01-01,0,2,0,2,2
ARBIETO,rabia,no de personas con vacuna antirrabica,2020-01-01,0,1,0,1,1
ASCENCION DE GUARAYOS,rabia,no de personas con vacuna antirrabica,2020-01-01,3,3,3,3,6
AYATA,rabia,no de personas con vacuna antirrabica,2020-01-01,1,1,1,1,2
BERMEJO,rabia,no de personas con vacuna antirrabica,2020-01-01,1,0,1,0,1
CABEZAS,rabia,no de personas con vacuna antirrabica,2020-01-01,3,0,3,0,3
CALAMARCA,rabia,no de personas con vacuna antirrabica,2020-01-01,1,0,1,0,1
CAMIRI,rabia,no de personas con vacuna antirrabica,2020-01-01,1,1,1,1,2
CAPINOTA,rabia,no de personas con vacuna antirrabica,2020-01-01,2,1,2,1,3
CARACOLLO,rabia,no de personas con vacuna antirrabica,2020-01-01,0,1,0,1,1
CARANAVI,rabia,no de personas con vacuna antirrabica,2020-01-01,4,5,4,5,9
CARAPARI,rabia,no de personas con vacuna antirrabica,2020-01-01,6,3,6,3,9
CHALLAPATA,rabia,no de personas con vacuna antirrabica,2020-01-01,1,1,1,1,2
CHIMORE,rabia,no de personas con vacuna antirrabica,2020-01-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas con vacuna antirrabica,2020-01-01,0,1,0,1,1
CHUQUIHUTA AYLLU JUCUMANI,rabia,no de personas con vacuna antirrabica,2020-01-01,0,1,0,1,1
CLIZA,rabia,no de personas con vacuna antirrabica,2020-01-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas con vacuna antirrabica,2020-01-01,55,42,55,42,97
COLCAPIRHUA,rabia,no de personas con vacuna antirrabica,2020-01-01,2,1,2,1,3
COLOMI,rabia,no de personas con vacuna antirrabica,2020-01-01,2,0,2,0,2
COLQUENCHA,rabia,no de personas con vacuna antirrabica,2020-01-01,2,0,2,0,2
COMARAPA,rabia,no de personas con vacuna antirrabica,2020-01-01,1,1,1,1,2
CONCEPCION,rabia,no de personas con vacuna antirrabica,2020-01-01,3,1,3,1,4
COPACABANA,rabia,no de personas con vacuna antirrabica,2020-01-01,3,1,3,1,4
COROICO,rabia,no de personas con vacuna antirrabica,2020-01-01,0,2,0,2,2
COTOCA,rabia,no de personas con vacuna antirrabica,2020-01-01,16,10,16,10,26
CUATRO CAÑADAS,rabia,no de personas con vacuna antirrabica,2020-01-01,5,3,5,3,8
EL ALTO,rabia,no de personas con vacuna antirrabica,2020-01-01,130,103,130,103,233
EL TORNO,rabia,no de personas con vacuna antirrabica,2020-01-01,15,8,15,8,23
ENTRE RIOS CBBA,rabia,no de personas con vacuna antirrabica,2020-01-01,2,0,2,0,2
GUANAY,rabia,no de personas con vacuna antirrabica,2020-01-01,0,2,0,2,2
HUARINA,rabia,no de personas con vacuna antirrabica,2020-01-01,1,2,1,2,3
ICLA,rabia,no de personas con vacuna antirrabica,2020-01-01,1,2,1,2,3
IRUPANA (VILLA DE LANZA),rabia,no de personas con vacuna antirrabica,2020-01-01,1,0,1,0,1
IXIAMAS,rabia,no de personas con vacuna antirrabica,2020-01-01,3,0,3,0,3
LA ASUNTA,rabia,no de personas con vacuna antirrabica,2020-01-01,0,4,0,4,4
LA GUARDIA,rabia,no de personas con vacuna antirrabica,2020-01-01,29,26,29,26,55
LA PAZ,rabia,no de personas con vacuna antirrabica,2020-01-01,273,236,273,236,509
LORETO,rabia,no de personas con vacuna antirrabica,2020-01-01,1,1,1,1,2
MAIRANA,rabia,no de personas con vacuna antirrabica,2020-01-01,1,0,1,0,1
MECAPACA,rabia,no de personas con vacuna antirrabica,2020-01-01,1,0,1,0,1
