municipality,group,variable,month,Días camas disponibles maternidad,TOTAL
ACACIO,internaciones dias camas,dias camas disponibles maternidad,2020-01-01,91,91
ACHACACHI,internaciones dias camas,dias camas disponibles maternidad,2020-01-01,187,187
ACHOCALLA,internaciones dias camas,dias camas disponibles maternidad,2020-01-01,62,62
AIQUILE,internaciones dias camas,dias camas disponibles maternidad,2020-01-01,465,465
ALALAY,internaciones dias camas,dias camas disponibles maternidad,2020-01-01,93,93
ALCALA,internaciones dias camas,dias camas disponibles maternidad,2020-01-01,124,124
ALTO BENI,internaciones dias camas,dias camas disponibles maternidad,2020-01-01,124,124
ANCORAIMES,internaciones dias camas,dias camas disponibles maternidad,2020-01-01,31,31
ANDAMARCA,internaciones dias camas,dias camas disponibles maternidad,2020-01-01,1,1
ANZALDO,internaciones dias camas,dias camas disponibles maternidad,2020-01-01,62,62
APOLO,internaciones dias camas,dias camas disponibles maternidad,2020-01-01,124,124
ARAMPAMPA,internaciones dias camas,dias camas disponibles maternidad,2020-01-01,62,62
ARANI,internaciones dias camas,dias camas disponibles maternidad,2020-01-01,248,248
ARBIETO,internaciones dias camas,dias camas disponibles maternidad,2020-01-01,121,121
ARQUE,internaciones dias camas,dias camas disponibles maternidad,2020-01-01,403,403
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas disponibles maternidad,2020-01-01,434,434
ATOCHA,internaciones dias camas,dias camas disponibles maternidad,2020-01-01,341,341
AUCAPATA,internaciones dias camas,dias camas disponibles maternidad,2020-01-01,31,31
AYATA,internaciones dias camas,dias camas disponibles maternidad,2020-01-01,124,124
AYO AYO,internaciones dias camas,dias camas disponibles maternidad,2020-01-01,124,124
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas disponibles maternidad,2020-01-01,1007,1007
AZURDUY,internaciones dias camas,dias camas disponibles maternidad,2020-01-01,149,149
BATALLAS,internaciones dias camas,dias camas disponibles maternidad,2020-01-01,93,93
BAURES,internaciones dias camas,dias camas disponibles maternidad,2020-01-01,62,62
BELEN DE ANDAMARCA,internaciones dias camas,dias camas disponibles maternidad,2020-01-01,31,31
BERMEJO,internaciones dias camas,dias camas disponibles maternidad,2020-01-01,402,402
BETANZOS,internaciones dias camas,dias camas disponibles maternidad,2020-01-01,527,527
BOLIVAR,internaciones dias camas,dias camas disponibles maternidad,2020-01-01,155,155
BOYUIBE,internaciones dias camas,dias camas disponibles maternidad,2020-01-01,124,124
BUENA VISTA,internaciones dias camas,dias camas disponibles maternidad,2020-01-01,238,238
CABEZAS,internaciones dias camas,dias camas disponibles maternidad,2020-01-01,120,120
"CAIZA ""D""",internaciones dias camas,dias camas disponibles maternidad,2020-01-01,310,310
CAJUATA,internaciones dias camas,dias camas disponibles maternidad,2020-01-01,310,310
CALACOTO,internaciones dias camas,dias camas disponibles maternidad,2020-01-01,31,31
CALAMARCA,internaciones dias camas,dias camas disponibles maternidad,2020-01-01,155,155
CAMARGO,internaciones dias camas,dias camas disponibles maternidad,2020-01-01,317,317
