municipality,group,variable,month,Días camas ocupadas maternidad,TOTAL
ACACIO,internaciones dias camas,dias camas ocupadas maternidad,2020-01-01,2,2
ACHACACHI,internaciones dias camas,dias camas ocupadas maternidad,2020-01-01,102,102
ACHOCALLA,internaciones dias camas,dias camas ocupadas maternidad,2020-01-01,8,8
AIQUILE,internaciones dias camas,dias camas ocupadas maternidad,2020-01-01,46,46
ALALAY,internaciones dias camas,dias camas ocupadas maternidad,2020-01-01,1,1
ALCALA,internaciones dias camas,dias camas ocupadas maternidad,2020-01-01,2,2
ALTO BENI,internaciones dias camas,dias camas ocupadas maternidad,2020-01-01,3,3
ANCORAIMES,internaciones dias camas,dias camas ocupadas maternidad,2020-01-01,1,1
ANZALDO,internaciones dias camas,dias camas ocupadas maternidad,2020-01-01,2,2
APOLO,internaciones dias camas,dias camas ocupadas maternidad,2020-01-01,24,24
ARANI,internaciones dias camas,dias camas ocupadas maternidad,2020-01-01,3,3
ARBIETO,internaciones dias camas,dias camas ocupadas maternidad,2020-01-01,3,3
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas ocupadas maternidad,2020-01-01,237,237
ATOCHA,internaciones dias camas,dias camas ocupadas maternidad,2020-01-01,103,103
AUCAPATA,internaciones dias camas,dias camas ocupadas maternidad,2020-01-01,1,1
AYATA,internaciones dias camas,dias camas ocupadas maternidad,2020-01-01,5,5
AYO AYO,internaciones dias camas,dias camas ocupadas maternidad,2020-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas ocupadas maternidad,2020-01-01,60,60
AZURDUY,internaciones dias camas,dias camas ocupadas maternidad,2020-01-01,18,18
BATALLAS,internaciones dias camas,dias camas ocupadas maternidad,2020-01-01,7,7
BAURES,internaciones dias camas,dias camas ocupadas maternidad,2020-01-01,32,32
BERMEJO,internaciones dias camas,dias camas ocupadas maternidad,2020-01-01,116,116
BETANZOS,internaciones dias camas,dias camas ocupadas maternidad,2020-01-01,28,28
BOYUIBE,internaciones dias camas,dias camas ocupadas maternidad,2020-01-01,13,13
BUENA VISTA,internaciones dias camas,dias camas ocupadas maternidad,2020-01-01,41,41
CABEZAS,internaciones dias camas,dias camas ocupadas maternidad,2020-01-01,17,17
"CAIZA ""D""",internaciones dias camas,dias camas ocupadas maternidad,2020-01-01,12,12
CAJUATA,internaciones dias camas,dias camas ocupadas maternidad,2020-01-01,30,30
CALAMARCA,internaciones dias camas,dias camas ocupadas maternidad,2020-01-01,9,9
CAMARGO,internaciones dias camas,dias camas ocupadas maternidad,2020-01-01,92,92
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas ocupadas maternidad,2020-01-01,5,5
CAMIRI,internaciones dias camas,dias camas ocupadas maternidad,2020-01-01,290,290
CAPINOTA,internaciones dias camas,dias camas ocupadas maternidad,2020-01-01,53,53
