,group,variable,month,ENDODONCIA MENORES DE 5 AÑOS,ENDODONCIA MENORES DE 5 AÑOS,ENDODONCIA 5 A 13 AÑOS,ENDODONCIA 5 A 13 AÑOS,ENDODONCIA 14 A 19 AÑOS,ENDODONCIA 14 A 19 AÑOS,ENDODONCIA 20 A 59 AÑOS,ENDODONCIA 20 A 59 AÑOS,ENDODONCIA 60 AÑOS Y MAS,ENDODONCIA 60 AÑOS Y MAS,ENDODONCIA EMB,ENDODONCIA EMB,ENDODONCIA POST,ENDODONCIA POST,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,
ACHACACHI,atencion odontologica,endodoncia,2016-01-01,0,0,1,1,0,0,5,13,0,0,0,0,0,0,6,14,20
ACHOCALLA,atencion odontologica,endodoncia,2016-01-01,0,0,0,0,0,0,2,5,0,0,0,0,0,0,2,5,7
AIQUILE,atencion odontologica,endodoncia,2016-01-01,6,4,13,8,3,0,2,12,0,0,0,0,0,0,24,24,48
ALCALA,atencion odontologica,endodoncia,2016-01-01,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,3
ALTO BENI,atencion odontologica,endodoncia,2016-01-01,0,0,0,0,0,0,1,2,2,0,0,0,0,0,3,2,5
ANCORAIMES,atencion odontologica,endodoncia,2016-01-01,0,0,0,1,0,0,2,0,0,2,0,0,0,0,2,3,5
ANDAMARCA,atencion odontologica,endodoncia,2016-01-01,0,1,3,0,0,0,0,2,0,0,0,0,0,0,3,3,6
ANTEQUERA,atencion odontologica,endodoncia,2016-01-01,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,3,4
ARAMPAMPA,atencion odontologica,endodoncia,2016-01-01,3,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,4
ARANI,atencion odontologica,endodoncia,2016-01-01,2,4,1,1,1,0,1,2,0,0,0,0,0,0,5,7,12
ARBIETO,atencion odontologica,endodoncia,2016-01-01,8,2,1,0,0,3,0,5,1,2,0,0,0,0,10,12,22
ARQUE,atencion odontologica,endodoncia,2016-01-01,1,0,2,1,0,2,1,5,0,0,0,0,0,0,4,8,12
ASCENCION DE GUARAYOS,atencion odontologica,endodoncia,2016-01-01,7,3,0,0,0,6,0,6,0,1,0,0,0,0,7,16,23
ATOCHA,atencion odontologica,endodoncia,2016-01-01,3,9,19,23,2,9,18,34,6,6,0,0,0,0,48,81,129
AYATA,atencion odontologica,endodoncia,2016-01-01,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,2
AYO AYO,atencion odontologica,endodoncia,2016-01-01,0,0,0,0,1,0,1,2,0,0,0,0,0,0,2,2,4
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,endodoncia,2016-01-01,5,7,14,10,5,13,13,23,0,2,0,0,0,0,37,55,92
AZURDUY,atencion odontologica,endodoncia,2016-01-01,1,0,0,0,0,1,1,2,0,0,0,0,0,0,2,3,5
BATALLAS,atencion odontologica,endodoncia,2016-01-01,13,2,1,0,0,0,1,2,0,0,0,0,0,0,15,4,19
BERMEJO,atencion odontologica,endodoncia,2016-01-01,0,1,0,10,5,4,2,5,0,1,0,0,0,0,7,21,28
BETANZOS,atencion odontologica,endodoncia,2016-01-01,3,2,1,6,1,9,6,5,2,0,0,0,0,0,13,22,35
BOLIVAR,atencion odontologica,endodoncia,2016-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
BOYUIBE,atencion odontologica,endodoncia,2016-01-01,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
BUENA VISTA,atencion odontologica,endodoncia,2016-01-01,2,0,1,3,0,9,1,3,0,0,0,0,0,0,4,15,19
CABEZAS,atencion odontologica,endodoncia,2016-01-01,0,2,2,3,1,0,3,13,0,1,0,0,0,0,6,19,25
"CAIZA ""D""",atencion odontologica,endodoncia,2016-01-01,4,0,1,1,0,0,0,0,0,0,0,0,0,0,5,1,6
CAJUATA,atencion odontologica,endodoncia,2016-01-01,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,5,5
CALAMARCA,atencion odontologica,endodoncia,2016-01-01,2,2,1,1,2,2,0,5,0,0,0,0,0,0,5,10,15
CAMIRI,atencion odontologica,endodoncia,2016-01-01,1,2,6,4,1,6,1,12,1,1,0,0,0,0,10,25,35
CAPINOTA,atencion odontologica,endodoncia,2016-01-01,0,0,4,3,3,1,0,1,5,1,0,0,0,0,12,6,18
CAQUIAVIRI,atencion odontologica,endodoncia,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CARACOLLO,atencion odontologica,endodoncia,2016-01-01,10,4,4,21,2,0,6,5,2,2,0,0,0,0,24,32,56
CARANAVI,atencion odontologica,endodoncia,2016-01-01,0,0,1,2,2,6,4,5,4,0,0,0,0,0,11,13,24
CARAPARI,atencion odontologica,endodoncia,2016-01-01,2,0,5,6,10,12,6,19,0,0,0,0,0,0,23,37,60
CARIPUYO,atencion odontologica,endodoncia,2016-01-01,0,0,0,0,1,0,0,3,1,1,0,0,0,0,2,4,6
CHALLAPATA,atencion odontologica,endodoncia,2016-01-01,4,15,15,6,0,1,0,3,0,0,0,0,0,0,19,25,44
CHAQUI,atencion odontologica,endodoncia,2016-01-01,1,1,4,1,1,1,1,4,2,0,0,0,0,0,9,7,16
CHARAGUA,atencion odontologica,endodoncia,2016-01-01,0,1,2,1,1,2,1,4,0,0,0,0,0,0,4,8,12
CHAYANTA,atencion odontologica,endodoncia,2016-01-01,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,1,3
CHIMORE,atencion odontologica,endodoncia,2016-01-01,4,7,3,9,8,10,2,19,0,1,0,0,0,0,17,46,63
CHIPAYA,atencion odontologica,endodoncia,2016-01-01,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2
CHUA COCANI,atencion odontologica,endodoncia,2016-01-01,0,3,0,3,2,0,0,0,1,1,0,0,0,0,3,7,10
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,endodoncia,2016-01-01,16,13,4,4,1,3,3,9,0,1,0,0,0,0,24,30,54
CHUMA,atencion odontologica,endodoncia,2016-01-01,3,0,0,1,2,8,4,16,0,1,0,0,0,0,9,26,35
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,endodoncia,2016-01-01,0,0,0,0,0,1,1,7,0,0,0,0,0,0,1,8,9
CKOCHAS,atencion odontologica,endodoncia,2016-01-01,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2
CLIZA,atencion odontologica,endodoncia,2016-01-01,2,7,1,3,1,10,2,11,0,2,0,0,0,0,6,33,39
COBIJA,atencion odontologica,endodoncia,2016-01-01,2,3,4,4,4,1,1,6,0,0,0,0,0,0,11,14,25
COCAPATA,atencion odontologica,endodoncia,2016-01-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2
COCHABAMBA,atencion odontologica,endodoncia,2016-01-01,155,138,196,186,106,153,287,466,106,69,0,0,0,0,850,1012,1862
COIPASA,atencion odontologica,endodoncia,2016-01-01,0,1,3,0,0,0,1,6,0,0,0,0,0,0,4,7,11
