,group,variable,month,APLICACIÓN DE FLUOR MENORES DE 5 AÑOS,APLICACIÓN DE FLUOR MENORES DE 5 AÑOS,APLICACIÓN DE FLUOR 5 A 13 AÑOS,APLICACIÓN DE FLUOR 5 A 13 AÑOS,APLICACIÓN DE FLUOR 14 A 19 AÑOS,APLICACIÓN DE FLUOR 14 A 19 AÑOS,APLICACIÓN DE FLUOR 20 A 59 AÑOS,APLICACIÓN DE FLUOR 20 A 59 AÑOS,APLICACIÓN DE FLUOR 60 AÑOS Y MAS,APLICACIÓN DE FLUOR 60 AÑOS Y MAS,APLICACIÓN DE FLUOR EMB,APLICACIÓN DE FLUOR EMB,APLICACIÓN DE FLUOR POST,APLICACIÓN DE FLUOR POST,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,
ACHACACHI,atencion odontologica,aplicacion de fluor,2016-01-01,1,3,0,0,0,0,0,1,0,0,0,0,0,0,1,4,5
ACHOCALLA,atencion odontologica,aplicacion de fluor,2016-01-01,3,8,0,1,0,0,0,1,1,0,0,0,0,0,4,10,14
AIQUILE,atencion odontologica,aplicacion de fluor,2016-01-01,3,7,4,2,0,0,1,4,0,0,0,0,0,0,8,13,21
ALTO BENI,atencion odontologica,aplicacion de fluor,2016-01-01,0,2,2,3,0,0,0,1,0,0,0,0,0,0,2,6,8
ANCORAIMES,atencion odontologica,aplicacion de fluor,2016-01-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
ANDAMARCA,atencion odontologica,aplicacion de fluor,2016-01-01,1,0,2,0,0,2,0,1,0,1,0,0,0,0,3,4,7
APOLO,atencion odontologica,aplicacion de fluor,2016-01-01,2,2,1,2,0,0,0,0,0,0,0,0,0,0,3,4,7
ARAMPAMPA,atencion odontologica,aplicacion de fluor,2016-01-01,5,7,0,0,0,0,0,0,0,0,0,0,0,0,5,7,12
ARANI,atencion odontologica,aplicacion de fluor,2016-01-01,3,4,7,3,2,2,0,3,1,0,0,0,0,0,13,12,25
ARBIETO,atencion odontologica,aplicacion de fluor,2016-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
ARQUE,atencion odontologica,aplicacion de fluor,2016-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
ASCENCION DE GUARAYOS,atencion odontologica,aplicacion de fluor,2016-01-01,8,4,0,0,0,0,0,0,0,0,0,0,0,0,8,4,12
ATOCHA,atencion odontologica,aplicacion de fluor,2016-01-01,1,2,2,5,5,5,9,14,3,5,0,0,0,0,20,31,51
AUCAPATA,atencion odontologica,aplicacion de fluor,2016-01-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
AYATA,atencion odontologica,aplicacion de fluor,2016-01-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,aplicacion de fluor,2016-01-01,3,0,0,1,1,3,0,6,0,0,0,0,0,0,4,10,14
BATALLAS,atencion odontologica,aplicacion de fluor,2016-01-01,8,8,0,0,0,0,0,0,0,0,0,0,0,0,8,8,16
BAURES,atencion odontologica,aplicacion de fluor,2016-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
BELLA FLOR,atencion odontologica,aplicacion de fluor,2016-01-01,1,0,36,28,0,1,0,1,0,0,0,0,0,0,37,30,67
BERMEJO,atencion odontologica,aplicacion de fluor,2016-01-01,1,2,6,6,1,0,0,0,0,0,0,0,0,0,8,8,16
BETANZOS,atencion odontologica,aplicacion de fluor,2016-01-01,1,1,0,1,0,0,0,2,1,0,0,0,0,0,2,4,6
BOYUIBE,atencion odontologica,aplicacion de fluor,2016-01-01,19,20,0,0,0,0,0,0,0,0,0,0,0,0,19,20,39
BUENA VISTA,atencion odontologica,aplicacion de fluor,2016-01-01,5,0,0,1,0,1,0,0,0,0,0,0,0,0,5,2,7
CABEZAS,atencion odontologica,aplicacion de fluor,2016-01-01,62,60,10,1,1,1,3,3,0,3,0,0,0,0,76,68,144
CAIROMA,atencion odontologica,aplicacion de fluor,2016-01-01,1,3,1,0,0,0,1,0,0,0,0,0,0,0,3,3,6
CAJUATA,atencion odontologica,aplicacion de fluor,2016-01-01,4,2,1,1,1,1,0,0,0,0,0,0,0,0,6,4,10
CALACOTO,atencion odontologica,aplicacion de fluor,2016-01-01,3,5,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8
CALAMARCA,atencion odontologica,aplicacion de fluor,2016-01-01,2,7,0,2,0,0,0,1,0,0,0,0,0,0,2,10,12
CAMARGO,atencion odontologica,aplicacion de fluor,2016-01-01,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,aplicacion de fluor,2016-01-01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2
CAMIRI,atencion odontologica,aplicacion de fluor,2016-01-01,20,15,1,3,1,2,0,6,0,0,0,0,0,0,22,26,48
CAPINOTA,atencion odontologica,aplicacion de fluor,2016-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CAQUIAVIRI,atencion odontologica,aplicacion de fluor,2016-01-01,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,3,4
CARACOLLO,atencion odontologica,aplicacion de fluor,2016-01-01,0,0,2,2,1,0,0,0,0,0,0,0,0,0,3,2,5
CARANAVI,atencion odontologica,aplicacion de fluor,2016-01-01,7,3,2,7,1,2,0,0,0,0,0,0,0,0,10,12,22
CARAPARI,atencion odontologica,aplicacion de fluor,2016-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CARIPUYO,atencion odontologica,aplicacion de fluor,2016-01-01,25,30,0,0,0,0,0,0,3,3,0,0,0,0,28,33,61
CARMEN RIVERO TORREZ,atencion odontologica,aplicacion de fluor,2016-01-01,9,20,0,0,0,0,0,0,0,0,0,0,0,0,9,20,29
CHALLAPATA,atencion odontologica,aplicacion de fluor,2016-01-01,6,6,3,12,2,0,1,4,0,0,0,0,0,0,12,22,34
CHARAGUA,atencion odontologica,aplicacion de fluor,2016-01-01,39,19,5,5,0,1,0,1,0,0,0,0,0,0,44,26,70
CHARAÑA,atencion odontologica,aplicacion de fluor,2016-01-01,7,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,8
CHAYANTA,atencion odontologica,aplicacion de fluor,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CHIMORE,atencion odontologica,aplicacion de fluor,2016-01-01,1,0,4,3,0,1,0,0,0,0,0,0,0,0,5,4,9
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,aplicacion de fluor,2016-01-01,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,3,4
CHUMA,atencion odontologica,aplicacion de fluor,2016-01-01,1,9,0,1,1,0,1,0,0,0,0,0,0,0,3,10,13
CKOCHAS,atencion odontologica,aplicacion de fluor,2016-01-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
