,group,variable,month,PERIODONCIA MENORES DE 5 AÑOS,PERIODONCIA MENORES DE 5 AÑOS,PERIODONCIA 5 A 13 AÑOS,PERIODONCIA 5 A 13 AÑOS,PERIODONCIA 14 A 19 AÑOS,PERIODONCIA 14 A 19 AÑOS,PERIODONCIA 20 A 59 AÑOS,PERIODONCIA 20 A 59 AÑOS,PERIODONCIA 60 AÑOS Y MAS,PERIODONCIA 60 AÑOS Y MAS,PERIODONCIA EMB,PERIODONCIA EMB,PERIODONCIA POST,PERIODONCIA POST,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,
ACHACACHI,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,1,5,1,1,1,0,0,0,0,6,3,9
ACHOCALLA,atencion odontologica,periodoncia,2016-01-01,0,0,2,1,0,0,1,3,0,3,0,0,0,0,3,7,10
AIQUILE,atencion odontologica,periodoncia,2016-01-01,0,0,2,3,0,1,14,35,2,11,0,0,0,0,18,50,68
ALCALA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2
ANCORAIMES,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,1,0,0,2,4,0,0,0,0,2,5,7
ANDAMARCA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,1,4,4,1,0,0,0,0,5,5,10
ANTEQUERA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
ANZALDO,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,2,3
APOLO,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
ARAMPAMPA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,2,0,4,2,0,0,0,0,0,2,6,8
ARANI,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,4,4
ARBIETO,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,1,0,0,2,0,3,0,0,0,0,1,5,6
ARQUE,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,5,5
ASCENCION DE GUARAYOS,atencion odontologica,periodoncia,2016-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
ATOCHA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,2,1,2,0,0,0,0,0,0,1,4,5
AYATA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
AYO AYO,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,3
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,periodoncia,2016-01-01,0,0,0,1,0,6,2,26,4,2,0,0,0,0,6,35,41
AZURDUY,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,1,1,3,0,0,0,0,0,0,1,4,5
BAURES,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,1,0,3,1,0,0,0,0,0,1,4,5
BERMEJO,atencion odontologica,periodoncia,2016-01-01,0,0,2,8,3,7,10,24,0,1,0,0,0,0,15,40,55
BETANZOS,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,2,0,1,1,2,0,0,0,0,1,5,6
BOLIVAR,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,4,4
BUENA VISTA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,2,1,6,6,0,0,0,0,0,7,8,15
CABEZAS,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,6,4,0,2,0,9,0,0,0,0,6,15,21
CAIROMA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,3
CAJUATA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CALAMARCA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,2,2,0,1,0,0,0,0,2,3,5
CAMARGO,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,2,2,0,2,0,0,0,0,2,4,6
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,6
CAMIRI,atencion odontologica,periodoncia,2016-01-01,0,0,0,3,3,5,15,16,0,0,0,0,0,0,18,24,42
CAPINOTA,atencion odontologica,periodoncia,2016-01-01,0,0,4,2,0,3,3,9,2,1,0,0,0,0,9,15,24
CAQUIAVIRI,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,4,4
CARACOLLO,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,1,0,17,1,0,0,0,0,0,1,18,19
CARANAVI,atencion odontologica,periodoncia,2016-01-01,0,0,4,8,6,11,9,17,11,9,0,0,0,0,30,45,75
CARAPARI,atencion odontologica,periodoncia,2016-01-01,0,0,2,0,1,1,0,4,1,0,0,0,0,0,4,5,9
CARMEN RIVERO TORREZ,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,8,1,2,0,0,0,0,1,10,11
CHALLAPATA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,1,4,1,0,0,0,0,0,2,4,6
CHAQUI,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,5,6
CHARAGUA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,3,4
CHAYANTA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,1,3
CHIMORE,atencion odontologica,periodoncia,2016-01-01,0,0,1,2,0,0,1,3,1,1,0,0,0,0,3,6,9
CHIPAYA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,1,0,5,0,1,0,0,0,0,0,7,7
CHUMA,atencion odontologica,periodoncia,2016-01-01,0,0,1,1,0,0,2,13,3,1,0,0,0,0,6,15,21
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
CKOCHAS,atencion odontologica,periodoncia,2016-01-01,0,0,1,0,0,0,1,3,2,1,0,0,0,0,4,4,8
CLIZA,atencion odontologica,periodoncia,2016-01-01,0,0,1,0,0,2,9,14,2,6,0,0,0,0,12,22,34
COBIJA,atencion odontologica,periodoncia,2016-01-01,0,0,0,2,0,6,5,24,0,0,0,0,0,0,5,32,37
COCAPATA,atencion odontologica,periodoncia,2016-01-01,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,4,4
