,group,variable,month,CIRUGIA BUCAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCAL MENOR 5 A 13 AÑOS,CIRUGIA BUCAL MENOR 5 A 13 AÑOS,CIRUGIA BUCAL MENOR 14 A 19 AÑOS,CIRUGIA BUCAL MENOR 14 A 19 AÑOS,CIRUGIA BUCAL MENOR 20 A 59 AÑOS,CIRUGIA BUCAL MENOR 20 A 59 AÑOS,CIRUGIA BUCAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCAL MENOR EMB,CIRUGIA BUCAL MENOR EMB,CIRUGIA BUCAL MENOR POST,CIRUGIA BUCAL MENOR POST,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,0,1,1,0,4,4,0,0,0,0,0,0,5,5,10
ACHACACHI,atencion odontologica,cirugia bucal menor,2016-01-01,1,1,6,12,4,5,23,18,17,23,0,0,0,0,51,59,110
ACHOCALLA,atencion odontologica,cirugia bucal menor,2016-01-01,1,3,13,18,8,4,7,15,3,5,0,0,0,0,32,45,77
AIQUILE,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,6,8,1,0,0,2,0,0,0,0,0,0,7,10,17
ALALAY,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,0,3
ALCALA,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,0,1,1,1,1,1,0,0,0,0,0,0,2,3,5
ALTO BENI,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2
ANCORAIMES,atencion odontologica,cirugia bucal menor,2016-01-01,1,3,6,9,3,5,6,12,25,17,0,0,0,0,41,46,87
ANDAMARCA,atencion odontologica,cirugia bucal menor,2016-01-01,4,0,6,0,0,2,1,6,3,3,0,0,0,0,14,11,25
ANTEQUERA,atencion odontologica,cirugia bucal menor,2016-01-01,2,1,0,0,0,0,3,17,0,0,0,0,0,0,5,18,23
ANZALDO,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,3,2,1,3,0,13,4,4,0,0,0,0,8,22,30
APOLO,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,1,1,0,2,0,6,3,0,0,0,0,0,4,9,13
ARAMPAMPA,atencion odontologica,cirugia bucal menor,2016-01-01,0,2,3,1,0,0,3,6,1,3,0,0,0,0,7,12,19
ARANI,atencion odontologica,cirugia bucal menor,2016-01-01,1,0,8,3,0,0,1,2,1,2,0,0,0,0,11,7,18
ARBIETO,atencion odontologica,cirugia bucal menor,2016-01-01,1,0,5,8,0,1,1,2,1,0,0,0,0,0,8,11,19
ARQUE,atencion odontologica,cirugia bucal menor,2016-01-01,0,5,6,19,2,5,4,12,3,6,0,0,0,0,15,47,62
ASCENCION DE GUARAYOS,atencion odontologica,cirugia bucal menor,2016-01-01,5,12,9,7,2,10,5,13,9,9,0,0,0,0,30,51,81
ATOCHA,atencion odontologica,cirugia bucal menor,2016-01-01,2,6,17,20,7,9,26,51,1,2,0,0,0,0,53,88,141
AUCAPATA,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,2,1,0,4,1,6,0,8,0,0,0,0,3,19,22
AYATA,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,0,4,2,1,2,14,6,2,0,0,0,0,10,21,31
AYO AYO,atencion odontologica,cirugia bucal menor,2016-01-01,0,2,7,6,2,7,6,11,7,2,0,0,0,0,22,28,50
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,cirugia bucal menor,2016-01-01,3,10,6,0,1,4,5,12,1,2,0,0,0,0,16,28,44
AZURDUY,atencion odontologica,cirugia bucal menor,2016-01-01,2,0,2,1,1,2,1,20,0,13,0,0,0,0,6,36,42
BATALLAS,atencion odontologica,cirugia bucal menor,2016-01-01,2,0,7,6,4,10,7,19,9,10,0,0,0,0,29,45,74
BAURES,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,2,3,3,3,6,2,3,1,0,0,0,0,14,9,23
BELEN DE ANDAMARCA,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,3,0,0,0,4,0,0,0,0,0,0,0,7,0,7
BELLA FLOR,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,2,5,0,0,0,3,0,0,0,0,0,0,2,8,10
BERMEJO,atencion odontologica,cirugia bucal menor,2016-01-01,2,1,43,38,10,29,36,86,3,8,0,0,0,0,94,162,256
BETANZOS,atencion odontologica,cirugia bucal menor,2016-01-01,5,3,4,13,3,8,19,31,5,11,0,0,0,0,36,66,102
BOLIVAR,atencion odontologica,cirugia bucal menor,2016-01-01,0,2,4,3,1,7,6,9,2,3,0,0,0,0,13,24,37
BUENA VISTA,atencion odontologica,cirugia bucal menor,2016-01-01,3,2,5,6,8,2,4,1,4,4,0,0,0,0,24,15,39
CABEZAS,atencion odontologica,cirugia bucal menor,2016-01-01,2,3,3,7,4,7,11,17,4,3,0,0,0,0,24,37,61
CAIROMA,atencion odontologica,cirugia bucal menor,2016-01-01,0,1,4,6,3,6,6,10,2,1,0,0,0,0,15,24,39
"CAIZA ""D""",atencion odontologica,cirugia bucal menor,2016-01-01,1,2,7,14,5,9,8,20,0,7,0,0,0,0,21,52,73
CAJUATA,atencion odontologica,cirugia bucal menor,2016-01-01,5,4,11,11,12,5,8,25,5,6,0,0,0,0,41,51,92
CALACOTO,atencion odontologica,cirugia bucal menor,2016-01-01,1,1,2,0,0,2,8,8,6,9,0,0,0,0,17,20,37
CALAMARCA,atencion odontologica,cirugia bucal menor,2016-01-01,1,1,14,16,9,18,13,36,8,12,0,0,0,0,45,83,128
CAMARGO,atencion odontologica,cirugia bucal menor,2016-01-01,6,0,2,5,0,2,0,13,0,9,0,0,0,0,8,29,37
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,cirugia bucal menor,2016-01-01,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2,1,3
CAMIRI,atencion odontologica,cirugia bucal menor,2016-01-01,4,7,6,2,7,4,11,19,3,1,0,0,0,0,31,33,64
CAPINOTA,atencion odontologica,cirugia bucal menor,2016-01-01,1,3,5,10,1,2,6,11,4,3,0,0,0,0,17,29,46
CAQUIAVIRI,atencion odontologica,cirugia bucal menor,2016-01-01,0,2,9,9,2,16,6,10,22,12,0,0,0,0,39,49,88
CARACOLLO,atencion odontologica,cirugia bucal menor,2016-01-01,2,4,24,31,10,13,14,23,9,7,0,0,0,0,59,78,137
CARANAVI,atencion odontologica,cirugia bucal menor,2016-01-01,0,1,2,4,2,2,2,8,8,4,0,0,0,0,14,19,33
CARANGAS,atencion odontologica,cirugia bucal menor,2016-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
CARAPARI,atencion odontologica,cirugia bucal menor,2016-01-01,3,2,9,8,12,16,15,43,6,1,0,0,0,0,45,70,115
