,group,variable,month,CIRUGIA BUCOMAXILOFACIAL MEDIANA MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MEDIANA EMB,CIRUGIA BUCOMAXILOFACIAL MEDIANA EMB,CIRUGIA BUCOMAXILOFACIAL MEDIANA POST,CIRUGIA BUCOMAXILOFACIAL MEDIANA POST,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,
CHALLAPATA,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-01-01,2,3,24,27,3,4,12,7,2,9,0,0,0,0,43,50,93
COTOCA,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-01-01,8,1,0,0,0,0,0,10,1,0,0,0,0,0,9,11,20
EL ALTO,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-01-01,0,0,0,5,1,0,0,2,0,0,0,0,0,0,1,7,8
ENTRE RIOS TRJ,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
HUACARETA,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-01-01,0,0,1,2,1,3,3,10,0,7,0,0,0,0,5,22,27
PALOS BLANCOS,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-01-01,0,0,2,2,3,2,1,4,0,0,0,0,0,0,6,8,14
PORTACHUELO,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-01-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2
SAN PEDRO,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-01-01,0,0,2,1,1,3,1,9,1,5,0,0,0,0,5,18,23
TAPACARI,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-01-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
VILLA TUNARI,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-01-01,0,0,2,3,4,5,10,17,0,1,0,0,0,0,16,26,42
"CAIZA ""D""",atencion odontologica,cirugia bucomaxilofacial  mediana,2016-02-01,0,0,5,3,2,5,6,4,6,4,0,0,0,0,19,16,35
EL ALTO,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-02-01,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,2,3
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-02-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
PUNATA,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
RIBERALTA,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-02-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SAN PEDRO,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-02-01,0,1,1,0,1,2,1,2,3,0,0,0,0,0,6,5,11
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-02-01,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,3
TUPIZA,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-02-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
URIONDO (A. CONCEPCION),atencion odontologica,cirugia bucomaxilofacial  mediana,2016-02-01,0,0,1,0,0,1,3,0,0,0,0,0,0,0,4,1,5
CARIPUYO,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-03-01,0,0,14,2,2,4,1,3,3,4,0,0,0,0,20,13,33
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,cirugia bucomaxilofacial  mediana,2016-03-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
COCAPATA,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-03-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
EL ALTO,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-03-01,0,0,1,0,2,0,1,3,1,0,0,0,0,0,5,3,8
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-03-01,0,0,0,0,2,2,2,1,0,0,0,0,0,0,4,3,7
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-03-01,0,0,0,2,0,1,3,4,1,1,0,0,0,0,4,8,12
PUNATA,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-03-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
SAN IGNACIO,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-03-01,0,0,3,3,2,1,1,3,1,3,0,0,0,0,7,10,17
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-03-01,0,0,1,0,0,0,1,0,1,0,0,0,0,0,3,0,3
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-03-01,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,5
CLIZA,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-04-01,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
EL ALTO,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-04-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
SAN BORJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-04-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-04-01,0,0,89,3,2,3,30,24,11,9,0,0,0,0,132,39,171
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-04-01,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,4
CARIPUYO,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-05-01,0,0,13,9,1,0,2,4,5,0,0,0,0,0,21,13,34
EL ALTO,atencion odontologica,cirugia bucomaxilofacial  mediana,2016-05-01,2,0,2,2,3,0,2,1,1,0,0,0,0,0,10,3,13
