,group,variable,month,PRIMERA CONSULTA MENORES DE 5 AÑOS,PRIMERA CONSULTA MENORES DE 5 AÑOS,PRIMERA CONSULTA 5 A 13 AÑOS,PRIMERA CONSULTA 5 A 13 AÑOS,PRIMERA CONSULTA 14 A 19 AÑOS,PRIMERA CONSULTA 14 A 19 AÑOS,PRIMERA CONSULTA 20 A 59 AÑOS,PRIMERA CONSULTA 20 A 59 AÑOS,PRIMERA CONSULTA 60 AÑOS Y MAS,PRIMERA CONSULTA 60 AÑOS Y MAS,PRIMERA CONSULTA EMB,PRIMERA CONSULTA EMB,PRIMERA CONSULTA POST,PRIMERA CONSULTA POST,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,primera consulta,2016-01-01,2,2,3,2,2,1,8,9,0,2,0,2,0,0,15,18,33
ACHACACHI,atencion odontologica,primera consulta,2016-01-01,24,30,10,12,3,16,23,38,17,16,0,3,0,8,77,123,200
ACHOCALLA,atencion odontologica,primera consulta,2016-01-01,28,25,18,18,5,6,6,23,2,3,0,9,0,6,59,90,149
AIQUILE,atencion odontologica,primera consulta,2016-01-01,18,25,7,10,9,2,4,19,5,6,0,14,0,6,43,82,125
ALALAY,atencion odontologica,primera consulta,2016-01-01,1,0,1,0,0,0,3,0,1,0,0,0,0,0,6,0,6
ALCALA,atencion odontologica,primera consulta,2016-01-01,34,29,5,9,4,6,5,14,3,1,0,2,0,4,51,65,116
ALTO BENI,atencion odontologica,primera consulta,2016-01-01,1,3,1,5,0,0,1,3,2,0,0,0,0,0,5,11,16
ANCORAIMES,atencion odontologica,primera consulta,2016-01-01,6,9,6,9,4,8,7,14,24,18,0,1,0,1,47,60,107
ANDAMARCA,atencion odontologica,primera consulta,2016-01-01,10,9,7,8,4,12,6,30,17,24,0,8,0,9,44,100,144
ANTEQUERA,atencion odontologica,primera consulta,2016-01-01,7,3,7,2,3,2,6,21,1,0,0,3,0,2,24,33,57
ANZALDO,atencion odontologica,primera consulta,2016-01-01,5,5,5,5,2,4,4,21,20,22,0,0,0,8,36,65,101
APOLO,atencion odontologica,primera consulta,2016-01-01,4,4,2,4,1,3,0,11,3,2,0,7,0,4,10,35,45
ARAMPAMPA,atencion odontologica,primera consulta,2016-01-01,18,16,6,0,0,2,3,10,2,3,0,3,0,6,29,40,69
ARANI,atencion odontologica,primera consulta,2016-01-01,8,9,23,10,2,7,2,11,1,2,0,3,0,2,36,44,80
ARBIETO,atencion odontologica,primera consulta,2016-01-01,19,14,14,35,2,14,4,28,5,7,0,12,0,14,44,124,168
ARQUE,atencion odontologica,primera consulta,2016-01-01,3,8,7,17,2,14,6,33,3,8,0,9,0,9,21,98,119
ASCENCION DE GUARAYOS,atencion odontologica,primera consulta,2016-01-01,46,55,8,7,10,26,4,63,5,8,0,69,0,8,73,236,309
ATOCHA,atencion odontologica,primera consulta,2016-01-01,16,16,44,47,22,40,81,84,7,8,0,2,0,0,170,197,367
AUCAPATA,atencion odontologica,primera consulta,2016-01-01,1,2,2,1,1,2,1,7,0,2,0,0,0,0,5,14,19
AYATA,atencion odontologica,primera consulta,2016-01-01,6,4,0,5,3,2,5,19,5,1,0,1,0,5,19,37,56
AYO AYO,atencion odontologica,primera consulta,2016-01-01,4,8,7,5,3,7,3,12,5,1,0,0,0,1,22,34,56
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,primera consulta,2016-01-01,15,8,9,9,5,15,23,39,7,9,0,10,0,17,59,107,166
AZURDUY,atencion odontologica,primera consulta,2016-01-01,5,2,5,5,3,7,7,38,0,3,0,21,0,2,20,78,98
BATALLAS,atencion odontologica,primera consulta,2016-01-01,25,14,12,12,4,15,8,24,11,13,0,8,0,8,60,94,154
BAURES,atencion odontologica,primera consulta,2016-01-01,2,0,9,9,13,7,21,23,8,2,0,1,0,1,53,43,96
BELEN DE ANDAMARCA,atencion odontologica,primera consulta,2016-01-01,2,3,5,5,2,0,5,4,2,0,0,1,0,0,16,13,29
BELEN DE URMIRI,atencion odontologica,primera consulta,2016-01-01,2,3,0,2,1,1,1,9,0,0,0,0,0,0,4,15,19
BELLA FLOR,atencion odontologica,primera consulta,2016-01-01,1,1,38,32,0,2,0,4,1,0,0,2,0,0,40,41,81
BERMEJO,atencion odontologica,primera consulta,2016-01-01,24,34,99,118,91,148,114,241,37,57,0,59,0,28,365,685,1050
BETANZOS,atencion odontologica,primera consulta,2016-01-01,40,49,13,26,9,31,29,68,23,39,0,16,0,23,114,252,366
BOLIVAR,atencion odontologica,primera consulta,2016-01-01,2,1,5,3,2,6,9,9,2,3,0,0,0,0,20,22,42
BOYUIBE,atencion odontologica,primera consulta,2016-01-01,20,21,2,4,5,4,5,7,1,1,0,9,0,1,33,47,80
BUENA VISTA,atencion odontologica,primera consulta,2016-01-01,17,27,12,14,8,12,12,17,6,5,0,8,0,10,55,93,148
CABEZAS,atencion odontologica,primera consulta,2016-01-01,65,56,32,23,19,32,41,79,19,11,0,39,0,10,176,250,426
CAIROMA,atencion odontologica,primera consulta,2016-01-01,1,3,3,6,5,6,7,14,2,1,0,0,0,1,18,31,49
"CAIZA ""D""",atencion odontologica,primera consulta,2016-01-01,32,28,13,15,5,17,10,45,2,6,0,11,0,8,62,130,192
CAJUATA,atencion odontologica,primera consulta,2016-01-01,37,48,14,13,15,12,11,33,15,14,0,8,0,9,92,137,229
CALACOTO,atencion odontologica,primera consulta,2016-01-01,7,8,2,0,0,2,4,4,9,14,0,4,0,2,22,34,56
CALAMARCA,atencion odontologica,primera consulta,2016-01-01,17,17,19,27,18,32,20,59,7,10,0,7,0,11,81,163,244
CAMARGO,atencion odontologica,primera consulta,2016-01-01,33,35,10,11,0,12,7,58,5,9,0,33,0,12,55,170,225
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,primera consulta,2016-01-01,22,18,6,12,2,5,4,20,4,0,0,6,0,2,38,63,101
CAMIRI,atencion odontologica,primera consulta,2016-01-01,41,34,36,28,26,44,45,106,9,6,0,39,0,10,157,267,424
CAPINOTA,atencion odontologica,primera consulta,2016-01-01,13,22,7,13,3,9,3,17,7,6,0,6,0,9,33,82,115
CAQUIAVIRI,atencion odontologica,primera consulta,2016-01-01,9,12,13,13,7,25,19,17,16,7,0,6,0,4,64,84,148
CARACOLLO,atencion odontologica,primera consulta,2016-01-01,31,21,28,65,17,30,20,57,11,7,0,10,0,9,107,199,306
CARANAVI,atencion odontologica,primera consulta,2016-01-01,31,23,16,25,18,21,13,46,22,5,0,16,0,20,100,156,256
CARANGAS,atencion odontologica,primera consulta,2016-01-01,0,0,0,0,1,1,5,2,0,0,0,0,0,0,6,3,9
CARAPARI,atencion odontologica,primera consulta,2016-01-01,9,7,40,62,43,62,46,117,7,2,0,2,0,2,145,254,399
CARIPUYO,atencion odontologica,primera consulta,2016-01-01,29,34,8,12,3,3,9,14,26,28,0,9,0,9,75,109,184
CARMEN RIVERO TORREZ,atencion odontologica,primera consulta,2016-01-01,11,22,2,9,0,0,1,10,1,3,0,8,0,1,15,53,68
