,group,variable,month,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA EMB,CONSULTA NUEVA EMB,CONSULTA NUEVA POST,CONSULTA NUEVA POST,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,consulta nueva,2016-01-01,4,3,3,4,1,0,10,15,0,6,0,4,0,0,18,32,50
ACHACACHI,atencion odontologica,consulta nueva,2016-01-01,60,93,29,33,12,31,67,103,44,47,0,9,0,16,212,332,544
ACHOCALLA,atencion odontologica,consulta nueva,2016-01-01,53,51,20,23,8,8,7,58,3,2,0,18,0,17,91,177,268
AIQUILE,atencion odontologica,consulta nueva,2016-01-01,100,188,88,86,28,11,42,81,22,32,0,53,0,40,280,491,771
ALALAY,atencion odontologica,consulta nueva,2016-01-01,4,0,4,0,0,0,5,0,2,0,0,0,0,0,15,0,15
ALCALA,atencion odontologica,consulta nueva,2016-01-01,6,3,2,2,4,5,7,10,0,0,0,0,0,7,19,27,46
ALTO BENI,atencion odontologica,consulta nueva,2016-01-01,1,3,2,5,0,0,1,5,2,0,0,0,0,0,6,13,19
ANCORAIMES,atencion odontologica,consulta nueva,2016-01-01,6,12,6,10,4,9,9,17,26,25,0,1,0,1,51,75,126
ANDAMARCA,atencion odontologica,consulta nueva,2016-01-01,23,28,12,12,4,26,24,54,5,39,0,20,0,22,68,201,269
ANTEQUERA,atencion odontologica,consulta nueva,2016-01-01,7,6,8,2,3,1,7,37,1,0,0,3,0,2,26,51,77
ANZALDO,atencion odontologica,consulta nueva,2016-01-01,10,15,10,11,4,8,9,56,41,42,0,0,0,27,74,159,233
APOLO,atencion odontologica,consulta nueva,2016-01-01,5,5,2,3,1,4,0,15,3,0,0,4,0,8,11,39,50
ARAMPAMPA,atencion odontologica,consulta nueva,2016-01-01,38,28,8,1,0,2,2,14,4,4,0,3,0,6,52,58,110
ARANI,atencion odontologica,consulta nueva,2016-01-01,74,70,126,69,36,34,9,37,3,4,0,7,0,21,248,242,490
ARBIETO,atencion odontologica,consulta nueva,2016-01-01,34,28,19,44,2,29,1,54,9,9,0,24,0,33,65,221,286
ARQUE,atencion odontologica,consulta nueva,2016-01-01,7,14,12,27,4,16,7,42,4,13,0,12,0,15,34,139,173
ASCENCION DE GUARAYOS,atencion odontologica,consulta nueva,2016-01-01,48,30,2,5,1,8,4,18,5,19,0,48,0,16,60,144,204
ATOCHA,atencion odontologica,consulta nueva,2016-01-01,38,33,75,73,26,49,88,139,6,9,0,3,0,0,233,306,539
AUCAPATA,atencion odontologica,consulta nueva,2016-01-01,1,4,2,1,1,5,1,14,0,8,0,0,0,2,5,34,39
AYATA,atencion odontologica,consulta nueva,2016-01-01,13,17,0,5,4,7,6,36,8,3,0,3,0,15,31,86,117
AYO AYO,atencion odontologica,consulta nueva,2016-01-01,11,18,15,13,7,13,9,31,16,4,0,0,0,2,58,81,139
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,consulta nueva,2016-01-01,58,56,65,78,36,102,73,146,19,24,0,27,0,104,251,537,788
AZURDUY,atencion odontologica,consulta nueva,2016-01-01,19,5,12,22,7,20,20,110,0,16,0,58,0,10,58,241,299
BATALLAS,atencion odontologica,consulta nueva,2016-01-01,37,16,11,11,5,14,8,29,10,12,0,13,0,8,71,103,174
BAURES,atencion odontologica,consulta nueva,2016-01-01,2,0,11,13,15,13,23,37,9,2,0,1,0,2,60,68,128
BELEN DE ANDAMARCA,atencion odontologica,consulta nueva,2016-01-01,0,3,4,0,0,0,7,6,6,0,0,0,0,0,17,9,26
BELEN DE URMIRI,atencion odontologica,consulta nueva,2016-01-01,4,5,0,5,0,0,0,0,0,0,0,0,0,0,4,10,14
BELLA FLOR,atencion odontologica,consulta nueva,2016-01-01,0,2,0,0,0,0,0,0,1,0,0,2,0,0,1,4,5
BERMEJO,atencion odontologica,consulta nueva,2016-01-01,31,41,113,193,120,233,154,359,26,41,0,49,0,16,444,932,1376
BETANZOS,atencion odontologica,consulta nueva,2016-01-01,50,61,18,38,9,47,43,101,22,34,0,18,0,37,142,336,478
BOLIVAR,atencion odontologica,consulta nueva,2016-01-01,24,7,13,10,8,15,20,28,7,8,0,3,0,3,72,74,146
BOYUIBE,atencion odontologica,consulta nueva,2016-01-01,19,21,2,7,5,7,6,14,2,1,0,9,0,1,34,60,94
BUENA VISTA,atencion odontologica,consulta nueva,2016-01-01,60,69,12,32,8,36,12,29,17,6,0,18,0,9,109,199,308
CABEZAS,atencion odontologica,consulta nueva,2016-01-01,55,57,20,17,19,50,32,56,16,5,0,28,0,14,142,227,369
CAIROMA,atencion odontologica,consulta nueva,2016-01-01,0,1,3,0,4,3,3,3,0,0,0,0,0,0,10,7,17
"CAIZA ""D""",atencion odontologica,consulta nueva,2016-01-01,49,37,22,25,9,25,12,64,5,11,0,17,0,20,97,199,296
CAJUATA,atencion odontologica,consulta nueva,2016-01-01,86,76,35,19,36,29,16,67,20,26,0,16,0,27,193,260,453
CALACOTO,atencion odontologica,consulta nueva,2016-01-01,12,15,2,0,2,2,7,5,9,6,0,9,0,3,32,40,72
CALAMARCA,atencion odontologica,consulta nueva,2016-01-01,35,46,21,35,11,45,24,68,10,16,0,12,0,16,101,238,339
CAMARGO,atencion odontologica,consulta nueva,2016-01-01,86,74,17,19,0,18,7,112,8,15,0,37,0,42,118,317,435
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,consulta nueva,2016-01-01,21,20,3,14,1,9,4,31,9,0,0,9,0,14,38,97,135
CAMIRI,atencion odontologica,consulta nueva,2016-01-01,79,74,57,47,63,65,85,211,22,19,0,63,0,17,306,496,802
CAPINOTA,atencion odontologica,consulta nueva,2016-01-01,64,77,104,166,17,50,27,143,27,10,0,18,0,45,239,509,748
CAQUIAVIRI,atencion odontologica,consulta nueva,2016-01-01,24,31,25,21,9,39,19,25,27,17,0,9,0,9,104,151,255
CARACOLLO,atencion odontologica,consulta nueva,2016-01-01,57,48,64,121,41,54,35,90,17,16,0,11,0,12,214,352,566
CARANAVI,atencion odontologica,consulta nueva,2016-01-01,48,33,18,26,12,29,21,76,21,10,0,19,0,2,120,195,315
CARANGAS,atencion odontologica,consulta nueva,2016-01-01,0,0,1,1,1,1,5,4,0,3,0,0,0,0,7,9,16
CARAPARI,atencion odontologica,consulta nueva,2016-01-01,5,6,50,126,77,126,55,134,9,2,0,2,0,0,196,396,592
CARIPUYO,atencion odontologica,consulta nueva,2016-01-01,50,46,6,12,6,4,10,28,39,39,0,15,0,14,111,158,269
