,group,variable,month,EXODONCIA MENORES DE 5 AÑOS,EXODONCIA MENORES DE 5 AÑOS,EXODONCIA 5 A 13 AÑOS,EXODONCIA 5 A 13 AÑOS,EXODONCIA 14 A 19 AÑOS,EXODONCIA 14 A 19 AÑOS,EXODONCIA 20 A 59 AÑOS,EXODONCIA 20 A 59 AÑOS,EXODONCIA 60 AÑOS Y MAS,EXODONCIA 60 AÑOS Y MAS,EXODONCIA EMB,EXODONCIA EMB,EXODONCIA POST,EXODONCIA POST,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,
ACHACACHI,atencion odontologica,exodoncia,2016-01-01,0,0,6,10,4,5,23,17,17,21,0,0,0,0,50,53,103
ACHOCALLA,atencion odontologica,exodoncia,2016-01-01,0,2,11,16,7,4,5,11,3,2,0,0,0,0,26,35,61
AIQUILE,atencion odontologica,exodoncia,2016-01-01,0,0,4,7,3,0,0,2,0,6,0,0,0,0,7,15,22
ALCALA,atencion odontologica,exodoncia,2016-01-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
ALTO BENI,atencion odontologica,exodoncia,2016-01-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2
ANCORAIMES,atencion odontologica,exodoncia,2016-01-01,1,3,5,8,3,5,6,12,22,14,0,0,0,0,37,42,79
ANDAMARCA,atencion odontologica,exodoncia,2016-01-01,1,0,5,0,0,0,0,4,2,2,0,0,0,0,8,6,14
ANTEQUERA,atencion odontologica,exodoncia,2016-01-01,0,1,0,0,2,1,2,14,0,0,0,0,0,0,4,16,20
ANZALDO,atencion odontologica,exodoncia,2016-01-01,0,0,2,2,1,2,0,12,4,4,0,0,0,0,7,20,27
APOLO,atencion odontologica,exodoncia,2016-01-01,0,0,1,1,0,2,0,6,3,0,0,0,0,0,4,9,13
ARAMPAMPA,atencion odontologica,exodoncia,2016-01-01,0,0,2,1,0,0,0,2,1,3,0,0,0,0,3,6,9
ARANI,atencion odontologica,exodoncia,2016-01-01,1,0,8,3,0,0,1,2,1,2,0,0,0,0,11,7,18
ARBIETO,atencion odontologica,exodoncia,2016-01-01,1,0,5,7,0,1,0,1,1,0,0,0,0,0,7,9,16
ARQUE,atencion odontologica,exodoncia,2016-01-01,0,2,5,18,2,3,2,7,3,3,0,0,0,0,12,33,45
ASCENCION DE GUARAYOS,atencion odontologica,exodoncia,2016-01-01,0,6,7,2,5,9,3,8,6,11,0,0,0,0,21,36,57
ATOCHA,atencion odontologica,exodoncia,2016-01-01,0,1,15,22,3,6,6,30,0,1,0,0,0,0,24,60,84
AUCAPATA,atencion odontologica,exodoncia,2016-01-01,0,0,2,1,0,4,1,5,0,8,0,0,0,0,3,18,21
AYATA,atencion odontologica,exodoncia,2016-01-01,0,0,0,4,1,1,2,13,6,2,0,0,0,0,9,20,29
AYO AYO,atencion odontologica,exodoncia,2016-01-01,0,0,6,3,0,4,6,5,7,2,0,0,0,0,19,14,33
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,exodoncia,2016-01-01,0,1,16,18,8,8,12,23,2,2,0,0,0,0,38,52,90
AZURDUY,atencion odontologica,exodoncia,2016-01-01,0,0,1,1,0,2,1,18,0,13,0,0,0,0,2,34,36
BATALLAS,atencion odontologica,exodoncia,2016-01-01,2,0,7,6,4,9,7,18,9,10,0,0,0,0,29,43,72
BAURES,atencion odontologica,exodoncia,2016-01-01,0,0,4,4,4,2,10,11,1,1,0,0,0,0,19,18,37
BELEN DE ANDAMARCA,atencion odontologica,exodoncia,2016-01-01,0,0,3,0,0,0,1,0,0,0,0,0,0,0,4,0,4
BERMEJO,atencion odontologica,exodoncia,2016-01-01,0,0,38,28,22,32,51,91,18,38,0,0,0,0,129,189,318
BETANZOS,atencion odontologica,exodoncia,2016-01-01,0,1,3,12,3,6,18,32,11,22,0,0,0,0,35,73,108
BOLIVAR,atencion odontologica,exodoncia,2016-01-01,0,0,4,3,1,7,6,7,2,3,0,0,0,0,13,20,33
BOYUIBE,atencion odontologica,exodoncia,2016-01-01,0,0,1,2,2,2,1,4,0,0,0,0,0,0,4,8,12
BUENA VISTA,atencion odontologica,exodoncia,2016-01-01,0,2,11,8,2,2,6,8,3,5,0,0,0,0,22,25,47
CABEZAS,atencion odontologica,exodoncia,2016-01-01,0,0,9,9,6,8,14,15,4,4,0,0,0,0,33,36,69
CAIROMA,atencion odontologica,exodoncia,2016-01-01,0,1,2,6,3,5,6,7,2,1,0,0,0,0,13,20,33
"CAIZA ""D""",atencion odontologica,exodoncia,2016-01-01,0,1,6,9,3,4,4,11,0,6,0,0,0,0,13,31,44
CAJUATA,atencion odontologica,exodoncia,2016-01-01,1,1,11,9,12,4,7,21,4,5,0,0,0,0,35,40,75
CALACOTO,atencion odontologica,exodoncia,2016-01-01,0,0,0,0,0,2,5,6,4,4,0,0,0,0,9,12,21
CALAMARCA,atencion odontologica,exodoncia,2016-01-01,0,0,12,11,7,14,10,26,7,7,0,0,0,0,36,58,94
CAMARGO,atencion odontologica,exodoncia,2016-01-01,0,0,2,3,0,1,2,12,3,7,0,0,0,0,7,23,30
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,exodoncia,2016-01-01,0,0,0,3,1,0,0,2,6,0,0,0,0,0,7,5,12
CAMIRI,atencion odontologica,exodoncia,2016-01-01,0,1,6,9,7,11,34,58,10,5,0,0,0,0,57,84,141
CAPINOTA,atencion odontologica,exodoncia,2016-01-01,0,0,11,13,1,2,2,11,9,1,0,0,0,0,23,27,50
CAQUIAVIRI,atencion odontologica,exodoncia,2016-01-01,0,0,8,8,1,13,5,9,20,12,0,0,0,0,34,42,76
CARACOLLO,atencion odontologica,exodoncia,2016-01-01,0,1,28,25,10,10,10,18,9,6,0,0,0,0,57,60,117
CARANAVI,atencion odontologica,exodoncia,2016-01-01,0,1,2,4,2,2,2,8,8,4,0,0,0,0,14,19,33
CARANGAS,atencion odontologica,exodoncia,2016-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
CARAPARI,atencion odontologica,exodoncia,2016-01-01,0,0,9,9,4,11,10,34,6,0,0,0,0,0,29,54,83
CARIPUYO,atencion odontologica,exodoncia,2016-01-01,0,0,4,9,2,1,2,2,10,4,0,0,0,0,18,16,34
CARMEN RIVERO TORREZ,atencion odontologica,exodoncia,2016-01-01,0,0,3,5,0,0,0,1,0,3,0,0,0,0,3,9,12
CATACORA,atencion odontologica,exodoncia,2016-01-01,0,0,2,2,0,2,0,3,0,0,0,0,0,0,2,7,9
CHALLAPATA,atencion odontologica,exodoncia,2016-01-01,0,1,17,37,4,6,15,40,25,36,0,0,0,0,61,120,181
CHAQUI,atencion odontologica,exodoncia,2016-01-01,0,1,3,4,1,3,2,12,5,8,0,0,0,0,11,28,39
CHARAGUA,atencion odontologica,exodoncia,2016-01-01,2,2,8,3,13,21,21,23,7,5,0,0,0,0,51,54,105
CHARAÑA,atencion odontologica,exodoncia,2016-01-01,0,0,0,4,0,0,0,1,5,2,0,0,0,0,5,7,12
