,group,variable,month,CONSULTA REPETIDA MENORES DE 5 AÑOS,CONSULTA REPETIDA MENORES DE 5 AÑOS,CONSULTA REPETIDA 5 A 13 AÑOS,CONSULTA REPETIDA 5 A 13 AÑOS,CONSULTA REPETIDA 14 A 19 AÑOS,CONSULTA REPETIDA 14 A 19 AÑOS,CONSULTA REPETIDA 20 A 59 AÑOS,CONSULTA REPETIDA 20 A 59 AÑOS,CONSULTA REPETIDA 60 AÑOS Y MAS,CONSULTA REPETIDA 60 AÑOS Y MAS,CONSULTA REPETIDA EMB,CONSULTA REPETIDA EMB,CONSULTA REPETIDA POST,CONSULTA REPETIDA POST,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,
ACHACACHI,atencion odontologica,consulta repetida,2016-01-01,16,39,15,25,2,13,19,58,12,8,0,3,0,18,64,164,228
ACHOCALLA,atencion odontologica,consulta repetida,2016-01-01,3,2,1,3,1,0,2,4,0,0,0,2,0,0,7,11,18
AIQUILE,atencion odontologica,consulta repetida,2016-01-01,21,23,24,17,3,5,3,44,3,7,0,2,0,9,54,107,161
ALCALA,atencion odontologica,consulta repetida,2016-01-01,0,0,0,0,1,5,0,4,0,0,0,0,0,0,1,9,10
ANCORAIMES,atencion odontologica,consulta repetida,2016-01-01,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
ANDAMARCA,atencion odontologica,consulta repetida,2016-01-01,3,2,7,1,2,0,3,7,9,1,0,1,0,2,24,14,38
ANTEQUERA,atencion odontologica,consulta repetida,2016-01-01,1,3,2,2,0,0,2,6,0,0,0,0,0,0,5,11,16
ANZALDO,atencion odontologica,consulta repetida,2016-01-01,0,0,0,0,0,0,1,2,0,2,0,0,0,1,1,5,6
ARAMPAMPA,atencion odontologica,consulta repetida,2016-01-01,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,6,6
ARANI,atencion odontologica,consulta repetida,2016-01-01,8,20,5,4,3,3,0,10,0,0,0,1,0,7,16,45,61
ARBIETO,atencion odontologica,consulta repetida,2016-01-01,0,0,0,0,2,0,0,7,3,0,0,0,0,4,5,11,16
ARQUE,atencion odontologica,consulta repetida,2016-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
ASCENCION DE GUARAYOS,atencion odontologica,consulta repetida,2016-01-01,1,4,0,0,0,8,0,4,0,0,0,5,0,1,1,22,23
ATOCHA,atencion odontologica,consulta repetida,2016-01-01,6,30,66,107,35,79,87,159,13,12,0,0,0,0,207,387,594
AYATA,atencion odontologica,consulta repetida,2016-01-01,0,0,0,0,1,0,1,1,0,0,0,1,0,0,2,2,4
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,consulta repetida,2016-01-01,14,12,15,21,4,17,20,39,1,3,0,2,0,2,54,96,150
AZURDUY,atencion odontologica,consulta repetida,2016-01-01,1,0,2,9,0,0,4,27,0,0,0,8,0,11,7,55,62
BAURES,atencion odontologica,consulta repetida,2016-01-01,0,0,1,2,1,2,5,19,1,0,0,0,0,1,8,24,32
BERMEJO,atencion odontologica,consulta repetida,2016-01-01,6,7,42,57,38,82,38,82,10,25,0,11,0,11,134,275,409
BETANZOS,atencion odontologica,consulta repetida,2016-01-01,2,1,5,11,6,14,11,11,3,2,0,0,0,1,27,40,67
BOLIVAR,atencion odontologica,consulta repetida,2016-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
BUENA VISTA,atencion odontologica,consulta repetida,2016-01-01,1,0,1,2,0,10,2,1,0,0,0,0,0,0,4,13,17
CABEZAS,atencion odontologica,consulta repetida,2016-01-01,0,0,1,1,4,18,7,11,0,0,0,0,0,0,12,30,42
CAIROMA,atencion odontologica,consulta repetida,2016-01-01,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3
"CAIZA ""D""",atencion odontologica,consulta repetida,2016-01-01,1,1,7,2,0,1,1,6,0,0,0,0,0,1,9,11,20
CAJUATA,atencion odontologica,consulta repetida,2016-01-01,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2
CALAMARCA,atencion odontologica,consulta repetida,2016-01-01,0,4,1,1,5,11,4,11,1,5,0,1,0,3,11,36,47
CAMARGO,atencion odontologica,consulta repetida,2016-01-01,20,2,0,4,0,3,4,25,2,2,0,1,0,19,26,56,82
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,consulta repetida,2016-01-01,0,1,0,4,0,0,1,8,0,0,0,0,0,1,1,14,15
CAMIRI,atencion odontologica,consulta repetida,2016-01-01,5,3,14,14,10,4,18,32,4,6,0,4,0,4,51,67,118
CAPINOTA,atencion odontologica,consulta repetida,2016-01-01,7,9,3,11,9,3,3,21,5,2,0,0,0,4,27,50,77
CAQUIAVIRI,atencion odontologica,consulta repetida,2016-01-01,0,0,0,1,0,2,1,0,0,0,0,1,0,0,1,4,5
CARACOLLO,atencion odontologica,consulta repetida,2016-01-01,17,8,21,36,15,12,11,30,6,4,0,6,0,1,70,97,167
CARANAVI,atencion odontologica,consulta repetida,2016-01-01,7,9,6,18,19,22,8,15,3,5,0,1,0,7,43,77,120
CARANGAS,atencion odontologica,consulta repetida,2016-01-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
CARAPARI,atencion odontologica,consulta repetida,2016-01-01,0,0,3,2,13,8,1,10,0,0,0,0,0,1,17,21,38
CARIPUYO,atencion odontologica,consulta repetida,2016-01-01,0,0,0,0,1,0,0,1,19,22,0,5,0,4,20,32,52
CHALLAPATA,atencion odontologica,consulta repetida,2016-01-01,18,16,23,20,3,19,8,51,5,5,0,0,0,10,57,121,178
CHAQUI,atencion odontologica,consulta repetida,2016-01-01,4,5,11,12,3,2,6,23,4,2,0,1,0,3,28,48,76
CHARAGUA,atencion odontologica,consulta repetida,2016-01-01,1,0,2,0,4,2,1,6,0,0,0,8,0,6,8,22,30
CHAYANTA,atencion odontologica,consulta repetida,2016-01-01,2,2,6,9,0,8,5,27,0,3,0,0,0,7,13,56,69
CHIMORE,atencion odontologica,consulta repetida,2016-01-01,9,7,5,11,6,6,2,26,0,0,0,0,0,18,22,68,90
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,consulta repetida,2016-01-01,0,1,0,0,1,3,1,1,0,0,0,0,0,0,2,5,7
CHUMA,atencion odontologica,consulta repetida,2016-01-01,0,2,0,0,0,6,2,6,0,0,0,1,0,3,2,18,20
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,consulta repetida,2016-01-01,2,5,0,0,1,1,1,9,1,1,0,3,0,12,5,31,36
CKOCHAS,atencion odontologica,consulta repetida,2016-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2
CLIZA,atencion odontologica,consulta repetida,2016-01-01,9,19,12,17,1,13,8,32,3,8,0,5,0,0,33,94,127
COBIJA,atencion odontologica,consulta repetida,2016-01-01,36,30,29,28,31,34,52,33,4,7,0,7,0,10,152,149,301
COCHABAMBA,atencion odontologica,consulta repetida,2016-01-01,440,343,716,865,269,430,751,1296,239,173,0,10,0,33,2415,3150,5565
